K WHAT-A-MATRAKA
R FIJI-WATER 7
R HOSTESS-TWINKIES 1
R NESQUIK-CHOCOLATE-MILK 8
P RED-BULL 1
P 3-MUSKETEERS 3
R COCA-COLA 7
R HOSTESS-DONETTES-POWDERED 3
P DR-PEPPER 5
R GATORADE 9
P CLIF-BAR-CHOCOLATE-CHIP 3
R NUTRI-GRAIN-STRAWBERRY 3
R HOSTESS-DONETTES-POWDERED 2
R SNICKERS 8
R POCKY-CHOCOLATE 5
R SPRITE 1
R EXTRA-PEPPERMINT-GUM 2
R MONSTER-ENERGY 9
R POCKY-CHOCOLATE 10
R TROPICANA-ORANGE-JUICE 7
R SPRITE 5
R TRIDENT-SPEARMINT-GUM 7
P MOUNTAIN-DEW 1
R CHEETOS-CRUNCHY 9
R DASANI-WATER 1
R MONSTER-ENERGY 1
R PRINGLES-SOUR-CREAM-&-ONION 3
M 7
P EXTRA-PEPPERMINT-GUM 5
P PEPSI 5
R MILKY-WAY 10
M 3
R TRIDENT-SPEARMINT-GUM 3
R HARIBO-GOLD-BEARS 2
O 3-MUSKETEERS 1 1
P PRINGLES-ORIGINAL 3
R NESQUIK-CHOCOLATE-MILK 7
R NESTEA-LEMON-TEA 2
R LAYS-CLASSIC 6
R PRINGLES-SOUR-CREAM-&-ONION 8
P TASTYKAKE-HONEY-BUN 8
R RED-BULL 1
R STARBURST 5
K WHAT-A-MATRAKA
R AQUAFINA-WATER 10
P HOSTESS-TWINKIES 2
R LAYS-BARBECUE 2
R RITZ-CRACKERS 9
R MENTOS-FRUIT 3
O TIC-TAC-ORANGE 10 3
R HOSTESS-DONETTES-POWDERED 6
R HARIBO-GOLD-BEARS 8
R RED-BULL 3
R CHEETOS-FLAMIN'-HOT 3
R MILKY-WAY 4
O SMARTWATER 4 2
R FANTA-ORANGE 1
R FIJI-WATER 3
R FIJI-WATER 3
R FANTA-ORANGE 5
R KIND-BAR-DARK-CHOCOLATE-NUT 3
R POWERADE 7
R 3-MUSKETEERS 7
O KIND-BAR-DARK-CHOCOLATE-NUT 9 3
R MOUNTAIN-DEW 1
R HOSTESS-DONETTES-POWDERED 1
P LAYS-BARBECUE 8
R TRIDENT-SPEARMINT-GUM 8
P COCA-COLA 2
M 8
R MENTOS-FRUIT 1
P 3-MUSKETEERS 3
R TIC-TAC-ORANGE 9
M 9
M 8
P SUN-CHIPS-HARVEST-CHEDDAR 10
P LAYS-BARBECUE 10
M 5
R LIFE-SAVERS-GUMMIES 2
R DORITOS-NACHO-CHEESE 1
R DORITOS-COOL-RANCH 2
P NESTEA-LEMON-TEA 2
R STARBURST 3
M 3
K WHAT-A-MATRAKA
R NESTEA-LEMON-TEA 1
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R NESQUIK-CHOCOLATE-MILK 7
R TIC-TAC-ORANGE 10
R FANTA-ORANGE 4
R RITZ-CRACKERS 8
R KIND-BAR-DARK-CHOCOLATE-NUT 4
R EXTRA-PEPPERMINT-GUM 4
O KIND-BAR-DARK-CHOCOLATE-NUT 2 4
R TASTYKAKE-HONEY-BUN 5
R SMARTWATER 3
R STARBUCKS-FRAPPUCCINO 4
R POCKY-CHOCOLATE 9
R DORITOS-NACHO-CHEESE 7
O SUN-CHIPS-HARVEST-CHEDDAR 9 3
O FANTA-ORANGE 7 6
M 8
O POWERADE 8 7
P SUN-CHIPS-HARVEST-CHEDDAR 2
R PRINGLES-SOUR-CREAM-&-ONION 2
P LAYS-CLASSIC 2
O ALTOIDS-PEPPERMINT 5 10
M 1
P MONSTER-ENERGY 10
M 9
M 5
R TIC-TAC-ORANGE 1
R COCA-COLA 1
P TROPICANA-ORANGE-JUICE 9
R ALTOIDS-PEPPERMINT 2
P DR-PEPPER 4
K WHAT-A-MATRAKA
R SUN-CHIPS-HARVEST-CHEDDAR 6
M 9
R NUTRI-GRAIN-STRAWBERRY 7
R PRINGLES-SOUR-CREAM-&-ONION 6
R LAYS-BARBECUE 7
M 3
K WHAT-A-MATRAKA
R NUTRI-GRAIN-STRAWBERRY 8
R CHEETOS-FLAMIN'-HOT 1
M 2
R CHEETOS-FLAMIN'-HOT 9
R HARIBO-GOLD-BEARS 7
R LAYS-CLASSIC 10
R TWIX 10
R ALTOIDS-PEPPERMINT 9
R M&M 2
R RITZ-CRACKERS 3
P HOSTESS-TWINKIES 5
R FANTA-ORANGE 8
P EXTRA-PEPPERMINT-GUM 2
R HOSTESS-DONETTES-POWDERED 6
O NUTRI-GRAIN-STRAWBERRY 9 7
R DASANI-WATER 2
R EXTRA-PEPPERMINT-GUM 8
R SNICKERS 4
O TRIDENT-SPEARMINT-GUM 5 8
P PEPSI 1
R STARBURST 6
R NESQUIK-CHOCOLATE-MILK 4
K WHAT-A-MATRAKA
R COCA-COLA 9
R NESTEA-LEMON-TEA 4
R DASANI-WATER 10
M 10
R PRINGLES-ORIGINAL 9
P STARBURST 9
R MILKY-WAY 6
R CHEETOS-CRUNCHY 4
P EXTRA-PEPPERMINT-GUM 6
P DORITOS-NACHO-CHEESE 6
R CHEETOS-FLAMIN'-HOT 6
P CLIF-BAR-CHOCOLATE-CHIP 3
R 3-MUSKETEERS 4
R DASANI-WATER 3
O SMARTWATER 6 7
K WHAT-A-MATRAKA
P RITZ-CRACKERS 6
R SNICKERS 6
R NUTRI-GRAIN-STRAWBERRY 6
M 8
O AQUAFINA-WATER 1 10
K WHAT-A-MATRAKA
O PRINGLES-SOUR-CREAM-&-ONION 3 8
R MONSTER-ENERGY 2
P TWIX 4
O EXTRA-PEPPERMINT-GUM 9 8
R RITZ-CRACKERS 7
R RED-BULL 4
P FANTA-ORANGE 8
R 3-MUSKETEERS 3
R HOSTESS-TWINKIES 3
R OREO 2
R SUN-CHIPS-HARVEST-CHEDDAR 2
O ALTOIDS-PEPPERMINT 4 9
R PEPSI 4
O FANTA-ORANGE 10 3
R PLANET-OATS-CHOCOLATE-MILK 8
R TWIX 1
R M&M 1
O NESTEA-LEMON-TEA 7 6
K WHAT-A-MATRAKA
R DORITOS-NACHO-CHEESE 9
M 6
P POCKY-CHOCOLATE 3
R DR-PEPPER 4
R POWERADE 7
R TROPICANA-ORANGE-JUICE 7
O CHEETOS-FLAMIN'-HOT 9 9
R RITZ-CRACKERS 3
R DORITOS-COOL-RANCH 2
R STARBUCKS-FRAPPUCCINO 4
R PEPSI 3
R HARIBO-GOLD-BEARS 4
P HARIBO-GOLD-BEARS 1
R LIFE-SAVERS-GUMMIES 10
P SMARTWATER 2
R SUN-CHIPS-HARVEST-CHEDDAR 2
P PLANET-OATS-CHOCOLATE-MILK 6
R CLIF-BAR-CHOCOLATE-CHIP 5
R NESQUIK-CHOCOLATE-MILK 6
R SUN-CHIPS-HARVEST-CHEDDAR 4
R STARBURST 4
R DASANI-WATER 2
R HARIBO-GOLD-BEARS 1
P OREO 6
O SMARTWATER 9 2
P PRINGLES-SOUR-CREAM-&-ONION 4
R MILKY-WAY 6
P RED-BULL 3
R RITZ-CRACKERS 2
R SUN-CHIPS-HARVEST-CHEDDAR 9
R POWERADE 1
R TRIDENT-SPEARMINT-GUM 9
P SMARTWATER 6
P LAYS-CLASSIC 7
R TRIDENT-SPEARMINT-GUM 7
R SMARTWATER 10
R CHEETOS-FLAMIN'-HOT 3
K WHAT-A-MATRAKA
R HARIBO-GOLD-BEARS 3
R M&M 2
P LAYS-CLASSIC 3
O HOSTESS-TWINKIES 7 8
O TRIDENT-SPEARMINT-GUM 7 4
P TASTYKAKE-HONEY-BUN 3
R CHEETOS-FLAMIN'-HOT 8
R RED-BULL 10
R SPRITE 3
O PLANET-OATS-CHOCOLATE-MILK 7 9
P NESTEA-LEMON-TEA 8
O ALTOIDS-PEPPERMINT 4 8
K WHAT-A-MATRAKA
R MILKY-WAY 2
P PEPSI 7
P DR-PEPPER 7
P FANTA-ORANGE 5
P CHEETOS-FLAMIN'-HOT 4
R NESTEA-LEMON-TEA 3
R DR-PEPPER 5
R NUTRI-GRAIN-STRAWBERRY 8
R COCA-COLA 6
R HARIBO-GOLD-BEARS 1
R HARIBO-GOLD-BEARS 2
R HOSTESS-DONETTES-POWDERED 1
R MOUNTAIN-DEW 5
R HOSTESS-DONETTES-POWDERED 10
O TASTYKAKE-HONEY-BUN 8 7
R SUN-CHIPS-HARVEST-CHEDDAR 9
R TASTYKAKE-HONEY-BUN 7
R HARIBO-GOLD-BEARS 4
R NESQUIK-CHOCOLATE-MILK 9
P ALTOIDS-PEPPERMINT 1
R STARBURST 2
R MILKY-WAY 9
R LAYS-CLASSIC 9
R HOSTESS-TWINKIES 6
M 6
R COCA-COLA 7
R PRINGLES-ORIGINAL 2
R CLIF-BAR-CHOCOLATE-CHIP 3
R TASTYKAKE-HONEY-BUN 1
R PLANET-OATS-CHOCOLATE-MILK 4
R COCA-COLA 6
R EXTRA-PEPPERMINT-GUM 6
R NUTRI-GRAIN-STRAWBERRY 6
R POWERADE 4
M 9
R HARIBO-GOLD-BEARS 10
R LAYS-CLASSIC 10
M 1
R PEPSI 4
R KIT-KAT 10
R POWERADE 1
R LIFE-SAVERS-GUMMIES 9
R PRINGLES-SOUR-CREAM-&-ONION 2
R M&M 3
R TASTYKAKE-HONEY-BUN 7
M 9
R DASANI-WATER 2
M 1
O ALTOIDS-PEPPERMINT 9 1
M 4
R FANTA-ORANGE 4
R EXTRA-PEPPERMINT-GUM 10
R SMARTWATER 10
R FIJI-WATER 3
K WHAT-A-MATRAKA
P MOUNTAIN-DEW 5
R MONSTER-ENERGY 1
R MOUNTAIN-DEW 8
R SNICKERS 9
R TRIDENT-SPEARMINT-GUM 5
R NESQUIK-CHOCOLATE-MILK 2
K WHAT-A-MATRAKA
P STARBUCKS-FRAPPUCCINO 1
R RITZ-CRACKERS 10
O ALTOIDS-PEPPERMINT 2 5
R MILKY-WAY 1
P TIC-TAC-ORANGE 8
P CHEETOS-CRUNCHY 9
O DASANI-WATER 2 3
P CLIF-BAR-CHOCOLATE-CHIP 10
R FIJI-WATER 2
R KIT-KAT 1
O STARBUCKS-FRAPPUCCINO 3 6
R DORITOS-COOL-RANCH 2
R LAYS-BARBECUE 8
R PRINGLES-SOUR-CREAM-&-ONION 5
R NUTRI-GRAIN-STRAWBERRY 3
R OREO 4
P MOUNTAIN-DEW 2
R GATORADE 5
R FANTA-ORANGE 7
O MONSTER-ENERGY 8 3
K WHAT-A-MATRAKA
R COCA-COLA 3
R EXTRA-PEPPERMINT-GUM 7
M 3
R FIJI-WATER 3
O CLIF-BAR-CHOCOLATE-CHIP 6 5
P KIT-KAT 6
R SKITTLES 1
R PEPSI 9
P POWERADE 5
R POCKY-CHOCOLATE 10
P POWERADE 7
R DORITOS-NACHO-CHEESE 9
R OREO 6
R CLIF-BAR-CHOCOLATE-CHIP 2
R MILKY-WAY 5
R NESTEA-LEMON-TEA 1
R MILKY-WAY 3
R CHEETOS-FLAMIN'-HOT 8
K WHAT-A-MATRAKA
O LIFE-SAVERS-GUMMIES 7 7
R TWIX 8
R TRIDENT-SPEARMINT-GUM 8
P FIJI-WATER 8
R COCA-COLA 6
R CHEETOS-CRUNCHY 10
R MENTOS-FRUIT 1
R PEPSI 9
O MENTOS-FRUIT 3 1
P RED-BULL 7
O SUN-CHIPS-HARVEST-CHEDDAR 2 2
P DR-PEPPER 8
P AQUAFINA-WATER 9
P RITZ-CRACKERS 2
R DORITOS-NACHO-CHEESE 3
R PRINGLES-SOUR-CREAM-&-ONION 5
R EXTRA-PEPPERMINT-GUM 5
P STARBURST 4
R LAYS-BARBECUE 1
R TASTYKAKE-HONEY-BUN 9
O LIFE-SAVERS-GUMMIES 3 3
P ALTOIDS-PEPPERMINT 3
P TIC-TAC-ORANGE 9
R POCKY-CHOCOLATE 10
P SKITTLES 3
R TASTYKAKE-HONEY-BUN 8
P MILKY-WAY 8
R PRINGLES-ORIGINAL 10
R ALTOIDS-PEPPERMINT 3
P STARBUCKS-FRAPPUCCINO 4
R TROPICANA-ORANGE-JUICE 1
R FIJI-WATER 7
R LAYS-BARBECUE 4
O PEPSI 4 10
R POCKY-CHOCOLATE 9
R SKITTLES 10
R PRINGLES-ORIGINAL 10
R EXTRA-PEPPERMINT-GUM 4
R PRINGLES-ORIGINAL 9
M 4
R MONSTER-ENERGY 7
R M&M 2
M 5
K WHAT-A-MATRAKA
P CHEETOS-FLAMIN'-HOT 8
R NESQUIK-CHOCOLATE-MILK 10
R STARBUCKS-FRAPPUCCINO 9
P LAYS-CLASSIC 2
R STARBUCKS-FRAPPUCCINO 7
R RED-BULL 8
R CHEETOS-CRUNCHY 7
R STARBUCKS-FRAPPUCCINO 7
R DR-PEPPER 1
P PRINGLES-SOUR-CREAM-&-ONION 10
R HOSTESS-DONETTES-POWDERED 3
R FANTA-ORANGE 6
P TRIDENT-SPEARMINT-GUM 6
R STARBURST 9
R HOSTESS-TWINKIES 5
R LAYS-CLASSIC 3
P ALTOIDS-PEPPERMINT 3
R TASTYKAKE-HONEY-BUN 5
M 7
P 3-MUSKETEERS 1
O DASANI-WATER 5 2
R 3-MUSKETEERS 7
R STARBUCKS-FRAPPUCCINO 6
R STARBUCKS-FRAPPUCCINO 9
R HOSTESS-DONETTES-POWDERED 10
O LAYS-BARBECUE 5 8
R LAYS-BARBECUE 6
R TASTYKAKE-HONEY-BUN 5
M 5
P PRINGLES-SOUR-CREAM-&-ONION 7
R TIC-TAC-ORANGE 2
R SPRITE 5
K WHAT-A-MATRAKA
R CHEETOS-CRUNCHY 8
R RED-BULL 4
R TWIX 10
R TASTYKAKE-HONEY-BUN 5
R POCKY-CHOCOLATE 5
R FANTA-ORANGE 5
R KIT-KAT 9
R KIND-BAR-DARK-CHOCOLATE-NUT 3
K WHAT-A-MATRAKA
R PEPSI 1
R SNICKERS 4
O HARIBO-GOLD-BEARS 10 4
R GATORADE 7
R CHEETOS-FLAMIN'-HOT 6
R MONSTER-ENERGY 10
R DORITOS-NACHO-CHEESE 1
P TASTYKAKE-HONEY-BUN 9
R HARIBO-GOLD-BEARS 4
R TROPICANA-ORANGE-JUICE 4
R DR-PEPPER 6
R TIC-TAC-ORANGE 5
O FANTA-ORANGE 2 3
P EXTRA-PEPPERMINT-GUM 9
P TROPICANA-ORANGE-JUICE 2
R TRIDENT-SPEARMINT-GUM 5
P OREO 6
P PRINGLES-ORIGINAL 3
M 9
P PRINGLES-ORIGINAL 3
R LIFE-SAVERS-GUMMIES 5
P LAYS-BARBECUE 5
K WHAT-A-MATRAKA
R PEPSI 5
P AQUAFINA-WATER 5
P POWERADE 3
O CHEETOS-FLAMIN'-HOT 9 2
M 9
R DORITOS-NACHO-CHEESE 1
O SKITTLES 9 2
R COCA-COLA 9
R MOUNTAIN-DEW 1
K WHAT-A-MATRAKA
R HOSTESS-DONETTES-POWDERED 2
R PRINGLES-ORIGINAL 4
P TWIX 9
P DORITOS-NACHO-CHEESE 2
R FANTA-ORANGE 6
P SMARTWATER 3
R PEPSI 10
P GATORADE 8
R SUN-CHIPS-HARVEST-CHEDDAR 8
R M&M 6
R GATORADE 3
K WHAT-A-MATRAKA
R HARIBO-GOLD-BEARS 9
R OREO 2
R NUTRI-GRAIN-STRAWBERRY 6
K WHAT-A-MATRAKA
R LAYS-BARBECUE 5
K WHAT-A-MATRAKA
R STARBURST 6
O KIT-KAT 5 1
R HOSTESS-TWINKIES 4
P CHEETOS-FLAMIN'-HOT 9
K WHAT-A-MATRAKA
R LIFE-SAVERS-GUMMIES 4
R TWIX 10
M 10
R AQUAFINA-WATER 1
R SUN-CHIPS-HARVEST-CHEDDAR 7
R FIJI-WATER 3
R TASTYKAKE-HONEY-BUN 2
R LIFE-SAVERS-GUMMIES 6
K WHAT-A-MATRAKA
R SNICKERS 7
R SPRITE 10
R SKITTLES 7
R SKITTLES 3
R PEPSI 10
R LAYS-CLASSIC 5
R CHEETOS-CRUNCHY 1
R MENTOS-FRUIT 4
R LIFE-SAVERS-GUMMIES 4
P KIND-BAR-DARK-CHOCOLATE-NUT 5
R LAYS-CLASSIC 2
R STARBUCKS-FRAPPUCCINO 10
R TWIX 9
O STARBURST 2 9
O TASTYKAKE-HONEY-BUN 3 5
R LAYS-BARBECUE 2
R POCKY-CHOCOLATE 1
R DASANI-WATER 1
R MILKY-WAY 8
O GATORADE 10 8
P PLANET-OATS-CHOCOLATE-MILK 4
R DORITOS-COOL-RANCH 9
K WHAT-A-MATRAKA
R TROPICANA-ORANGE-JUICE 10
R STARBURST 3
R FANTA-ORANGE 9
P NESQUIK-CHOCOLATE-MILK 3
R ALTOIDS-PEPPERMINT 7
R NESTEA-LEMON-TEA 9
P DASANI-WATER 1
R PRINGLES-ORIGINAL 10
R SPRITE 10
P FIJI-WATER 6
P KIND-BAR-DARK-CHOCOLATE-NUT 7
R TASTYKAKE-HONEY-BUN 4
M 8
O RITZ-CRACKERS 4 6
R HARIBO-GOLD-BEARS 3
R KIT-KAT 5
O TASTYKAKE-HONEY-BUN 8 10
M 6
O PLANET-OATS-CHOCOLATE-MILK 8 8
P HARIBO-GOLD-BEARS 1
R AQUAFINA-WATER 10
M 9
P SMARTWATER 9
R 3-MUSKETEERS 10
M 7
M 9
P NESTEA-LEMON-TEA 1
R HOSTESS-TWINKIES 8
R PRINGLES-ORIGINAL 4
R LIFE-SAVERS-GUMMIES 7
R RITZ-CRACKERS 6
P M&M 10
R M&M 10
R DR-PEPPER 7
P RED-BULL 3
M 2
R STARBURST 4
P SPRITE 7
R HOSTESS-DONETTES-POWDERED 5
R DR-PEPPER 4
R FANTA-ORANGE 3
M 6
P LIFE-SAVERS-GUMMIES 3
R FANTA-ORANGE 1
R SPRITE 9
R TWIX 1
R TWIX 7
K WHAT-A-MATRAKA
R MOUNTAIN-DEW 9
R NUTRI-GRAIN-STRAWBERRY 5
R KIND-BAR-DARK-CHOCOLATE-NUT 2
R M&M 6
O DORITOS-NACHO-CHEESE 5 10
O NESTEA-LEMON-TEA 8 7
P OREO 5
P STARBUCKS-FRAPPUCCINO 4
P STARBURST 6
R SPRITE 10
R FIJI-WATER 5
O TIC-TAC-ORANGE 3 3
R MOUNTAIN-DEW 8
P GATORADE 4
R OREO 7
R STARBURST 6
R MOUNTAIN-DEW 3
R RITZ-CRACKERS 6
R LIFE-SAVERS-GUMMIES 5
R HARIBO-GOLD-BEARS 1
O MONSTER-ENERGY 1 7
R MOUNTAIN-DEW 10
K WHAT-A-MATRAKA
R RITZ-CRACKERS 6
P MOUNTAIN-DEW 1
R NESQUIK-CHOCOLATE-MILK 9
R TWIX 7
R POWERADE 3
P CHEETOS-CRUNCHY 8
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R NUTRI-GRAIN-STRAWBERRY 7
R TASTYKAKE-HONEY-BUN 1
P TIC-TAC-ORANGE 6
P DORITOS-COOL-RANCH 6
R TROPICANA-ORANGE-JUICE 10
M 3
O POCKY-CHOCOLATE 3 2
O CHEETOS-FLAMIN'-HOT 5 4
R LAYS-CLASSIC 7
R DR-PEPPER 10
R EXTRA-PEPPERMINT-GUM 7
