O ALTOIDS-PEPPERMINT 9 10
M 7
R TROPICANA-ORANGE-JUICE 6
O CHEETOS-CRUNCHY 10 7
P TROPICANA-ORANGE-JUICE 5
R KIT-KAT 9
R CHEETOS-FLAMIN'-HOT 3
R SMARTWATER 7
R NESQUIK-CHOCOLATE-MILK 6
P DASANI-WATER 1
M 1
R MENTOS-FRUIT 2
M 6
R NESQUIK-CHOCOLATE-MILK 5
R NUTRI-GRAIN-STRAWBERRY 4
R CHEETOS-CRUNCHY 5
P TROPICANA-ORANGE-JUICE 10
R HOSTESS-TWINKIES 7
R RITZ-CRACKERS 8
O MENTOS-FRUIT 9 7
R KIND-BAR-DARK-CHOCOLATE-NUT 4
O PRINGLES-ORIGINAL 3 8
M 8
M 6
K WHAT-A-MATRAKA
R EXTRA-PEPPERMINT-GUM 3
R PEPSI 5
P 3-MUSKETEERS 7
O LIFE-SAVERS-GUMMIES 7 8
R 3-MUSKETEERS 2
P LIFE-SAVERS-GUMMIES 9
R KIND-BAR-DARK-CHOCOLATE-NUT 3
R TROPICANA-ORANGE-JUICE 10
R KIND-BAR-DARK-CHOCOLATE-NUT 2
R HOSTESS-TWINKIES 7
R OREO 1
P KIND-BAR-DARK-CHOCOLATE-NUT 3
R GATORADE 9
R 3-MUSKETEERS 2
O POWERADE 9 9
R TRIDENT-SPEARMINT-GUM 7
R CHEETOS-FLAMIN'-HOT 10
R SMARTWATER 10
R FANTA-ORANGE 4
O PRINGLES-ORIGINAL 7 10
R RITZ-CRACKERS 4
R M&M 7
P SKITTLES 7
P PRINGLES-ORIGINAL 3
R TASTYKAKE-HONEY-BUN 7
O HOSTESS-TWINKIES 6 4
R NUTRI-GRAIN-STRAWBERRY 3
R DASANI-WATER 9
R MENTOS-FRUIT 8
P TASTYKAKE-HONEY-BUN 1
P SPRITE 7
R CLIF-BAR-CHOCOLATE-CHIP 5
K WHAT-A-MATRAKA
P STARBUCKS-FRAPPUCCINO 10
K WHAT-A-MATRAKA
R SUN-CHIPS-HARVEST-CHEDDAR 5
P NUTRI-GRAIN-STRAWBERRY 3
R STARBURST 4
P MENTOS-FRUIT 5
R FIJI-WATER 10
R SKITTLES 10
P LAYS-CLASSIC 10
R HARIBO-GOLD-BEARS 9
R TWIX 6
M 1
P DR-PEPPER 1
R OREO 7
R NESQUIK-CHOCOLATE-MILK 2
R MILKY-WAY 1
R M&M 5
O DR-PEPPER 6 2
P NESTEA-LEMON-TEA 3
R SNICKERS 10
R LAYS-CLASSIC 5
R PLANET-OATS-CHOCOLATE-MILK 1
O DR-PEPPER 8 7
O CLIF-BAR-CHOCOLATE-CHIP 9 3
R KIND-BAR-DARK-CHOCOLATE-NUT 4
R PRINGLES-ORIGINAL 8
R RED-BULL 10
P MONSTER-ENERGY 6
R HOSTESS-TWINKIES 4
R SUN-CHIPS-HARVEST-CHEDDAR 9
R M&M 7
R CHEETOS-FLAMIN'-HOT 2
M 1
M 9
R STARBURST 7
P POCKY-CHOCOLATE 9
P TWIX 4
P PRINGLES-ORIGINAL 10
O PRINGLES-ORIGINAL 2 7
O NESQUIK-CHOCOLATE-MILK 7 2
P TROPICANA-ORANGE-JUICE 2
R TASTYKAKE-HONEY-BUN 10
P COCA-COLA 8
O PLANET-OATS-CHOCOLATE-MILK 10 2
O NESQUIK-CHOCOLATE-MILK 1 3
R MOUNTAIN-DEW 6
R DORITOS-COOL-RANCH 5
P TRIDENT-SPEARMINT-GUM 8
M 3
M 3
R NESTEA-LEMON-TEA 6
R CLIF-BAR-CHOCOLATE-CHIP 9
R DR-PEPPER 5
O PRINGLES-ORIGINAL 2 8
P ALTOIDS-PEPPERMINT 8
R OREO 7
R POWERADE 7
M 2
P PRINGLES-ORIGINAL 6
P FIJI-WATER 6
R MOUNTAIN-DEW 4
P AQUAFINA-WATER 5
P PEPSI 10
M 3
K WHAT-A-MATRAKA
R POCKY-CHOCOLATE 5
R LIFE-SAVERS-GUMMIES 1
P HARIBO-GOLD-BEARS 3
R SPRITE 3
R GATORADE 1
R LIFE-SAVERS-GUMMIES 10
R SUN-CHIPS-HARVEST-CHEDDAR 5
R LAYS-CLASSIC 8
K WHAT-A-MATRAKA
M 6
P TRIDENT-SPEARMINT-GUM 2
P POCKY-CHOCOLATE 3
R SNICKERS 6
R POCKY-CHOCOLATE 3
R DORITOS-COOL-RANCH 4
R EXTRA-PEPPERMINT-GUM 9
R DR-PEPPER 1
P HOSTESS-DONETTES-POWDERED 9
R LIFE-SAVERS-GUMMIES 3
R MENTOS-FRUIT 10
O DASANI-WATER 8 7
R CHEETOS-FLAMIN'-HOT 1
P EXTRA-PEPPERMINT-GUM 3
R DR-PEPPER 6
P PLANET-OATS-CHOCOLATE-MILK 8
M 2
R SKITTLES 5
P PEPSI 1
P CHEETOS-FLAMIN'-HOT 1
R DORITOS-COOL-RANCH 4
R AQUAFINA-WATER 9
R GATORADE 6
R MILKY-WAY 7
R TIC-TAC-ORANGE 10
R NUTRI-GRAIN-STRAWBERRY 8
R TASTYKAKE-HONEY-BUN 6
R 3-MUSKETEERS 3
R LAYS-CLASSIC 4
R LIFE-SAVERS-GUMMIES 6
R EXTRA-PEPPERMINT-GUM 9
R DORITOS-NACHO-CHEESE 6
P DR-PEPPER 4
O TASTYKAKE-HONEY-BUN 3 3
K WHAT-A-MATRAKA
P DORITOS-COOL-RANCH 10
R TWIX 6
R LIFE-SAVERS-GUMMIES 7
O TWIX 9 7
R DASANI-WATER 5
R SKITTLES 10
R MILKY-WAY 4
M 6
R CHEETOS-FLAMIN'-HOT 3
R NUTRI-GRAIN-STRAWBERRY 10
P HOSTESS-TWINKIES 3
K WHAT-A-MATRAKA
M 1
R TRIDENT-SPEARMINT-GUM 1
P AQUAFINA-WATER 9
R KIND-BAR-DARK-CHOCOLATE-NUT 2
M 6
R MOUNTAIN-DEW 8
R TASTYKAKE-HONEY-BUN 6
P HOSTESS-TWINKIES 7
O KIT-KAT 6 2
R MENTOS-FRUIT 4
P SKITTLES 4
K WHAT-A-MATRAKA
P SNICKERS 5
P CLIF-BAR-CHOCOLATE-CHIP 8
R ALTOIDS-PEPPERMINT 2
R AQUAFINA-WATER 5
O LAYS-CLASSIC 7 8
P LAYS-CLASSIC 10
R DR-PEPPER 10
R TWIX 6
R DASANI-WATER 6
R EXTRA-PEPPERMINT-GUM 3
P TRIDENT-SPEARMINT-GUM 2
R HOSTESS-DONETTES-POWDERED 7
M 1
R SKITTLES 4
M 1
R NESQUIK-CHOCOLATE-MILK 2
P DASANI-WATER 8
R DR-PEPPER 8
P GATORADE 10
O NUTRI-GRAIN-STRAWBERRY 6 8
R PEPSI 3
R DORITOS-NACHO-CHEESE 1
O HARIBO-GOLD-BEARS 1 6
R MONSTER-ENERGY 6
R CHEETOS-CRUNCHY 5
K WHAT-A-MATRAKA
R CHEETOS-CRUNCHY 4
O MENTOS-FRUIT 5 2
R MOUNTAIN-DEW 1
O NESQUIK-CHOCOLATE-MILK 5 4
R STARBUCKS-FRAPPUCCINO 8
M 2
R NESQUIK-CHOCOLATE-MILK 3
M 4
M 4
R TWIX 6
R SUN-CHIPS-HARVEST-CHEDDAR 10
O SNICKERS 6 6
R OREO 2
R MOUNTAIN-DEW 7
R DORITOS-COOL-RANCH 9
R RITZ-CRACKERS 6
R HOSTESS-TWINKIES 2
R MILKY-WAY 10
R TWIX 3
R PRINGLES-ORIGINAL 8
R PRINGLES-ORIGINAL 1
R PRINGLES-SOUR-CREAM-&-ONION 10
R TROPICANA-ORANGE-JUICE 5
O PRINGLES-SOUR-CREAM-&-ONION 8 10
R COCA-COLA 10
P NESTEA-LEMON-TEA 1
R LAYS-CLASSIC 6
R COCA-COLA 9
P NESQUIK-CHOCOLATE-MILK 10
K WHAT-A-MATRAKA
R POCKY-CHOCOLATE 9
M 10
O KIT-KAT 1 10
M 2
R MENTOS-FRUIT 5
R HOSTESS-DONETTES-POWDERED 3
R LAYS-CLASSIC 3
R M&M 5
O NUTRI-GRAIN-STRAWBERRY 8 1
R MOUNTAIN-DEW 1
P TRIDENT-SPEARMINT-GUM 1
M 5
R KIND-BAR-DARK-CHOCOLATE-NUT 7
R CHEETOS-CRUNCHY 9
R MENTOS-FRUIT 7
P NUTRI-GRAIN-STRAWBERRY 6
R MOUNTAIN-DEW 4
R MOUNTAIN-DEW 8
P TROPICANA-ORANGE-JUICE 5
R FIJI-WATER 6
R SUN-CHIPS-HARVEST-CHEDDAR 3
P SMARTWATER 5
R NUTRI-GRAIN-STRAWBERRY 2
P TRIDENT-SPEARMINT-GUM 4
R RED-BULL 4
P SUN-CHIPS-HARVEST-CHEDDAR 8
R SNICKERS 1
R PEPSI 6
R DR-PEPPER 6
P KIT-KAT 1
O CHEETOS-CRUNCHY 4 8
R PRINGLES-SOUR-CREAM-&-ONION 6
R STARBUCKS-FRAPPUCCINO 7
R SKITTLES 5
R ALTOIDS-PEPPERMINT 10
R KIND-BAR-DARK-CHOCOLATE-NUT 6
P DR-PEPPER 5
P LAYS-CLASSIC 1
R DORITOS-NACHO-CHEESE 10
R DR-PEPPER 10
R CHEETOS-CRUNCHY 1
P TRIDENT-SPEARMINT-GUM 7
O FIJI-WATER 1 7
P OREO 5
R ALTOIDS-PEPPERMINT 2
R HOSTESS-DONETTES-POWDERED 10
R LAYS-CLASSIC 1
M 1
P POWERADE 7
M 10
P HARIBO-GOLD-BEARS 7
R 3-MUSKETEERS 8
R ALTOIDS-PEPPERMINT 10
R LIFE-SAVERS-GUMMIES 8
R COCA-COLA 1
O NESQUIK-CHOCOLATE-MILK 1 10
P NUTRI-GRAIN-STRAWBERRY 9
R SPRITE 6
R HOSTESS-TWINKIES 5
P TRIDENT-SPEARMINT-GUM 2
R LAYS-CLASSIC 4
R ALTOIDS-PEPPERMINT 4
P NESTEA-LEMON-TEA 3
R POCKY-CHOCOLATE 3
R 3-MUSKETEERS 5
R NESTEA-LEMON-TEA 4
R CLIF-BAR-CHOCOLATE-CHIP 9
R PRINGLES-ORIGINAL 8
P ALTOIDS-PEPPERMINT 10
P PRINGLES-ORIGINAL 6
R LIFE-SAVERS-GUMMIES 10
R LAYS-BARBECUE 9
M 6
R MENTOS-FRUIT 4
R DORITOS-NACHO-CHEESE 8
R TIC-TAC-ORANGE 6
R COCA-COLA 6
R FANTA-ORANGE 5
P CLIF-BAR-CHOCOLATE-CHIP 8
R HOSTESS-TWINKIES 5
R HARIBO-GOLD-BEARS 2
R DASANI-WATER 4
R SMARTWATER 2
P RITZ-CRACKERS 1
R PEPSI 2
P KIT-KAT 2
O PRINGLES-ORIGINAL 8 1
R SNICKERS 3
R SNICKERS 3
R LAYS-BARBECUE 3
R STARBUCKS-FRAPPUCCINO 10
R NESQUIK-CHOCOLATE-MILK 10
R EXTRA-PEPPERMINT-GUM 1
P DORITOS-NACHO-CHEESE 4
R CLIF-BAR-CHOCOLATE-CHIP 1
R CHEETOS-FLAMIN'-HOT 5
R HARIBO-GOLD-BEARS 4
O RITZ-CRACKERS 10 2
R LAYS-BARBECUE 8
R NESTEA-LEMON-TEA 7
P PEPSI 10
R MILKY-WAY 9
R HARIBO-GOLD-BEARS 3
R TIC-TAC-ORANGE 3
O NESQUIK-CHOCOLATE-MILK 10 9
R TRIDENT-SPEARMINT-GUM 5
P TASTYKAKE-HONEY-BUN 9
R NESTEA-LEMON-TEA 5
R SNICKERS 6
P NUTRI-GRAIN-STRAWBERRY 5
R 3-MUSKETEERS 8
R FANTA-ORANGE 6
P TIC-TAC-ORANGE 3
M 5
R CHEETOS-CRUNCHY 1
O 3-MUSKETEERS 6 10
R ALTOIDS-PEPPERMINT 2
R STARBUCKS-FRAPPUCCINO 10
R POCKY-CHOCOLATE 3
R POCKY-CHOCOLATE 10
P RITZ-CRACKERS 5
R LIFE-SAVERS-GUMMIES 5
R DR-PEPPER 5
R DORITOS-NACHO-CHEESE 10
R KIND-BAR-DARK-CHOCOLATE-NUT 3
R KIND-BAR-DARK-CHOCOLATE-NUT 4
P CLIF-BAR-CHOCOLATE-CHIP 9
P CHEETOS-CRUNCHY 4
O DR-PEPPER 3 8
R DORITOS-NACHO-CHEESE 1
R MONSTER-ENERGY 8
K WHAT-A-MATRAKA
R SMARTWATER 6
R STARBUCKS-FRAPPUCCINO 8
R OREO 5
P TWIX 1
R COCA-COLA 1
R MILKY-WAY 6
O FANTA-ORANGE 8 2
R RED-BULL 8
R SUN-CHIPS-HARVEST-CHEDDAR 8
R 3-MUSKETEERS 2
R KIND-BAR-DARK-CHOCOLATE-NUT 4
O DORITOS-NACHO-CHEESE 1 8
M 3
R PRINGLES-ORIGINAL 5
K WHAT-A-MATRAKA
P SNICKERS 4
R POCKY-CHOCOLATE 5
R SMARTWATER 5
P PLANET-OATS-CHOCOLATE-MILK 6
R PLANET-OATS-CHOCOLATE-MILK 2
R EXTRA-PEPPERMINT-GUM 4
O SUN-CHIPS-HARVEST-CHEDDAR 9 8
R M&M 8
R TASTYKAKE-HONEY-BUN 1
R PRINGLES-ORIGINAL 7
R CHEETOS-CRUNCHY 2
R TWIX 1
R EXTRA-PEPPERMINT-GUM 4
R SPRITE 2
R EXTRA-PEPPERMINT-GUM 5
R KIND-BAR-DARK-CHOCOLATE-NUT 7
R LAYS-CLASSIC 7
R M&M 7
R PEPSI 7
R DORITOS-COOL-RANCH 1
P LIFE-SAVERS-GUMMIES 10
O PRINGLES-SOUR-CREAM-&-ONION 9 4
R STARBURST 9
R DASANI-WATER 3
R MILKY-WAY 2
R LAYS-CLASSIC 9
P SMARTWATER 8
O DORITOS-NACHO-CHEESE 7 5
R SKITTLES 1
R TWIX 8
P M&M 5
P GATORADE 7
P SMARTWATER 9
P DORITOS-NACHO-CHEESE 6
R DASANI-WATER 9
P KIND-BAR-DARK-CHOCOLATE-NUT 1
M 10
R HOSTESS-TWINKIES 1
R SUN-CHIPS-HARVEST-CHEDDAR 2
P TIC-TAC-ORANGE 4
R TRIDENT-SPEARMINT-GUM 4
O POWERADE 3 5
R COCA-COLA 10
R M&M 9
M 8
R GATORADE 10
R COCA-COLA 2
R RITZ-CRACKERS 1
M 10
R CLIF-BAR-CHOCOLATE-CHIP 9
R CHEETOS-CRUNCHY 1
R MOUNTAIN-DEW 10
K WHAT-A-MATRAKA
P RITZ-CRACKERS 3
P PEPSI 8
R PLANET-OATS-CHOCOLATE-MILK 2
R LIFE-SAVERS-GUMMIES 2
P PEPSI 5
R MOUNTAIN-DEW 7
M 3
R HOSTESS-DONETTES-POWDERED 9
R LIFE-SAVERS-GUMMIES 4
O CLIF-BAR-CHOCOLATE-CHIP 9 10
R AQUAFINA-WATER 6
R POWERADE 5
R CHEETOS-FLAMIN'-HOT 5
R CHEETOS-FLAMIN'-HOT 1
R PEPSI 7
R RED-BULL 9
M 2
R LAYS-CLASSIC 3
O STARBUCKS-FRAPPUCCINO 7 5
M 1
R COCA-COLA 7
R TIC-TAC-ORANGE 2
P HOSTESS-TWINKIES 7
R DR-PEPPER 7
O STARBURST 6 5
R NUTRI-GRAIN-STRAWBERRY 4
R NESQUIK-CHOCOLATE-MILK 10
R ALTOIDS-PEPPERMINT 9
R DORITOS-NACHO-CHEESE 7
R PRINGLES-ORIGINAL 2
R KIT-KAT 2
R MILKY-WAY 8
K WHAT-A-MATRAKA
P DORITOS-NACHO-CHEESE 1
M 5
R LAYS-BARBECUE 1
R GATORADE 5
O RITZ-CRACKERS 1 7
R ALTOIDS-PEPPERMINT 1
R ALTOIDS-PEPPERMINT 10
K WHAT-A-MATRAKA
M 7
R NUTRI-GRAIN-STRAWBERRY 8
R ALTOIDS-PEPPERMINT 8
R HOSTESS-DONETTES-POWDERED 8
R PRINGLES-SOUR-CREAM-&-ONION 6
P PRINGLES-SOUR-CREAM-&-ONION 4
R AQUAFINA-WATER 7
R POCKY-CHOCOLATE 3
R STARBUCKS-FRAPPUCCINO 8
P NESTEA-LEMON-TEA 6
R NUTRI-GRAIN-STRAWBERRY 5
R LIFE-SAVERS-GUMMIES 2
R CHEETOS-FLAMIN'-HOT 7
P POCKY-CHOCOLATE 6
P CLIF-BAR-CHOCOLATE-CHIP 6
R CHEETOS-FLAMIN'-HOT 10
P OREO 7
R KIND-BAR-DARK-CHOCOLATE-NUT 1
R CHEETOS-CRUNCHY 3
M 3
M 1
K WHAT-A-MATRAKA
P CHEETOS-FLAMIN'-HOT 2
R KIND-BAR-DARK-CHOCOLATE-NUT 5
P MILKY-WAY 2
R SPRITE 1
R PLANET-OATS-CHOCOLATE-MILK 10
P FIJI-WATER 9
R CHEETOS-CRUNCHY 2
R HOSTESS-TWINKIES 1
R DORITOS-COOL-RANCH 7
R POWERADE 2
R TASTYKAKE-HONEY-BUN 7
R SMARTWATER 5
M 1
K WHAT-A-MATRAKA
R SKITTLES 8
P TIC-TAC-ORANGE 6
O HOSTESS-TWINKIES 9 1
R LAYS-BARBECUE 7
R KIT-KAT 6
M 2
R DR-PEPPER 1
O TIC-TAC-ORANGE 10 5
K WHAT-A-MATRAKA
P NESQUIK-CHOCOLATE-MILK 1
R MILKY-WAY 4
M 9
R TASTYKAKE-HONEY-BUN 6
R STARBUCKS-FRAPPUCCINO 4
R COCA-COLA 7
R NUTRI-GRAIN-STRAWBERRY 2
R LAYS-BARBECUE 3
K WHAT-A-MATRAKA
R HOSTESS-TWINKIES 7
P TWIX 3
P STARBUCKS-FRAPPUCCINO 4
R M&M 6
P ALTOIDS-PEPPERMINT 5
P SMARTWATER 10
P 3-MUSKETEERS 8
R RED-BULL 9
P NUTRI-GRAIN-STRAWBERRY 9
R HOSTESS-TWINKIES 3
R OREO 9
P PLANET-OATS-CHOCOLATE-MILK 4
R RITZ-CRACKERS 1
M 7
R TROPICANA-ORANGE-JUICE 3
O STARBURST 2 6
R HOSTESS-TWINKIES 3
P FANTA-ORANGE 2
R FIJI-WATER 5
R TROPICANA-ORANGE-JUICE 3
R POCKY-CHOCOLATE 9
R CHEETOS-CRUNCHY 9
P TASTYKAKE-HONEY-BUN 8
K WHAT-A-MATRAKA
R KIT-KAT 9
R TASTYKAKE-HONEY-BUN 3
R GATORADE 9
P SKITTLES 4
P SMARTWATER 6
P PLANET-OATS-CHOCOLATE-MILK 3
R EXTRA-PEPPERMINT-GUM 9
R PRINGLES-SOUR-CREAM-&-ONION 1
P HOSTESS-DONETTES-POWDERED 1
P DASANI-WATER 6
R RITZ-CRACKERS 10
O RITZ-CRACKERS 2 4
P SPRITE 8
P PRINGLES-SOUR-CREAM-&-ONION 9
R POCKY-CHOCOLATE 2
P PEPSI 5
P LIFE-SAVERS-GUMMIES 8
R PRINGLES-SOUR-CREAM-&-ONION 4
R KIND-BAR-DARK-CHOCOLATE-NUT 6
M 1
R POWERADE 3
R ALTOIDS-PEPPERMINT 1
P TROPICANA-ORANGE-JUICE 1
P ALTOIDS-PEPPERMINT 8
R SNICKERS 1
R CLIF-BAR-CHOCOLATE-CHIP 4
O 3-MUSKETEERS 2 5
R HARIBO-GOLD-BEARS 9
R PEPSI 9
P DORITOS-NACHO-CHEESE 9
P NESQUIK-CHOCOLATE-MILK 9
R SUN-CHIPS-HARVEST-CHEDDAR 9
R MILKY-WAY 10
R SNICKERS 10
M 5
R KIT-KAT 2
O TWIX 8 5
R FANTA-ORANGE 6
R TROPICANA-ORANGE-JUICE 7
R TWIX 7
O STARBUCKS-FRAPPUCCINO 9 2
P MONSTER-ENERGY 5
R PEPSI 7
O DR-PEPPER 7 4
R MOUNTAIN-DEW 1
R PRINGLES-SOUR-CREAM-&-ONION 10
R SNICKERS 3
R SMARTWATER 3
R HOSTESS-TWINKIES 2
R KIT-KAT 5
R DORITOS-COOL-RANCH 7
R KIT-KAT 6
P SKITTLES 5
O LAYS-CLASSIC 3 1
R HARIBO-GOLD-BEARS 10
R DASANI-WATER 1
R LAYS-BARBECUE 8
R TWIX 7
R HOSTESS-TWINKIES 10
P FANTA-ORANGE 10
R STARBURST 9
O PLANET-OATS-CHOCOLATE-MILK 3 2
R MILKY-WAY 5
O LAYS-BARBECUE 10 2
R PEPSI 2
R POWERADE 10
R ALTOIDS-PEPPERMINT 10
R TWIX 8
O M&M 10 10
R KIT-KAT 3
M 3
P TIC-TAC-ORANGE 5
R OREO 1
O NUTRI-GRAIN-STRAWBERRY 5 8
R MILKY-WAY 3
R SNICKERS 2
R NESTEA-LEMON-TEA 10
P DORITOS-NACHO-CHEESE 10
R PRINGLES-SOUR-CREAM-&-ONION 3
O COCA-COLA 8 10
K WHAT-A-MATRAKA
R HARIBO-GOLD-BEARS 2
M 6
P AQUAFINA-WATER 1
R SPRITE 5
R CHEETOS-FLAMIN'-HOT 5
O NESQUIK-CHOCOLATE-MILK 4 10
R SNICKERS 2
P COCA-COLA 5
R GATORADE 7
O PRINGLES-SOUR-CREAM-&-ONION 10 8
R STARBURST 5
P FIJI-WATER 2
O OREO 3 5
O HOSTESS-TWINKIES 9 6
K WHAT-A-MATRAKA
P 3-MUSKETEERS 3
R DASANI-WATER 6
R NUTRI-GRAIN-STRAWBERRY 8
O OREO 10 5
R OREO 1
K WHAT-A-MATRAKA
R EXTRA-PEPPERMINT-GUM 2
R SKITTLES 6
K WHAT-A-MATRAKA
O CHEETOS-CRUNCHY 1 6
R SMARTWATER 4
R PLANET-OATS-CHOCOLATE-MILK 2
P LAYS-CLASSIC 3
R LAYS-CLASSIC 5
P DORITOS-NACHO-CHEESE 7
R CHEETOS-FLAMIN'-HOT 4
O KIND-BAR-DARK-CHOCOLATE-NUT 6 10
R AQUAFINA-WATER 4
K WHAT-A-MATRAKA
R SPRITE 4
R TASTYKAKE-HONEY-BUN 2
R HOSTESS-TWINKIES 7
P CHEETOS-FLAMIN'-HOT 6
R DORITOS-NACHO-CHEESE 6
P LAYS-CLASSIC 1
O ALTOIDS-PEPPERMINT 8 8
R POWERADE 7
O GATORADE 9 1
M 2
R DORITOS-NACHO-CHEESE 2
P LIFE-SAVERS-GUMMIES 4
O NUTRI-GRAIN-STRAWBERRY 5 3
R AQUAFINA-WATER 5
P M&M 1
O HARIBO-GOLD-BEARS 3 3
R NESTEA-LEMON-TEA 8
R SUN-CHIPS-HARVEST-CHEDDAR 5
O FANTA-ORANGE 9 4
O CLIF-BAR-CHOCOLATE-CHIP 3 6
R LIFE-SAVERS-GUMMIES 3
R ALTOIDS-PEPPERMINT 6
P 3-MUSKETEERS 8
R SUN-CHIPS-HARVEST-CHEDDAR 2
R DORITOS-NACHO-CHEESE 7
R CHEETOS-CRUNCHY 5
P DORITOS-COOL-RANCH 6
P RITZ-CRACKERS 2
R OREO 4
R PLANET-OATS-CHOCOLATE-MILK 2
K WHAT-A-MATRAKA
M 10
R PEPSI 2
R NESTEA-LEMON-TEA 2
R MILKY-WAY 3
P FIJI-WATER 1
R POCKY-CHOCOLATE 6
P TROPICANA-ORANGE-JUICE 10
K WHAT-A-MATRAKA
R POWERADE 6
R POCKY-CHOCOLATE 7
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R 3-MUSKETEERS 10
R NESQUIK-CHOCOLATE-MILK 2
R LAYS-CLASSIC 10
R DORITOS-NACHO-CHEESE 4
P FANTA-ORANGE 10
R MENTOS-FRUIT 1
R HOSTESS-TWINKIES 3
R M&M 3
P DORITOS-NACHO-CHEESE 3
P TASTYKAKE-HONEY-BUN 7
R NUTRI-GRAIN-STRAWBERRY 9
K WHAT-A-MATRAKA
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R PEPSI 4
R CHEETOS-CRUNCHY 2
R RITZ-CRACKERS 9
K WHAT-A-MATRAKA
R PRINGLES-SOUR-CREAM-&-ONION 7
P CHEETOS-FLAMIN'-HOT 7
M 5
R CLIF-BAR-CHOCOLATE-CHIP 5
P AQUAFINA-WATER 3
R MOUNTAIN-DEW 3
O SPRITE 3 1
R M&M 6
R CHEETOS-FLAMIN'-HOT 4
R NESQUIK-CHOCOLATE-MILK 5
R GATORADE 10
R MOUNTAIN-DEW 9
R M&M 5
R SUN-CHIPS-HARVEST-CHEDDAR 4
P GATORADE 1
M 8
R SUN-CHIPS-HARVEST-CHEDDAR 8
R MENTOS-FRUIT 3
R SPRITE 3
R TRIDENT-SPEARMINT-GUM 1
R NUTRI-GRAIN-STRAWBERRY 3
R TROPICANA-ORANGE-JUICE 1
P RITZ-CRACKERS 10
P ALTOIDS-PEPPERMINT 6
P POWERADE 7
P RED-BULL 5
R 3-MUSKETEERS 9
O FIJI-WATER 3 3
R DORITOS-COOL-RANCH 4
R KIND-BAR-DARK-CHOCOLATE-NUT 10
R STARBURST 6
R DORITOS-NACHO-CHEESE 8
R DASANI-WATER 6
P LIFE-SAVERS-GUMMIES 1
R HARIBO-GOLD-BEARS 1
P TIC-TAC-ORANGE 5
R LIFE-SAVERS-GUMMIES 5
R COCA-COLA 6
O TIC-TAC-ORANGE 4 5
O GATORADE 5 10
P COCA-COLA 5
P POCKY-CHOCOLATE 5
K WHAT-A-MATRAKA
R PLANET-OATS-CHOCOLATE-MILK 4
P TROPICANA-ORANGE-JUICE 6
P POWERADE 5
O FANTA-ORANGE 2 3
P STARBUCKS-FRAPPUCCINO 6
P TIC-TAC-ORANGE 3
O MOUNTAIN-DEW 2 5
R GATORADE 5
