O TWIX 5 2
M 5
O TIC-TAC-ORANGE 6 4
P ALTOIDS-PEPPERMINT 4
R DORITOS-NACHO-CHEESE 2
P LAYS-CLASSIC 8
R HARIBO-GOLD-BEARS 4
P POCKY-CHOCOLATE 7
R 3-MUSKETEERS 10
P MILKY-WAY 3
R SPRITE 3
R OREO 4
O MOUNTAIN-DEW 2 6
R FIJI-WATER 7
R HOSTESS-TWINKIES 7
R SNICKERS 4
R LAYS-BARBECUE 1
R POWERADE 1
R STARBUCKS-FRAPPUCCINO 6
P SKITTLES 5
P TIC-TAC-ORANGE 2
R ALTOIDS-PEPPERMINT 9
P PEPSI 3
R ALTOIDS-PEPPERMINT 3
O PRINGLES-SOUR-CREAM-&-ONION 5 8
R MILKY-WAY 6
R DR-PEPPER 9
R CHEETOS-CRUNCHY 2
R NESTEA-LEMON-TEA 3
R NESTEA-LEMON-TEA 8
P MENTOS-FRUIT 2
P 3-MUSKETEERS 8
K WHAT-A-MATRAKA
P 3-MUSKETEERS 4
R M&M 10
R LAYS-CLASSIC 5
M 9
R RITZ-CRACKERS 6
R COCA-COLA 7
P OREO 10
R POWERADE 9
P MILKY-WAY 7
P CLIF-BAR-CHOCOLATE-CHIP 3
P LAYS-BARBECUE 9
R COCA-COLA 6
O SKITTLES 7 1
R SKITTLES 5
R TWIX 7
R HARIBO-GOLD-BEARS 7
R GATORADE 8
R SPRITE 5
R KIND-BAR-DARK-CHOCOLATE-NUT 3
R OREO 3
R COCA-COLA 2
P PRINGLES-ORIGINAL 8
R M&M 8
O PLANET-OATS-CHOCOLATE-MILK 3 10
R POCKY-CHOCOLATE 9
P NUTRI-GRAIN-STRAWBERRY 6
O RITZ-CRACKERS 6 5
P NESQUIK-CHOCOLATE-MILK 3
O ALTOIDS-PEPPERMINT 9 2
R POCKY-CHOCOLATE 7
M 10
O M&M 2 3
P 3-MUSKETEERS 8
M 10
R EXTRA-PEPPERMINT-GUM 9
M 6
P PRINGLES-SOUR-CREAM-&-ONION 8
R MONSTER-ENERGY 7
R MILKY-WAY 3
R KIT-KAT 2
R TASTYKAKE-HONEY-BUN 10
P POCKY-CHOCOLATE 5
R SPRITE 10
P RITZ-CRACKERS 3
M 5
R DR-PEPPER 9
P NESQUIK-CHOCOLATE-MILK 9
R PEPSI 1
R SUN-CHIPS-HARVEST-CHEDDAR 7
R OREO 10
O RED-BULL 6 10
R RITZ-CRACKERS 10
R DR-PEPPER 2
R NUTRI-GRAIN-STRAWBERRY 9
O KIND-BAR-DARK-CHOCOLATE-NUT 6 8
O FIJI-WATER 1 8
R SMARTWATER 7
R NESTEA-LEMON-TEA 10
R TWIX 5
R NESQUIK-CHOCOLATE-MILK 9
R RED-BULL 8
M 7
R SPRITE 1
P CHEETOS-CRUNCHY 6
O TIC-TAC-ORANGE 7 10
P TRIDENT-SPEARMINT-GUM 4
R MONSTER-ENERGY 7
R CHEETOS-CRUNCHY 9
R OREO 10
R DORITOS-NACHO-CHEESE 6
R TRIDENT-SPEARMINT-GUM 4
R NESTEA-LEMON-TEA 8
R NESQUIK-CHOCOLATE-MILK 5
O MOUNTAIN-DEW 2 1
R STARBUCKS-FRAPPUCCINO 7
R TASTYKAKE-HONEY-BUN 9
R SKITTLES 3
R SPRITE 3
R KIND-BAR-DARK-CHOCOLATE-NUT 4
R MOUNTAIN-DEW 1
R CLIF-BAR-CHOCOLATE-CHIP 5
R MENTOS-FRUIT 1
R CLIF-BAR-CHOCOLATE-CHIP 7
R DORITOS-COOL-RANCH 8
R CHEETOS-CRUNCHY 7
P STARBURST 1
R POWERADE 4
P HARIBO-GOLD-BEARS 3
K WHAT-A-MATRAKA
P SKITTLES 1
M 9
P MOUNTAIN-DEW 6
P PRINGLES-ORIGINAL 10
P AQUAFINA-WATER 1
R DORITOS-NACHO-CHEESE 5
R STARBUCKS-FRAPPUCCINO 5
R HARIBO-GOLD-BEARS 7
R LAYS-CLASSIC 8
O TASTYKAKE-HONEY-BUN 3 4
R LIFE-SAVERS-GUMMIES 5
P CLIF-BAR-CHOCOLATE-CHIP 7
R CHEETOS-FLAMIN'-HOT 5
M 4
R SNICKERS 1
P SKITTLES 1
R DORITOS-NACHO-CHEESE 2
R CLIF-BAR-CHOCOLATE-CHIP 10
R OREO 6
P COCA-COLA 7
R NUTRI-GRAIN-STRAWBERRY 6
P PLANET-OATS-CHOCOLATE-MILK 8
R M&M 2
R STARBUCKS-FRAPPUCCINO 8
P DORITOS-COOL-RANCH 10
K WHAT-A-MATRAKA
R NESTEA-LEMON-TEA 10
M 5
R HARIBO-GOLD-BEARS 8
R SKITTLES 1
R 3-MUSKETEERS 10
R DR-PEPPER 10
O TIC-TAC-ORANGE 3 8
R 3-MUSKETEERS 6
R MONSTER-ENERGY 2
R MILKY-WAY 7
P NUTRI-GRAIN-STRAWBERRY 1
P PLANET-OATS-CHOCOLATE-MILK 1
R STARBURST 8
R TRIDENT-SPEARMINT-GUM 6
R M&M 5
M 5
O TASTYKAKE-HONEY-BUN 9 5
R SMARTWATER 8
R MONSTER-ENERGY 4
R DR-PEPPER 10
R MENTOS-FRUIT 1
R LAYS-CLASSIC 3
R ALTOIDS-PEPPERMINT 2
K WHAT-A-MATRAKA
R TWIX 6
R RED-BULL 3
P GATORADE 6
R SMARTWATER 10
P TROPICANA-ORANGE-JUICE 10
R NUTRI-GRAIN-STRAWBERRY 2
P PEPSI 5
R NESQUIK-CHOCOLATE-MILK 2
M 10
R HOSTESS-DONETTES-POWDERED 7
M 7
R SMARTWATER 3
R SNICKERS 5
R FANTA-ORANGE 2
R FIJI-WATER 1
R LAYS-BARBECUE 10
P DR-PEPPER 10
R SNICKERS 2
R LAYS-CLASSIC 2
K WHAT-A-MATRAKA
R PEPSI 9
R COCA-COLA 2
R POWERADE 5
M 10
M 10
R TIC-TAC-ORANGE 2
M 9
R LIFE-SAVERS-GUMMIES 4
P CHEETOS-FLAMIN'-HOT 6
R TWIX 6
M 8
R PLANET-OATS-CHOCOLATE-MILK 8
R MONSTER-ENERGY 5
R ALTOIDS-PEPPERMINT 10
P SPRITE 6
O POWERADE 2 7
R TASTYKAKE-HONEY-BUN 3
R RITZ-CRACKERS 4
R RITZ-CRACKERS 7
R CHEETOS-FLAMIN'-HOT 2
R NESTEA-LEMON-TEA 1
R STARBURST 8
K WHAT-A-MATRAKA
R POCKY-CHOCOLATE 6
R STARBURST 5
M 6
O SKITTLES 9 7
K WHAT-A-MATRAKA
P DORITOS-NACHO-CHEESE 8
O RED-BULL 6 10
K WHAT-A-MATRAKA
R TRIDENT-SPEARMINT-GUM 5
P MONSTER-ENERGY 2
R CLIF-BAR-CHOCOLATE-CHIP 7
R CHEETOS-CRUNCHY 7
O TWIX 4 4
R DR-PEPPER 6
P TWIX 10
O AQUAFINA-WATER 7 8
O OREO 1 3
P LAYS-BARBECUE 4
R CLIF-BAR-CHOCOLATE-CHIP 6
R PRINGLES-SOUR-CREAM-&-ONION 10
R FANTA-ORANGE 3
K WHAT-A-MATRAKA
O POWERADE 4 7
P FIJI-WATER 2
R POWERADE 6
R CLIF-BAR-CHOCOLATE-CHIP 1
O TIC-TAC-ORANGE 2 9
R POWERADE 10
R DORITOS-NACHO-CHEESE 5
P DASANI-WATER 6
R MILKY-WAY 1
O STARBURST 10 9
P TIC-TAC-ORANGE 2
R RED-BULL 7
P DORITOS-NACHO-CHEESE 8
R RED-BULL 10
P NESQUIK-CHOCOLATE-MILK 3
R HARIBO-GOLD-BEARS 10
R CHEETOS-FLAMIN'-HOT 2
P LAYS-BARBECUE 2
P COCA-COLA 3
R MOUNTAIN-DEW 2
R COCA-COLA 3
R COCA-COLA 1
R TWIX 2
R TASTYKAKE-HONEY-BUN 9
R TWIX 10
P POWERADE 4
P SKITTLES 5
R EXTRA-PEPPERMINT-GUM 8
O FANTA-ORANGE 8 10
P HOSTESS-DONETTES-POWDERED 7
P KIND-BAR-DARK-CHOCOLATE-NUT 6
P SNICKERS 9
R NUTRI-GRAIN-STRAWBERRY 10
R M&M 9
R ALTOIDS-PEPPERMINT 9
O MOUNTAIN-DEW 3 1
R TWIX 4
R NUTRI-GRAIN-STRAWBERRY 3
R MILKY-WAY 7
O RITZ-CRACKERS 4 1
O SPRITE 9 1
R CLIF-BAR-CHOCOLATE-CHIP 5
R DR-PEPPER 9
R MONSTER-ENERGY 6
R RED-BULL 10
O COCA-COLA 7 10
R DORITOS-NACHO-CHEESE 1
R AQUAFINA-WATER 2
R FANTA-ORANGE 10
K WHAT-A-MATRAKA
P MOUNTAIN-DEW 5
R PEPSI 5
M 6
R SUN-CHIPS-HARVEST-CHEDDAR 2
R CHEETOS-CRUNCHY 3
P RED-BULL 9
R MENTOS-FRUIT 8
K WHAT-A-MATRAKA
R MOUNTAIN-DEW 4
R CLIF-BAR-CHOCOLATE-CHIP 2
R NUTRI-GRAIN-STRAWBERRY 5
R MOUNTAIN-DEW 8
R CHEETOS-FLAMIN'-HOT 5
R COCA-COLA 5
O ALTOIDS-PEPPERMINT 5 5
R PRINGLES-SOUR-CREAM-&-ONION 9
R SKITTLES 4
R POWERADE 7
P PEPSI 2
M 9
R RED-BULL 4
P SNICKERS 4
M 7
R TASTYKAKE-HONEY-BUN 4
R DASANI-WATER 8
R COCA-COLA 5
O PRINGLES-ORIGINAL 3 1
P 3-MUSKETEERS 7
R LAYS-BARBECUE 4
P MILKY-WAY 5
R STARBUCKS-FRAPPUCCINO 6
R MILKY-WAY 4
R NESTEA-LEMON-TEA 3
R MILKY-WAY 10
M 7
P HOSTESS-DONETTES-POWDERED 5
R STARBURST 6
R PEPSI 10
R SMARTWATER 2
K WHAT-A-MATRAKA
P SPRITE 7
R EXTRA-PEPPERMINT-GUM 4
P M&M 4
R SKITTLES 1
R KIT-KAT 9
R POWERADE 9
R ALTOIDS-PEPPERMINT 7
R FIJI-WATER 2
P 3-MUSKETEERS 4
O GATORADE 3 10
O RED-BULL 5 5
R LAYS-CLASSIC 7
R TWIX 1
R HOSTESS-DONETTES-POWDERED 4
O MONSTER-ENERGY 6 9
R TASTYKAKE-HONEY-BUN 2
O NUTRI-GRAIN-STRAWBERRY 2 5
R LAYS-CLASSIC 7
R SNICKERS 9
P HARIBO-GOLD-BEARS 5
R POWERADE 7
R MENTOS-FRUIT 10
R M&M 4
M 4
R SMARTWATER 5
R LAYS-BARBECUE 10
P SUN-CHIPS-HARVEST-CHEDDAR 8
R MILKY-WAY 5
R STARBUCKS-FRAPPUCCINO 4
O HOSTESS-DONETTES-POWDERED 7 2
O NUTRI-GRAIN-STRAWBERRY 8 10
R MONSTER-ENERGY 2
K WHAT-A-MATRAKA
M 3
O RITZ-CRACKERS 7 7
O SKITTLES 10 3
R FANTA-ORANGE 7
O KIND-BAR-DARK-CHOCOLATE-NUT 6 9
R RED-BULL 7
R CLIF-BAR-CHOCOLATE-CHIP 5
R RITZ-CRACKERS 3
P MENTOS-FRUIT 3
R KIND-BAR-DARK-CHOCOLATE-NUT 9
R DORITOS-COOL-RANCH 7
R MILKY-WAY 3
R DORITOS-NACHO-CHEESE 9
R DR-PEPPER 7
R RED-BULL 10
O ALTOIDS-PEPPERMINT 5 4
R DORITOS-NACHO-CHEESE 5
O KIND-BAR-DARK-CHOCOLATE-NUT 9 1
P POCKY-CHOCOLATE 5
O SUN-CHIPS-HARVEST-CHEDDAR 1 3
R MOUNTAIN-DEW 7
R NUTRI-GRAIN-STRAWBERRY 8
R SPRITE 10
P PLANET-OATS-CHOCOLATE-MILK 7
O KIT-KAT 7 7
R SKITTLES 5
R TASTYKAKE-HONEY-BUN 1
R SMARTWATER 4
R MONSTER-ENERGY 4
R TIC-TAC-ORANGE 10
R SPRITE 2
P M&M 4
R RED-BULL 6
R DORITOS-COOL-RANCH 2
M 8
R STARBUCKS-FRAPPUCCINO 4
R KIND-BAR-DARK-CHOCOLATE-NUT 4
R SPRITE 4
R POCKY-CHOCOLATE 6
O KIT-KAT 9 2
R PRINGLES-SOUR-CREAM-&-ONION 4
R MILKY-WAY 9
R TROPICANA-ORANGE-JUICE 9
R LAYS-BARBECUE 9
R KIND-BAR-DARK-CHOCOLATE-NUT 6
R TROPICANA-ORANGE-JUICE 5
M 7
R TRIDENT-SPEARMINT-GUM 9
P SKITTLES 1
R CHEETOS-FLAMIN'-HOT 5
M 10
P NESQUIK-CHOCOLATE-MILK 1
R NESTEA-LEMON-TEA 1
R POCKY-CHOCOLATE 5
K WHAT-A-MATRAKA
R LAYS-BARBECUE 7
R SKITTLES 3
O CHEETOS-CRUNCHY 4 3
K WHAT-A-MATRAKA
R LAYS-CLASSIC 9
R POWERADE 3
O AQUAFINA-WATER 7 6
R MILKY-WAY 7
P CHEETOS-FLAMIN'-HOT 2
R ALTOIDS-PEPPERMINT 7
R CHEETOS-FLAMIN'-HOT 1
P LIFE-SAVERS-GUMMIES 7
P SNICKERS 7
R TROPICANA-ORANGE-JUICE 8
P EXTRA-PEPPERMINT-GUM 7
R SMARTWATER 6
R HARIBO-GOLD-BEARS 9
M 1
M 2
P COCA-COLA 7
R POCKY-CHOCOLATE 9
R MILKY-WAY 6
R SKITTLES 3
P POWERADE 6
R HOSTESS-DONETTES-POWDERED 2
R 3-MUSKETEERS 6
R M&M 7
P NESTEA-LEMON-TEA 6
P SNICKERS 7
R TWIX 10
R NESTEA-LEMON-TEA 10
P MENTOS-FRUIT 2
R STARBUCKS-FRAPPUCCINO 7
R M&M 9
P HARIBO-GOLD-BEARS 9
P NESTEA-LEMON-TEA 5
P HOSTESS-DONETTES-POWDERED 5
K WHAT-A-MATRAKA
M 4
R FIJI-WATER 6
R PRINGLES-SOUR-CREAM-&-ONION 5
M 7
M 6
P MILKY-WAY 2
P NESTEA-LEMON-TEA 7
R MOUNTAIN-DEW 5
R TROPICANA-ORANGE-JUICE 10
R DASANI-WATER 5
R HOSTESS-DONETTES-POWDERED 9
R RITZ-CRACKERS 1
M 2
R SNICKERS 5
P KIT-KAT 4
R ALTOIDS-PEPPERMINT 8
M 4
P SPRITE 8
R DR-PEPPER 2
R MOUNTAIN-DEW 3
O EXTRA-PEPPERMINT-GUM 8 6
P LIFE-SAVERS-GUMMIES 6
R MILKY-WAY 4
R ALTOIDS-PEPPERMINT 3
K WHAT-A-MATRAKA
P CHEETOS-FLAMIN'-HOT 9
R POCKY-CHOCOLATE 9
O TRIDENT-SPEARMINT-GUM 2 8
R FIJI-WATER 8
P SPRITE 3
P NESTEA-LEMON-TEA 8
R NUTRI-GRAIN-STRAWBERRY 10
P PLANET-OATS-CHOCOLATE-MILK 1
R COCA-COLA 7
R MILKY-WAY 3
P TIC-TAC-ORANGE 4
P STARBUCKS-FRAPPUCCINO 1
R POCKY-CHOCOLATE 10
M 5
R LAYS-CLASSIC 2
P PRINGLES-SOUR-CREAM-&-ONION 5
O DORITOS-NACHO-CHEESE 4 1
R RITZ-CRACKERS 7
R TROPICANA-ORANGE-JUICE 6
R CHEETOS-FLAMIN'-HOT 6
R POWERADE 8
O HOSTESS-DONETTES-POWDERED 3 3
R HARIBO-GOLD-BEARS 9
O SKITTLES 4 4
O PLANET-OATS-CHOCOLATE-MILK 2 10
M 9
P SPRITE 5
R CLIF-BAR-CHOCOLATE-CHIP 7
O FANTA-ORANGE 10 6
O MONSTER-ENERGY 6 2
P HOSTESS-DONETTES-POWDERED 9
P KIND-BAR-DARK-CHOCOLATE-NUT 7
R TIC-TAC-ORANGE 3
P SPRITE 1
R POWERADE 5
R 3-MUSKETEERS 4
P PLANET-OATS-CHOCOLATE-MILK 7
R MONSTER-ENERGY 5
R POCKY-CHOCOLATE 7
R DASANI-WATER 10
O POWERADE 3 7
O NESQUIK-CHOCOLATE-MILK 9 3
R GATORADE 10
M 1
R GATORADE 9
R SNICKERS 4
R MONSTER-ENERGY 6
P DR-PEPPER 3
R STARBURST 2
P FANTA-ORANGE 10
R MOUNTAIN-DEW 8
M 5
K WHAT-A-MATRAKA
R TWIX 1
P GATORADE 6
R MENTOS-FRUIT 8
O SKITTLES 1 10
R LIFE-SAVERS-GUMMIES 1
O TWIX 9 4
R HOSTESS-DONETTES-POWDERED 3
R SPRITE 8
R NESTEA-LEMON-TEA 7
R FIJI-WATER 3
R SNICKERS 2
R 3-MUSKETEERS 5
M 1
R FIJI-WATER 1
R SMARTWATER 7
R CHEETOS-FLAMIN'-HOT 9
R RITZ-CRACKERS 2
R SKITTLES 2
R PRINGLES-ORIGINAL 6
P TWIX 8
R TIC-TAC-ORANGE 7
K WHAT-A-MATRAKA
R NUTRI-GRAIN-STRAWBERRY 7
R TWIX 8
R AQUAFINA-WATER 7
R SMARTWATER 7
M 9
P PRINGLES-SOUR-CREAM-&-ONION 2
P CHEETOS-CRUNCHY 1
O NUTRI-GRAIN-STRAWBERRY 8 7
R LIFE-SAVERS-GUMMIES 2
R MONSTER-ENERGY 5
M 9
R SNICKERS 8
P STARBUCKS-FRAPPUCCINO 9
P SUN-CHIPS-HARVEST-CHEDDAR 8
O SMARTWATER 7 6
R TRIDENT-SPEARMINT-GUM 10
P LAYS-CLASSIC 2
P SNICKERS 9
R PEPSI 7
R PLANET-OATS-CHOCOLATE-MILK 10
R SNICKERS 6
R RED-BULL 7
R NESQUIK-CHOCOLATE-MILK 1
R TRIDENT-SPEARMINT-GUM 3
P HOSTESS-DONETTES-POWDERED 7
R STARBUCKS-FRAPPUCCINO 6
R KIT-KAT 7
R RED-BULL 2
R STARBUCKS-FRAPPUCCINO 2
O STARBUCKS-FRAPPUCCINO 6 1
P SNICKERS 3
R SPRITE 8
R LAYS-CLASSIC 5
K WHAT-A-MATRAKA
R TROPICANA-ORANGE-JUICE 2
R MENTOS-FRUIT 10
R NUTRI-GRAIN-STRAWBERRY 8
R DASANI-WATER 1
R TROPICANA-ORANGE-JUICE 5
R SNICKERS 1
R FIJI-WATER 4
R PRINGLES-SOUR-CREAM-&-ONION 9
R CHEETOS-CRUNCHY 9
R MENTOS-FRUIT 1
R HARIBO-GOLD-BEARS 10
R RED-BULL 9
R NESQUIK-CHOCOLATE-MILK 2
R MONSTER-ENERGY 5
R TRIDENT-SPEARMINT-GUM 6
R 3-MUSKETEERS 2
R DORITOS-COOL-RANCH 10
R LAYS-BARBECUE 7
P AQUAFINA-WATER 8
K WHAT-A-MATRAKA
R TIC-TAC-ORANGE 4
R CHEETOS-FLAMIN'-HOT 8
R POWERADE 10
R MILKY-WAY 10
P TASTYKAKE-HONEY-BUN 2
R NESQUIK-CHOCOLATE-MILK 2
O PEPSI 7 4
P TRIDENT-SPEARMINT-GUM 9
R OREO 2
R 3-MUSKETEERS 3
P HOSTESS-DONETTES-POWDERED 3
R TIC-TAC-ORANGE 7
R SNICKERS 2
R KIND-BAR-DARK-CHOCOLATE-NUT 1
R DASANI-WATER 3
R KIND-BAR-DARK-CHOCOLATE-NUT 8
M 5
R GATORADE 6
R PRINGLES-SOUR-CREAM-&-ONION 6
R CHEETOS-CRUNCHY 2
O LIFE-SAVERS-GUMMIES 3 7
P SUN-CHIPS-HARVEST-CHEDDAR 8
M 3
R STARBURST 4
P FIJI-WATER 8
P MENTOS-FRUIT 2
R TRIDENT-SPEARMINT-GUM 3
R SMARTWATER 10
R SPRITE 1
O PRINGLES-SOUR-CREAM-&-ONION 8 1
R DORITOS-COOL-RANCH 10
R MENTOS-FRUIT 2
P PEPSI 6
R FIJI-WATER 4
O PLANET-OATS-CHOCOLATE-MILK 2 8
P HARIBO-GOLD-BEARS 6
M 9
R RED-BULL 1
R EXTRA-PEPPERMINT-GUM 5
M 7
P KIT-KAT 10
P HOSTESS-DONETTES-POWDERED 3
P TASTYKAKE-HONEY-BUN 10
R AQUAFINA-WATER 2
P LIFE-SAVERS-GUMMIES 10
M 9
R POWERADE 1
R PEPSI 3
R POCKY-CHOCOLATE 4
R POWERADE 2
R STARBURST 7
P DORITOS-NACHO-CHEESE 4
O KIND-BAR-DARK-CHOCOLATE-NUT 5 9
R DASANI-WATER 2
P CHEETOS-FLAMIN'-HOT 8
P MILKY-WAY 9
R FANTA-ORANGE 8
R LAYS-BARBECUE 4
R NESTEA-LEMON-TEA 8
P MENTOS-FRUIT 2
P PRINGLES-ORIGINAL 3
R RITZ-CRACKERS 5
R TROPICANA-ORANGE-JUICE 1
R COCA-COLA 2
R DASANI-WATER 9
O SNICKERS 3 6
R SUN-CHIPS-HARVEST-CHEDDAR 3
R LIFE-SAVERS-GUMMIES 6
R TRIDENT-SPEARMINT-GUM 9
R SMARTWATER 3
R MOUNTAIN-DEW 8
K WHAT-A-MATRAKA
M 8
R TIC-TAC-ORANGE 3
K WHAT-A-MATRAKA
R NESQUIK-CHOCOLATE-MILK 6
R TASTYKAKE-HONEY-BUN 8
P PLANET-OATS-CHOCOLATE-MILK 8
R PEPSI 2
R TASTYKAKE-HONEY-BUN 2
P SPRITE 1
R M&M 4
P 3-MUSKETEERS 7
K WHAT-A-MATRAKA
P LIFE-SAVERS-GUMMIES 7
P SMARTWATER 6
R RED-BULL 10
R POWERADE 4
R POWERADE 3
R KIND-BAR-DARK-CHOCOLATE-NUT 9
R LIFE-SAVERS-GUMMIES 6
R NUTRI-GRAIN-STRAWBERRY 8
R TRIDENT-SPEARMINT-GUM 8
R TASTYKAKE-HONEY-BUN 4
P TROPICANA-ORANGE-JUICE 1
R SNICKERS 3
P POCKY-CHOCOLATE 5
P MONSTER-ENERGY 9
R SUN-CHIPS-HARVEST-CHEDDAR 3
R FANTA-ORANGE 7
P FIJI-WATER 3
K WHAT-A-MATRAKA
P DORITOS-NACHO-CHEESE 8
M 3
R DASANI-WATER 2
R PRINGLES-SOUR-CREAM-&-ONION 10
P SMARTWATER 2
R NUTRI-GRAIN-STRAWBERRY 9
P CHEETOS-CRUNCHY 10
P POWERADE 9
R KIT-KAT 6
R SUN-CHIPS-HARVEST-CHEDDAR 7
R RITZ-CRACKERS 6
P RED-BULL 7
R FANTA-ORANGE 7
M 2
K WHAT-A-MATRAKA
R LAYS-CLASSIC 8
R MILKY-WAY 10
R 3-MUSKETEERS 3
R HOSTESS-DONETTES-POWDERED 5
R DASANI-WATER 10
P NESTEA-LEMON-TEA 2
P SPRITE 2
R SMARTWATER 7
R LAYS-CLASSIC 10
R MONSTER-ENERGY 10
R SUN-CHIPS-HARVEST-CHEDDAR 9
R DORITOS-COOL-RANCH 8
R ALTOIDS-PEPPERMINT 7
P PRINGLES-SOUR-CREAM-&-ONION 6
M 3
R DORITOS-NACHO-CHEESE 8
P POCKY-CHOCOLATE 9
P HOSTESS-TWINKIES 10
R MENTOS-FRUIT 7
O SKITTLES 10 9
R AQUAFINA-WATER 7
R LAYS-CLASSIC 3
M 1
R LAYS-BARBECUE 10
R NESQUIK-CHOCOLATE-MILK 3
P TROPICANA-ORANGE-JUICE 9
R MOUNTAIN-DEW 8
R KIT-KAT 2
M 2
R CHEETOS-CRUNCHY 5
P FANTA-ORANGE 2
K WHAT-A-MATRAKA
R AQUAFINA-WATER 2
