M 4
M 1
R DORITOS-COOL-RANCH 5
M 5
R SNICKERS 10
R EXTRA-PEPPERMINT-GUM 10
R PRINGLES-ORIGINAL 9
R NUTRI-GRAIN-STRAWBERRY 5
K WHAT-A-MATRAKA
O HARIBO-GOLD-BEARS 7 7
O PRINGLES-ORIGINAL 6 5
R LIFE-SAVERS-GUMMIES 8
R DORITOS-COOL-RANCH 3
P HARIBO-GOLD-BEARS 6
R FANTA-ORANGE 2
R CLIF-BAR-CHOCOLATE-CHIP 1
R DR-PEPPER 8
P HARIBO-GOLD-BEARS 2
O OREO 3 4
K WHAT-A-MATRAKA
O POCKY-CHOCOLATE 10 10
R HOSTESS-DONETTES-POWDERED 9
K WHAT-A-MATRAKA
R LIFE-SAVERS-GUMMIES 7
M 4
K WHAT-A-MATRAKA
R MONSTER-ENERGY 9
R MONSTER-ENERGY 7
O SKITTLES 9 9
O STARBURST 2 10
P NUTRI-GRAIN-STRAWBERRY 1
P PLANET-OATS-CHOCOLATE-MILK 7
R DORITOS-COOL-RANCH 1
R KIND-BAR-DARK-CHOCOLATE-NUT 1
O FIJI-WATER 9 5
R GATORADE 3
O NESQUIK-CHOCOLATE-MILK 4 7
P STARBURST 8
R POCKY-CHOCOLATE 1
O HARIBO-GOLD-BEARS 3 1
P POCKY-CHOCOLATE 8
R SUN-CHIPS-HARVEST-CHEDDAR 1
P FANTA-ORANGE 7
R LAYS-BARBECUE 1
O HOSTESS-DONETTES-POWDERED 1 9
R TASTYKAKE-HONEY-BUN 7
R STARBURST 2
R TROPICANA-ORANGE-JUICE 3
P SNICKERS 9
R CLIF-BAR-CHOCOLATE-CHIP 8
R SUN-CHIPS-HARVEST-CHEDDAR 2
P MONSTER-ENERGY 8
P MILKY-WAY 8
P OREO 2
R DORITOS-NACHO-CHEESE 3
R MOUNTAIN-DEW 2
R RED-BULL 10
P MOUNTAIN-DEW 1
R ALTOIDS-PEPPERMINT 5
R M&M 3
P MILKY-WAY 4
R FIJI-WATER 2
P FANTA-ORANGE 6
R ALTOIDS-PEPPERMINT 2
R MONSTER-ENERGY 3
K WHAT-A-MATRAKA
P NUTRI-GRAIN-STRAWBERRY 6
K WHAT-A-MATRAKA
R SPRITE 4
R TIC-TAC-ORANGE 8
R TIC-TAC-ORANGE 5
R CLIF-BAR-CHOCOLATE-CHIP 6
R COCA-COLA 6
R TASTYKAKE-HONEY-BUN 10
R LAYS-BARBECUE 1
P SNICKERS 9
R STARBURST 5
M 9
R OREO 10
R AQUAFINA-WATER 6
R POWERADE 10
P SUN-CHIPS-HARVEST-CHEDDAR 2
P GATORADE 7
R PRINGLES-SOUR-CREAM-&-ONION 6
O MENTOS-FRUIT 6 1
R CHEETOS-FLAMIN'-HOT 2
O SUN-CHIPS-HARVEST-CHEDDAR 4 5
P PLANET-OATS-CHOCOLATE-MILK 1
R CHEETOS-FLAMIN'-HOT 3
R MONSTER-ENERGY 10
R TIC-TAC-ORANGE 3
R TRIDENT-SPEARMINT-GUM 9
R RITZ-CRACKERS 3
P FIJI-WATER 8
R MONSTER-ENERGY 2
P AQUAFINA-WATER 4
R CHEETOS-CRUNCHY 1
R M&M 2
R PEPSI 4
R NUTRI-GRAIN-STRAWBERRY 1
O CHEETOS-FLAMIN'-HOT 6 3
K WHAT-A-MATRAKA
R STARBURST 5
R PRINGLES-SOUR-CREAM-&-ONION 5
O SUN-CHIPS-HARVEST-CHEDDAR 9 10
R LAYS-CLASSIC 4
P PRINGLES-ORIGINAL 5
R TIC-TAC-ORANGE 2
M 5
R HOSTESS-TWINKIES 4
P DORITOS-NACHO-CHEESE 7
M 4
P DORITOS-NACHO-CHEESE 4
R KIND-BAR-DARK-CHOCOLATE-NUT 4
M 3
P 3-MUSKETEERS 5
R DORITOS-COOL-RANCH 3
R AQUAFINA-WATER 10
R PLANET-OATS-CHOCOLATE-MILK 8
R TWIX 2
R TROPICANA-ORANGE-JUICE 2
R FANTA-ORANGE 8
P SPRITE 1
R ALTOIDS-PEPPERMINT 4
R SPRITE 2
O POWERADE 3 2
R SKITTLES 8
R HOSTESS-DONETTES-POWDERED 3
P POWERADE 5
R CHEETOS-FLAMIN'-HOT 8
R MILKY-WAY 7
R CLIF-BAR-CHOCOLATE-CHIP 5
P NESQUIK-CHOCOLATE-MILK 8
R NESTEA-LEMON-TEA 3
R CHEETOS-CRUNCHY 8
P LAYS-BARBECUE 9
R NUTRI-GRAIN-STRAWBERRY 4
R FANTA-ORANGE 10
P STARBUCKS-FRAPPUCCINO 10
K WHAT-A-MATRAKA
R FIJI-WATER 5
R STARBUCKS-FRAPPUCCINO 4
R GATORADE 7
P FIJI-WATER 1
R CHEETOS-FLAMIN'-HOT 5
R MOUNTAIN-DEW 5
R CHEETOS-CRUNCHY 3
O LAYS-CLASSIC 2 6
P SMARTWATER 9
R ALTOIDS-PEPPERMINT 10
R PEPSI 9
R LIFE-SAVERS-GUMMIES 1
R STARBUCKS-FRAPPUCCINO 2
O LAYS-BARBECUE 6 9
R PRINGLES-SOUR-CREAM-&-ONION 3
R TASTYKAKE-HONEY-BUN 4
K WHAT-A-MATRAKA
P COCA-COLA 8
R HARIBO-GOLD-BEARS 10
R AQUAFINA-WATER 8
P TROPICANA-ORANGE-JUICE 7
P TROPICANA-ORANGE-JUICE 9
P POWERADE 7
R SNICKERS 9
R LAYS-CLASSIC 7
R POWERADE 4
K WHAT-A-MATRAKA
R TIC-TAC-ORANGE 2
R PRINGLES-ORIGINAL 2
R LIFE-SAVERS-GUMMIES 2
P DR-PEPPER 2
O HOSTESS-DONETTES-POWDERED 2 3
R SPRITE 3
R SKITTLES 7
R LIFE-SAVERS-GUMMIES 8
P EXTRA-PEPPERMINT-GUM 6
K WHAT-A-MATRAKA
O ALTOIDS-PEPPERMINT 2 6
O HOSTESS-DONETTES-POWDERED 5 8
R SPRITE 9
R SMARTWATER 3
O HOSTESS-DONETTES-POWDERED 6 3
P NESQUIK-CHOCOLATE-MILK 3
P PEPSI 9
R POCKY-CHOCOLATE 5
R OREO 5
R COCA-COLA 8
M 6
M 8
P STARBURST 8
R SUN-CHIPS-HARVEST-CHEDDAR 6
R TIC-TAC-ORANGE 10
R SNICKERS 3
R HARIBO-GOLD-BEARS 5
R FIJI-WATER 8
O DASANI-WATER 3 6
R LAYS-CLASSIC 9
R PEPSI 4
R CHEETOS-CRUNCHY 8
R M&M 4
O RED-BULL 9 10
O RED-BULL 6 9
P POWERADE 1
R GATORADE 4
R KIT-KAT 2
R DORITOS-NACHO-CHEESE 3
R STARBURST 10
R TROPICANA-ORANGE-JUICE 3
O HOSTESS-TWINKIES 2 7
R TASTYKAKE-HONEY-BUN 8
P MONSTER-ENERGY 8
R DASANI-WATER 5
M 7
R TIC-TAC-ORANGE 5
P RED-BULL 9
P LAYS-CLASSIC 7
P MONSTER-ENERGY 9
R SKITTLES 3
M 2
M 7
R GATORADE 2
P KIND-BAR-DARK-CHOCOLATE-NUT 5
R STARBURST 9
R PEPSI 3
R PRINGLES-ORIGINAL 1
R MENTOS-FRUIT 4
R TRIDENT-SPEARMINT-GUM 2
P COCA-COLA 5
P RED-BULL 5
P PEPSI 9
P TIC-TAC-ORANGE 9
O CHEETOS-FLAMIN'-HOT 6 6
P GATORADE 7
P NESQUIK-CHOCOLATE-MILK 8
R AQUAFINA-WATER 5
P EXTRA-PEPPERMINT-GUM 9
R HARIBO-GOLD-BEARS 10
O NESQUIK-CHOCOLATE-MILK 8 7
R PRINGLES-ORIGINAL 5
R OREO 2
K WHAT-A-MATRAKA
R TWIX 8
R DORITOS-COOL-RANCH 9
O LAYS-CLASSIC 4 4
K WHAT-A-MATRAKA
R LIFE-SAVERS-GUMMIES 10
O HOSTESS-TWINKIES 7 2
P LAYS-BARBECUE 7
O FANTA-ORANGE 1 3
O SKITTLES 1 10
R STARBUCKS-FRAPPUCCINO 7
P TASTYKAKE-HONEY-BUN 4
O M&M 6 3
R FIJI-WATER 8
R MILKY-WAY 6
R KIT-KAT 7
R PRINGLES-ORIGINAL 10
O POWERADE 5 3
M 5
M 10
R ALTOIDS-PEPPERMINT 8
O CHEETOS-CRUNCHY 9 6
R GATORADE 6
R SUN-CHIPS-HARVEST-CHEDDAR 2
M 9
R TRIDENT-SPEARMINT-GUM 2
R OREO 7
R HARIBO-GOLD-BEARS 7
R HOSTESS-TWINKIES 4
P HOSTESS-TWINKIES 8
R KIT-KAT 7
O TIC-TAC-ORANGE 8 6
P LIFE-SAVERS-GUMMIES 4
R TIC-TAC-ORANGE 2
P CHEETOS-FLAMIN'-HOT 6
R RITZ-CRACKERS 4
P SPRITE 4
R LAYS-CLASSIC 7
P SPRITE 7
P LIFE-SAVERS-GUMMIES 5
R HOSTESS-DONETTES-POWDERED 1
P SUN-CHIPS-HARVEST-CHEDDAR 6
R EXTRA-PEPPERMINT-GUM 8
R M&M 7
R SUN-CHIPS-HARVEST-CHEDDAR 5
R SMARTWATER 5
R HOSTESS-TWINKIES 7
R OREO 2
R KIND-BAR-DARK-CHOCOLATE-NUT 6
K WHAT-A-MATRAKA
R TASTYKAKE-HONEY-BUN 4
R RED-BULL 8
M 6
K WHAT-A-MATRAKA
R DASANI-WATER 9
R OREO 6
M 1
R POCKY-CHOCOLATE 10
R PRINGLES-SOUR-CREAM-&-ONION 10
R ALTOIDS-PEPPERMINT 1
R DORITOS-NACHO-CHEESE 9
R HOSTESS-DONETTES-POWDERED 3
O SMARTWATER 9 7
R CHEETOS-CRUNCHY 5
R 3-MUSKETEERS 5
R POWERADE 4
P FIJI-WATER 2
R POWERADE 9
R HARIBO-GOLD-BEARS 1
P CHEETOS-CRUNCHY 6
O SPRITE 3 4
R NESTEA-LEMON-TEA 9
R NUTRI-GRAIN-STRAWBERRY 9
R PEPSI 5
R COCA-COLA 8
P TRIDENT-SPEARMINT-GUM 2
M 9
R GATORADE 4
M 8
K WHAT-A-MATRAKA
M 8
R DASANI-WATER 8
P STARBUCKS-FRAPPUCCINO 1
R M&M 10
P TASTYKAKE-HONEY-BUN 5
P FANTA-ORANGE 5
R POCKY-CHOCOLATE 4
R FANTA-ORANGE 5
O RITZ-CRACKERS 4 1
R DORITOS-NACHO-CHEESE 3
P NESQUIK-CHOCOLATE-MILK 6
R CLIF-BAR-CHOCOLATE-CHIP 7
R OREO 4
R KIND-BAR-DARK-CHOCOLATE-NUT 9
R RED-BULL 5
O TROPICANA-ORANGE-JUICE 7 6
P AQUAFINA-WATER 4
R FANTA-ORANGE 3
O M&M 8 1
P AQUAFINA-WATER 1
O 3-MUSKETEERS 10 7
R NUTRI-GRAIN-STRAWBERRY 5
R TROPICANA-ORANGE-JUICE 4
O TWIX 6 7
P PEPSI 4
K WHAT-A-MATRAKA
R MONSTER-ENERGY 9
P FANTA-ORANGE 4
P NESQUIK-CHOCOLATE-MILK 6
P CHEETOS-CRUNCHY 3
P TROPICANA-ORANGE-JUICE 4
R COCA-COLA 6
R POWERADE 9
R EXTRA-PEPPERMINT-GUM 4
K WHAT-A-MATRAKA
P NESQUIK-CHOCOLATE-MILK 5
R TROPICANA-ORANGE-JUICE 5
R CHEETOS-CRUNCHY 7
R LAYS-CLASSIC 3
R FANTA-ORANGE 10
P 3-MUSKETEERS 1
R CLIF-BAR-CHOCOLATE-CHIP 5
R MONSTER-ENERGY 1
R KIT-KAT 1
P TIC-TAC-ORANGE 3
P OREO 4
R TASTYKAKE-HONEY-BUN 7
R COCA-COLA 10
R STARBUCKS-FRAPPUCCINO 10
P RITZ-CRACKERS 6
R SUN-CHIPS-HARVEST-CHEDDAR 9
R POCKY-CHOCOLATE 7
R POWERADE 1
R HARIBO-GOLD-BEARS 3
P SPRITE 1
R STARBUCKS-FRAPPUCCINO 1
P HOSTESS-TWINKIES 6
R SKITTLES 10
P FANTA-ORANGE 4
R SPRITE 5
O LAYS-BARBECUE 9 7
O POWERADE 4 5
R NESTEA-LEMON-TEA 9
R OREO 8
R 3-MUSKETEERS 9
R DR-PEPPER 1
R SPRITE 1
P FIJI-WATER 3
R HARIBO-GOLD-BEARS 9
R POWERADE 4
R MILKY-WAY 2
R HOSTESS-TWINKIES 2
P M&M 5
R GATORADE 2
M 6
P SNICKERS 8
R 3-MUSKETEERS 5
R ALTOIDS-PEPPERMINT 9
R KIT-KAT 2
P NESTEA-LEMON-TEA 6
R FIJI-WATER 3
P ALTOIDS-PEPPERMINT 10
M 3
R CLIF-BAR-CHOCOLATE-CHIP 4
P AQUAFINA-WATER 7
R EXTRA-PEPPERMINT-GUM 7
O STARBUCKS-FRAPPUCCINO 10 9
R LAYS-BARBECUE 7
R PRINGLES-ORIGINAL 6
P DASANI-WATER 1
P HARIBO-GOLD-BEARS 2
K WHAT-A-MATRAKA
R CLIF-BAR-CHOCOLATE-CHIP 9
K WHAT-A-MATRAKA
R NESTEA-LEMON-TEA 8
O RED-BULL 2 10
R PRINGLES-ORIGINAL 7
P DORITOS-NACHO-CHEESE 8
R LAYS-BARBECUE 9
R DORITOS-NACHO-CHEESE 2
M 9
R SUN-CHIPS-HARVEST-CHEDDAR 1
R NESQUIK-CHOCOLATE-MILK 5
R HOSTESS-TWINKIES 1
R STARBURST 7
M 6
R CLIF-BAR-CHOCOLATE-CHIP 3
R TIC-TAC-ORANGE 9
R FIJI-WATER 10
M 6
P STARBUCKS-FRAPPUCCINO 3
R SNICKERS 4
P FIJI-WATER 6
R AQUAFINA-WATER 1
R PLANET-OATS-CHOCOLATE-MILK 3
O MILKY-WAY 5 3
R GATORADE 8
R ALTOIDS-PEPPERMINT 6
R FANTA-ORANGE 10
R COCA-COLA 10
R PLANET-OATS-CHOCOLATE-MILK 6
R SKITTLES 10
R FANTA-ORANGE 7
R SMARTWATER 6
P PEPSI 8
P KIT-KAT 8
R DR-PEPPER 7
P GATORADE 5
R LAYS-CLASSIC 8
O ALTOIDS-PEPPERMINT 5 5
O NESTEA-LEMON-TEA 4 6
R FANTA-ORANGE 8
P TWIX 7
R CHEETOS-FLAMIN'-HOT 3
M 10
R PRINGLES-SOUR-CREAM-&-ONION 6
M 5
P STARBURST 3
P CLIF-BAR-CHOCOLATE-CHIP 1
R PLANET-OATS-CHOCOLATE-MILK 4
R MOUNTAIN-DEW 1
K WHAT-A-MATRAKA
P MONSTER-ENERGY 3
R KIT-KAT 7
R DR-PEPPER 7
R KIT-KAT 6
M 6
P AQUAFINA-WATER 8
P TRIDENT-SPEARMINT-GUM 4
P PEPSI 5
O HOSTESS-TWINKIES 5 7
R FANTA-ORANGE 10
R HOSTESS-TWINKIES 6
R NESQUIK-CHOCOLATE-MILK 6
R POCKY-CHOCOLATE 6
R POWERADE 3
R M&M 4
O FIJI-WATER 6 10
P MILKY-WAY 2
R CHEETOS-CRUNCHY 2
R DORITOS-COOL-RANCH 7
P AQUAFINA-WATER 3
R SUN-CHIPS-HARVEST-CHEDDAR 5
O NESTEA-LEMON-TEA 9 4
P NESTEA-LEMON-TEA 10
R COCA-COLA 10
R NESTEA-LEMON-TEA 2
O PRINGLES-ORIGINAL 8 9
R TWIX 6
R POWERADE 9
P M&M 5
O MENTOS-FRUIT 2 10
M 3
P SPRITE 5
R 3-MUSKETEERS 8
P NESTEA-LEMON-TEA 4
P MENTOS-FRUIT 5
R TASTYKAKE-HONEY-BUN 10
R NUTRI-GRAIN-STRAWBERRY 5
R CHEETOS-CRUNCHY 1
P HOSTESS-DONETTES-POWDERED 10
P SPRITE 8
P EXTRA-PEPPERMINT-GUM 8
O NUTRI-GRAIN-STRAWBERRY 4 10
R SUN-CHIPS-HARVEST-CHEDDAR 10
R CLIF-BAR-CHOCOLATE-CHIP 10
R AQUAFINA-WATER 8
R DORITOS-COOL-RANCH 10
R CHEETOS-CRUNCHY 4
R HOSTESS-TWINKIES 4
R HARIBO-GOLD-BEARS 5
P TROPICANA-ORANGE-JUICE 2
R M&M 7
R CLIF-BAR-CHOCOLATE-CHIP 6
R DASANI-WATER 6
R 3-MUSKETEERS 8
O RED-BULL 5 10
R STARBUCKS-FRAPPUCCINO 2
R HARIBO-GOLD-BEARS 5
R TWIX 1
R TRIDENT-SPEARMINT-GUM 9
R TRIDENT-SPEARMINT-GUM 10
O DORITOS-COOL-RANCH 2 8
R STARBURST 7
O FIJI-WATER 1 1
R SKITTLES 2
R TIC-TAC-ORANGE 10
R SMARTWATER 10
R SPRITE 2
R PRINGLES-ORIGINAL 5
P LAYS-CLASSIC 4
P EXTRA-PEPPERMINT-GUM 1
R OREO 7
R FANTA-ORANGE 1
M 1
R PRINGLES-SOUR-CREAM-&-ONION 3
R TIC-TAC-ORANGE 10
R HARIBO-GOLD-BEARS 9
R TASTYKAKE-HONEY-BUN 8
R SPRITE 6
R FIJI-WATER 3
R MOUNTAIN-DEW 1
P SMARTWATER 2
R CHEETOS-CRUNCHY 6
P EXTRA-PEPPERMINT-GUM 3
P STARBUCKS-FRAPPUCCINO 10
R RITZ-CRACKERS 4
R MONSTER-ENERGY 10
R MENTOS-FRUIT 3
M 7
R NUTRI-GRAIN-STRAWBERRY 5
R DORITOS-COOL-RANCH 6
P POWERADE 4
P NESTEA-LEMON-TEA 4
R KIND-BAR-DARK-CHOCOLATE-NUT 5
O AQUAFINA-WATER 7 6
M 6
R SPRITE 2
R GATORADE 4
P SNICKERS 1
R TROPICANA-ORANGE-JUICE 6
O NUTRI-GRAIN-STRAWBERRY 7 10
R HOSTESS-DONETTES-POWDERED 7
R SUN-CHIPS-HARVEST-CHEDDAR 9
R GATORADE 4
P NESQUIK-CHOCOLATE-MILK 3
O LIFE-SAVERS-GUMMIES 4 7
R TWIX 1
P CHEETOS-FLAMIN'-HOT 4
R CLIF-BAR-CHOCOLATE-CHIP 7
R TASTYKAKE-HONEY-BUN 3
P TWIX 6
R RITZ-CRACKERS 7
K WHAT-A-MATRAKA
R PEPSI 6
R FIJI-WATER 3
R COCA-COLA 9
R TIC-TAC-ORANGE 10
P 3-MUSKETEERS 8
R COCA-COLA 6
P ALTOIDS-PEPPERMINT 8
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R NESTEA-LEMON-TEA 6
R HOSTESS-TWINKIES 6
O KIT-KAT 5 5
P SMARTWATER 8
O SUN-CHIPS-HARVEST-CHEDDAR 10 5
R STARBURST 6
P SPRITE 10
P LAYS-CLASSIC 8
O AQUAFINA-WATER 5 6
R TROPICANA-ORANGE-JUICE 4
P MOUNTAIN-DEW 10
R SMARTWATER 2
O KIND-BAR-DARK-CHOCOLATE-NUT 7 5
R DORITOS-NACHO-CHEESE 6
R FANTA-ORANGE 8
R SKITTLES 10
P TIC-TAC-ORANGE 2
O PLANET-OATS-CHOCOLATE-MILK 2 8
R EXTRA-PEPPERMINT-GUM 3
P FIJI-WATER 3
R PEPSI 4
M 2
R CHEETOS-FLAMIN'-HOT 10
R RITZ-CRACKERS 10
R TROPICANA-ORANGE-JUICE 2
R LAYS-CLASSIC 9
R COCA-COLA 3
P HOSTESS-DONETTES-POWDERED 7
R FIJI-WATER 4
R NESQUIK-CHOCOLATE-MILK 9
O CLIF-BAR-CHOCOLATE-CHIP 4 8
O POWERADE 1 3
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R STARBURST 8
R TIC-TAC-ORANGE 10
R GATORADE 4
M 4
R DR-PEPPER 2
R RED-BULL 5
R DORITOS-NACHO-CHEESE 2
P NESQUIK-CHOCOLATE-MILK 10
R HARIBO-GOLD-BEARS 10
R TROPICANA-ORANGE-JUICE 3
O TRIDENT-SPEARMINT-GUM 2 8
R DORITOS-NACHO-CHEESE 6
O RITZ-CRACKERS 6 3
R DASANI-WATER 1
P SKITTLES 6
R NESQUIK-CHOCOLATE-MILK 4
R LAYS-CLASSIC 2
O MONSTER-ENERGY 7 3
R MOUNTAIN-DEW 1
R LAYS-BARBECUE 2
R DORITOS-NACHO-CHEESE 1
O HARIBO-GOLD-BEARS 8 9
R KIT-KAT 6
R 3-MUSKETEERS 9
M 7
K WHAT-A-MATRAKA
R TASTYKAKE-HONEY-BUN 10
O SUN-CHIPS-HARVEST-CHEDDAR 10 1
M 5
R NESQUIK-CHOCOLATE-MILK 2
R MILKY-WAY 1
P TASTYKAKE-HONEY-BUN 2
P ALTOIDS-PEPPERMINT 6
O CLIF-BAR-CHOCOLATE-CHIP 6 6
P STARBURST 2
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R MILKY-WAY 6
P DORITOS-COOL-RANCH 4
R TIC-TAC-ORANGE 10
R POWERADE 1
R RED-BULL 1
R DORITOS-NACHO-CHEESE 3
O AQUAFINA-WATER 3 4
R CLIF-BAR-CHOCOLATE-CHIP 4
