M 6
R AQUAFINA-WATER 1
P NESQUIK-CHOCOLATE-MILK 10
R PRINGLES-SOUR-CREAM-&-ONION 4
O POCKY-CHOCOLATE 8 1
R SMARTWATER 10
K WHAT-A-MATRAKA
P HOSTESS-TWINKIES 5
O EXTRA-PEPPERMINT-GUM 1 1
R SPRITE 9
P KIND-BAR-DARK-CHOCOLATE-NUT 2
R POWERADE 9
R SUN-CHIPS-HARVEST-CHEDDAR 9
M 5
R KIT-KAT 7
P 3-MUSKETEERS 6
R CHEETOS-CRUNCHY 4
P TASTYKAKE-HONEY-BUN 10
R PEPSI 7
R RITZ-CRACKERS 3
P DORITOS-COOL-RANCH 10
P FIJI-WATER 10
R CHEETOS-CRUNCHY 8
R STARBURST 1
R HARIBO-GOLD-BEARS 10
P DR-PEPPER 10
R MILKY-WAY 3
P HARIBO-GOLD-BEARS 1
O SMARTWATER 6 6
P POCKY-CHOCOLATE 6
O FANTA-ORANGE 8 7
R ALTOIDS-PEPPERMINT 9
P CHEETOS-CRUNCHY 7
R MONSTER-ENERGY 3
P KIT-KAT 4
R ALTOIDS-PEPPERMINT 7
R LAYS-BARBECUE 5
R NUTRI-GRAIN-STRAWBERRY 8
O NESTEA-LEMON-TEA 10 5
R TASTYKAKE-HONEY-BUN 7
R DORITOS-NACHO-CHEESE 4
K WHAT-A-MATRAKA
R TASTYKAKE-HONEY-BUN 6
R MOUNTAIN-DEW 7
R M&M 10
R TASTYKAKE-HONEY-BUN 8
P STARBURST 9
R RITZ-CRACKERS 7
M 10
R M&M 10
P GATORADE 1
R HOSTESS-TWINKIES 8
P KIND-BAR-DARK-CHOCOLATE-NUT 3
R MILKY-WAY 2
R TASTYKAKE-HONEY-BUN 9
K WHAT-A-MATRAKA
R PLANET-OATS-CHOCOLATE-MILK 5
P SKITTLES 6
R STARBURST 3
R EXTRA-PEPPERMINT-GUM 8
P OREO 8
P FANTA-ORANGE 4
P TRIDENT-SPEARMINT-GUM 5
R SNICKERS 4
R SUN-CHIPS-HARVEST-CHEDDAR 1
R DR-PEPPER 9
R MILKY-WAY 3
M 3
R 3-MUSKETEERS 4
P MILKY-WAY 10
R EXTRA-PEPPERMINT-GUM 5
R KIT-KAT 4
R FANTA-ORANGE 1
R GATORADE 5
R FIJI-WATER 8
R TIC-TAC-ORANGE 7
R HARIBO-GOLD-BEARS 1
R FIJI-WATER 9
R CHEETOS-CRUNCHY 8
R KIT-KAT 2
R CHEETOS-FLAMIN'-HOT 10
M 10
R DR-PEPPER 2
R LIFE-SAVERS-GUMMIES 2
M 5
K WHAT-A-MATRAKA
P KIT-KAT 10
P KIT-KAT 9
R OREO 9
P TIC-TAC-ORANGE 7
O CHEETOS-CRUNCHY 4 2
M 10
R DORITOS-NACHO-CHEESE 8
R STARBURST 1
P 3-MUSKETEERS 3
R DASANI-WATER 7
M 4
R DORITOS-COOL-RANCH 1
R MOUNTAIN-DEW 9
P PLANET-OATS-CHOCOLATE-MILK 6
R CHEETOS-CRUNCHY 10
R FANTA-ORANGE 8
R POCKY-CHOCOLATE 8
R M&M 9
M 7
P SKITTLES 3
R SNICKERS 9
O LAYS-CLASSIC 7 4
O M&M 3 1
R MENTOS-FRUIT 10
R MILKY-WAY 7
R KIT-KAT 9
R DORITOS-NACHO-CHEESE 3
P CHEETOS-FLAMIN'-HOT 1
R MENTOS-FRUIT 8
R TROPICANA-ORANGE-JUICE 1
R HARIBO-GOLD-BEARS 1
R CHEETOS-FLAMIN'-HOT 9
O CLIF-BAR-CHOCOLATE-CHIP 8 5
R COCA-COLA 1
P RITZ-CRACKERS 3
R MONSTER-ENERGY 9
R M&M 2
R CHEETOS-CRUNCHY 6
R NESTEA-LEMON-TEA 8
R PEPSI 9
P SMARTWATER 1
R EXTRA-PEPPERMINT-GUM 3
R OREO 8
R MONSTER-ENERGY 9
O ALTOIDS-PEPPERMINT 4 7
K WHAT-A-MATRAKA
P DASANI-WATER 3
R STARBURST 1
M 6
R LAYS-CLASSIC 4
M 5
P SPRITE 6
R EXTRA-PEPPERMINT-GUM 10
R PEPSI 5
P DASANI-WATER 8
R NESTEA-LEMON-TEA 8
O MENTOS-FRUIT 7 10
P GATORADE 8
P FIJI-WATER 6
K WHAT-A-MATRAKA
R OREO 3
R TRIDENT-SPEARMINT-GUM 6
P PRINGLES-ORIGINAL 3
O OREO 1 1
P TROPICANA-ORANGE-JUICE 5
R MILKY-WAY 6
O CHEETOS-FLAMIN'-HOT 3 3
R STARBURST 7
R FANTA-ORANGE 6
P SKITTLES 10
R CLIF-BAR-CHOCOLATE-CHIP 9
R EXTRA-PEPPERMINT-GUM 3
R PLANET-OATS-CHOCOLATE-MILK 6
M 10
R SKITTLES 1
R COCA-COLA 10
M 2
P SMARTWATER 9
M 7
R NESQUIK-CHOCOLATE-MILK 7
P PRINGLES-ORIGINAL 10
O MONSTER-ENERGY 7 8
P TASTYKAKE-HONEY-BUN 2
R FANTA-ORANGE 9
R RITZ-CRACKERS 8
R CHEETOS-FLAMIN'-HOT 9
K WHAT-A-MATRAKA
P FANTA-ORANGE 5
O HARIBO-GOLD-BEARS 7 5
R LIFE-SAVERS-GUMMIES 2
K WHAT-A-MATRAKA
P MONSTER-ENERGY 9
R LAYS-BARBECUE 1
R 3-MUSKETEERS 2
O FIJI-WATER 7 6
R PLANET-OATS-CHOCOLATE-MILK 3
R PRINGLES-ORIGINAL 5
M 10
P SKITTLES 2
R AQUAFINA-WATER 4
O NESTEA-LEMON-TEA 3 3
P SUN-CHIPS-HARVEST-CHEDDAR 8
K WHAT-A-MATRAKA
R KIT-KAT 3
K WHAT-A-MATRAKA
R SUN-CHIPS-HARVEST-CHEDDAR 7
R SPRITE 1
R GATORADE 10
R MENTOS-FRUIT 2
P CHEETOS-CRUNCHY 10
O TWIX 7 4
R COCA-COLA 8
R CHEETOS-FLAMIN'-HOT 10
R STARBUCKS-FRAPPUCCINO 4
P DASANI-WATER 3
P DASANI-WATER 3
P MILKY-WAY 3
P DR-PEPPER 9
P LIFE-SAVERS-GUMMIES 4
M 1
R PRINGLES-ORIGINAL 8
R DORITOS-COOL-RANCH 2
R KIT-KAT 6
R CLIF-BAR-CHOCOLATE-CHIP 4
K WHAT-A-MATRAKA
R SUN-CHIPS-HARVEST-CHEDDAR 4
P SUN-CHIPS-HARVEST-CHEDDAR 6
P MENTOS-FRUIT 7
R SKITTLES 6
R M&M 1
P RED-BULL 1
P DR-PEPPER 3
R OREO 8
R OREO 8
O DORITOS-COOL-RANCH 8 6
P GATORADE 7
R EXTRA-PEPPERMINT-GUM 9
R ALTOIDS-PEPPERMINT 10
R PRINGLES-ORIGINAL 6
R SNICKERS 1
R POWERADE 1
O OREO 7 9
P SKITTLES 5
R NESTEA-LEMON-TEA 9
R KIND-BAR-DARK-CHOCOLATE-NUT 7
P LAYS-BARBECUE 7
O POCKY-CHOCOLATE 10 7
O AQUAFINA-WATER 3 6
R RITZ-CRACKERS 4
R FIJI-WATER 2
R OREO 5
R NESQUIK-CHOCOLATE-MILK 7
R HOSTESS-TWINKIES 7
R PEPSI 7
R NESTEA-LEMON-TEA 6
R NESTEA-LEMON-TEA 5
R EXTRA-PEPPERMINT-GUM 9
R HOSTESS-DONETTES-POWDERED 4
R LAYS-BARBECUE 7
R RED-BULL 7
P CHEETOS-CRUNCHY 9
P PRINGLES-SOUR-CREAM-&-ONION 5
R LAYS-CLASSIC 3
O DR-PEPPER 8 8
O LIFE-SAVERS-GUMMIES 8 8
R PRINGLES-SOUR-CREAM-&-ONION 5
P PLANET-OATS-CHOCOLATE-MILK 9
R STARBUCKS-FRAPPUCCINO 9
R NESTEA-LEMON-TEA 7
R SPRITE 1
P RITZ-CRACKERS 10
O NESTEA-LEMON-TEA 8 10
P HOSTESS-TWINKIES 3
R OREO 4
M 3
O POWERADE 2 6
R HOSTESS-DONETTES-POWDERED 7
R POWERADE 6
P NESTEA-LEMON-TEA 7
M 6
M 7
R NUTRI-GRAIN-STRAWBERRY 7
R TASTYKAKE-HONEY-BUN 6
R TRIDENT-SPEARMINT-GUM 7
P ALTOIDS-PEPPERMINT 3
R AQUAFINA-WATER 1
R FANTA-ORANGE 6
R HARIBO-GOLD-BEARS 4
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R POCKY-CHOCOLATE 8
R CLIF-BAR-CHOCOLATE-CHIP 10
R NESQUIK-CHOCOLATE-MILK 5
R POWERADE 6
R PEPSI 8
R SMARTWATER 5
R MOUNTAIN-DEW 7
R TRIDENT-SPEARMINT-GUM 2
R STARBURST 7
R KIND-BAR-DARK-CHOCOLATE-NUT 6
R LAYS-CLASSIC 9
P HOSTESS-TWINKIES 10
R FIJI-WATER 4
R SMARTWATER 10
R SMARTWATER 2
R MOUNTAIN-DEW 7
P STARBUCKS-FRAPPUCCINO 8
P LAYS-BARBECUE 3
R LAYS-BARBECUE 6
R COCA-COLA 1
R 3-MUSKETEERS 8
R MONSTER-ENERGY 10
R NUTRI-GRAIN-STRAWBERRY 8
P ALTOIDS-PEPPERMINT 5
M 9
K WHAT-A-MATRAKA
R HARIBO-GOLD-BEARS 7
R STARBURST 3
R MILKY-WAY 7
R HARIBO-GOLD-BEARS 7
P DORITOS-NACHO-CHEESE 7
P POCKY-CHOCOLATE 1
O DORITOS-NACHO-CHEESE 6 4
P ALTOIDS-PEPPERMINT 6
R RED-BULL 2
R POWERADE 10
R SPRITE 1
P DORITOS-COOL-RANCH 2
R STARBURST 3
R TROPICANA-ORANGE-JUICE 10
O GATORADE 1 2
R LAYS-CLASSIC 7
P POWERADE 7
P PLANET-OATS-CHOCOLATE-MILK 6
R POWERADE 6
R M&M 4
R RED-BULL 3
P LAYS-CLASSIC 7
M 8
R SMARTWATER 1
P OREO 8
R PLANET-OATS-CHOCOLATE-MILK 3
R KIND-BAR-DARK-CHOCOLATE-NUT 6
M 4
R MENTOS-FRUIT 8
P SMARTWATER 6
R FANTA-ORANGE 2
P AQUAFINA-WATER 1
R PEPSI 7
M 9
R RED-BULL 7
R DR-PEPPER 5
K WHAT-A-MATRAKA
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R TRIDENT-SPEARMINT-GUM 5
K WHAT-A-MATRAKA
P SPRITE 4
M 7
R SUN-CHIPS-HARVEST-CHEDDAR 7
R NESTEA-LEMON-TEA 9
K WHAT-A-MATRAKA
P 3-MUSKETEERS 6
P NESQUIK-CHOCOLATE-MILK 5
K WHAT-A-MATRAKA
R HARIBO-GOLD-BEARS 4
P PEPSI 4
R TASTYKAKE-HONEY-BUN 1
M 9
R TWIX 9
R M&M 8
P NUTRI-GRAIN-STRAWBERRY 2
R MOUNTAIN-DEW 2
R TROPICANA-ORANGE-JUICE 1
O MONSTER-ENERGY 5 9
R DR-PEPPER 7
O LAYS-BARBECUE 10 10
R TWIX 6
M 10
R MONSTER-ENERGY 5
R TASTYKAKE-HONEY-BUN 7
P STARBUCKS-FRAPPUCCINO 9
R MONSTER-ENERGY 3
P TROPICANA-ORANGE-JUICE 6
P RITZ-CRACKERS 10
R CHEETOS-FLAMIN'-HOT 8
R SKITTLES 6
R FANTA-ORANGE 4
K WHAT-A-MATRAKA
P TROPICANA-ORANGE-JUICE 5
O ALTOIDS-PEPPERMINT 4 10
O HOSTESS-TWINKIES 1 8
R PEPSI 7
R RITZ-CRACKERS 6
R SKITTLES 9
R SNICKERS 10
P PRINGLES-ORIGINAL 4
K WHAT-A-MATRAKA
R OREO 6
M 2
P DR-PEPPER 3
M 4
R COCA-COLA 10
R CHEETOS-FLAMIN'-HOT 8
R PRINGLES-SOUR-CREAM-&-ONION 2
M 10
O TWIX 2 3
R PLANET-OATS-CHOCOLATE-MILK 3
R POCKY-CHOCOLATE 10
R ALTOIDS-PEPPERMINT 5
R PLANET-OATS-CHOCOLATE-MILK 8
R HARIBO-GOLD-BEARS 5
R NESTEA-LEMON-TEA 9
O HARIBO-GOLD-BEARS 4 8
R SNICKERS 1
O POWERADE 2 9
R SNICKERS 4
R FIJI-WATER 1
R SPRITE 8
R DR-PEPPER 4
P POWERADE 10
M 5
R RITZ-CRACKERS 3
R HOSTESS-DONETTES-POWDERED 6
R SNICKERS 6
P CHEETOS-FLAMIN'-HOT 9
R ALTOIDS-PEPPERMINT 7
R SKITTLES 3
P DORITOS-NACHO-CHEESE 3
P CLIF-BAR-CHOCOLATE-CHIP 5
R DORITOS-COOL-RANCH 8
R EXTRA-PEPPERMINT-GUM 2
O CHEETOS-FLAMIN'-HOT 6 10
R CHEETOS-CRUNCHY 10
O STARBUCKS-FRAPPUCCINO 8 7
R GATORADE 6
R TIC-TAC-ORANGE 5
R AQUAFINA-WATER 3
R KIND-BAR-DARK-CHOCOLATE-NUT 7
R GATORADE 6
O PRINGLES-ORIGINAL 1 10
O CHEETOS-FLAMIN'-HOT 5 2
P CLIF-BAR-CHOCOLATE-CHIP 3
R GATORADE 7
R POCKY-CHOCOLATE 4
M 8
R SNICKERS 8
R KIT-KAT 10
R MONSTER-ENERGY 8
P CHEETOS-FLAMIN'-HOT 9
R TRIDENT-SPEARMINT-GUM 8
R POCKY-CHOCOLATE 10
R RITZ-CRACKERS 9
R KIND-BAR-DARK-CHOCOLATE-NUT 2
P PLANET-OATS-CHOCOLATE-MILK 4
P LAYS-BARBECUE 8
P MENTOS-FRUIT 3
K WHAT-A-MATRAKA
R COCA-COLA 10
P EXTRA-PEPPERMINT-GUM 2
P RED-BULL 6
R RITZ-CRACKERS 9
O MILKY-WAY 9 8
R EXTRA-PEPPERMINT-GUM 8
R RITZ-CRACKERS 8
R STARBUCKS-FRAPPUCCINO 8
M 7
M 4
O OREO 9 9
P TRIDENT-SPEARMINT-GUM 7
R TROPICANA-ORANGE-JUICE 5
R MILKY-WAY 4
R SUN-CHIPS-HARVEST-CHEDDAR 9
R CLIF-BAR-CHOCOLATE-CHIP 3
R AQUAFINA-WATER 9
P ALTOIDS-PEPPERMINT 6
P TROPICANA-ORANGE-JUICE 7
R KIND-BAR-DARK-CHOCOLATE-NUT 10
R HOSTESS-TWINKIES 10
R FANTA-ORANGE 2
P CHEETOS-CRUNCHY 7
O NESTEA-LEMON-TEA 4 9
R SUN-CHIPS-HARVEST-CHEDDAR 6
P MOUNTAIN-DEW 4
P CHEETOS-CRUNCHY 1
M 8
P PEPSI 3
R NUTRI-GRAIN-STRAWBERRY 1
O STARBURST 7 8
O EXTRA-PEPPERMINT-GUM 6 9
R CHEETOS-CRUNCHY 6
R NUTRI-GRAIN-STRAWBERRY 4
P PRINGLES-SOUR-CREAM-&-ONION 8
P CHEETOS-FLAMIN'-HOT 1
M 3
O CLIF-BAR-CHOCOLATE-CHIP 1 6
R SKITTLES 5
R LIFE-SAVERS-GUMMIES 4
P HARIBO-GOLD-BEARS 10
R FIJI-WATER 8
M 4
R LAYS-BARBECUE 2
P PRINGLES-SOUR-CREAM-&-ONION 4
R LAYS-CLASSIC 9
R 3-MUSKETEERS 3
R TRIDENT-SPEARMINT-GUM 5
R TRIDENT-SPEARMINT-GUM 7
R MILKY-WAY 7
R CHEETOS-CRUNCHY 1
R LAYS-CLASSIC 7
R POWERADE 5
R M&M 8
R HOSTESS-DONETTES-POWDERED 2
R LAYS-BARBECUE 3
R COCA-COLA 9
O LIFE-SAVERS-GUMMIES 4 8
R NESQUIK-CHOCOLATE-MILK 6
R MILKY-WAY 2
P PEPSI 6
R PEPSI 3
P DASANI-WATER 2
K WHAT-A-MATRAKA
M 9
O MILKY-WAY 7 5
P POCKY-CHOCOLATE 6
K WHAT-A-MATRAKA
O CLIF-BAR-CHOCOLATE-CHIP 5 9
P NUTRI-GRAIN-STRAWBERRY 9
R FIJI-WATER 4
R SMARTWATER 1
R MENTOS-FRUIT 6
O NUTRI-GRAIN-STRAWBERRY 6 7
R STARBUCKS-FRAPPUCCINO 7
R GATORADE 8
R TRIDENT-SPEARMINT-GUM 2
P HOSTESS-TWINKIES 6
P OREO 1
P STARBURST 4
R KIT-KAT 4
R PRINGLES-ORIGINAL 7
R NUTRI-GRAIN-STRAWBERRY 10
P FIJI-WATER 2
R RED-BULL 3
R HOSTESS-DONETTES-POWDERED 10
R AQUAFINA-WATER 5
R ALTOIDS-PEPPERMINT 2
R SPRITE 10
P SUN-CHIPS-HARVEST-CHEDDAR 5
P KIT-KAT 5
P TRIDENT-SPEARMINT-GUM 8
P FANTA-ORANGE 10
R HOSTESS-DONETTES-POWDERED 9
K WHAT-A-MATRAKA
R RITZ-CRACKERS 4
P EXTRA-PEPPERMINT-GUM 2
R STARBURST 4
P KIND-BAR-DARK-CHOCOLATE-NUT 3
R SNICKERS 5
R MOUNTAIN-DEW 1
R MOUNTAIN-DEW 9
O CHEETOS-CRUNCHY 3 8
P SKITTLES 2
P STARBUCKS-FRAPPUCCINO 5
R PLANET-OATS-CHOCOLATE-MILK 6
R SPRITE 2
R TASTYKAKE-HONEY-BUN 4
R TWIX 6
R AQUAFINA-WATER 8
P MILKY-WAY 1
O SKITTLES 1 8
O FANTA-ORANGE 7 1
M 4
P TIC-TAC-ORANGE 1
R KIT-KAT 5
R COCA-COLA 6
R NESQUIK-CHOCOLATE-MILK 9
K WHAT-A-MATRAKA
O PLANET-OATS-CHOCOLATE-MILK 8 10
R AQUAFINA-WATER 2
R CHEETOS-FLAMIN'-HOT 7
R MILKY-WAY 7
R TROPICANA-ORANGE-JUICE 5
O GATORADE 6 8
O NESQUIK-CHOCOLATE-MILK 3 1
R CHEETOS-CRUNCHY 8
R NESQUIK-CHOCOLATE-MILK 2
K WHAT-A-MATRAKA
R STARBURST 7
M 7
P M&M 4
R POWERADE 1
K WHAT-A-MATRAKA
R LAYS-CLASSIC 3
R MOUNTAIN-DEW 4
P HARIBO-GOLD-BEARS 7
R DR-PEPPER 2
R MILKY-WAY 10
R POWERADE 5
R DORITOS-COOL-RANCH 5
R SPRITE 3
P COCA-COLA 5
R DORITOS-NACHO-CHEESE 1
R TASTYKAKE-HONEY-BUN 6
R SKITTLES 2
P POCKY-CHOCOLATE 7
R EXTRA-PEPPERMINT-GUM 2
O SPRITE 1 6
R HOSTESS-TWINKIES 2
R DR-PEPPER 8
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
O TASTYKAKE-HONEY-BUN 1 10
R LAYS-BARBECUE 4
R ALTOIDS-PEPPERMINT 4
R CHEETOS-CRUNCHY 8
R LAYS-CLASSIC 10
R TIC-TAC-ORANGE 7
R TRIDENT-SPEARMINT-GUM 5
R FIJI-WATER 4
R SNICKERS 6
M 7
P POCKY-CHOCOLATE 5
R STARBURST 6
R DASANI-WATER 7
P RED-BULL 1
R DORITOS-NACHO-CHEESE 2
R PRINGLES-ORIGINAL 6
R LAYS-CLASSIC 1
R SKITTLES 3
R TWIX 2
R ALTOIDS-PEPPERMINT 7
R TRIDENT-SPEARMINT-GUM 8
R SPRITE 2
R PRINGLES-ORIGINAL 7
R GATORADE 7
R PRINGLES-ORIGINAL 9
O SMARTWATER 2 9
M 6
R STARBUCKS-FRAPPUCCINO 9
R TROPICANA-ORANGE-JUICE 3
K WHAT-A-MATRAKA
R GATORADE 5
R M&M 2
R NUTRI-GRAIN-STRAWBERRY 8
M 5
R PRINGLES-SOUR-CREAM-&-ONION 4
R SMARTWATER 6
R TROPICANA-ORANGE-JUICE 9
R FANTA-ORANGE 9
R GATORADE 2
R RITZ-CRACKERS 7
R TWIX 5
O PRINGLES-ORIGINAL 10 10
R SMARTWATER 9
