K WHAT-A-MATRAKA
R PLANET-OATS-CHOCOLATE-MILK 2
R MOUNTAIN-DEW 9
R MONSTER-ENERGY 3
P SNICKERS 4
R FIJI-WATER 8
R TIC-TAC-ORANGE 10
R FANTA-ORANGE 4
R PRINGLES-SOUR-CREAM-&-ONION 10
O HOSTESS-TWINKIES 2 4
R STARBUCKS-FRAPPUCCINO 3
P KIT-KAT 10
P PLANET-OATS-CHOCOLATE-MILK 1
R DORITOS-COOL-RANCH 2
R SPRITE 10
R DORITOS-COOL-RANCH 8
R POCKY-CHOCOLATE 9
R RITZ-CRACKERS 2
R LIFE-SAVERS-GUMMIES 5
R PEPSI 5
R SMARTWATER 10
P MENTOS-FRUIT 9
R HARIBO-GOLD-BEARS 10
R TRIDENT-SPEARMINT-GUM 10
P DASANI-WATER 10
R PRINGLES-ORIGINAL 1
R MENTOS-FRUIT 1
P FANTA-ORANGE 9
O STARBUCKS-FRAPPUCCINO 1 6
K WHAT-A-MATRAKA
O SUN-CHIPS-HARVEST-CHEDDAR 8 8
R AQUAFINA-WATER 7
M 5
R HOSTESS-TWINKIES 5
K WHAT-A-MATRAKA
R NUTRI-GRAIN-STRAWBERRY 10
R SMARTWATER 6
R DORITOS-NACHO-CHEESE 6
R FIJI-WATER 8
O LAYS-BARBECUE 8 6
R PRINGLES-ORIGINAL 5
R POCKY-CHOCOLATE 2
R DORITOS-NACHO-CHEESE 6
R LAYS-BARBECUE 2
R TWIX 5
P EXTRA-PEPPERMINT-GUM 7
R SMARTWATER 5
R 3-MUSKETEERS 7
P RITZ-CRACKERS 3
P CHEETOS-FLAMIN'-HOT 10
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R MENTOS-FRUIT 2
R HOSTESS-TWINKIES 8
P COCA-COLA 6
R PLANET-OATS-CHOCOLATE-MILK 5
O GATORADE 1 10
R SUN-CHIPS-HARVEST-CHEDDAR 5
M 4
R KIND-BAR-DARK-CHOCOLATE-NUT 5
P MONSTER-ENERGY 1
M 2
K WHAT-A-MATRAKA
R HOSTESS-DONETTES-POWDERED 7
R FANTA-ORANGE 7
R KIT-KAT 4
R DORITOS-NACHO-CHEESE 2
O SUN-CHIPS-HARVEST-CHEDDAR 2 6
R MOUNTAIN-DEW 6
R ALTOIDS-PEPPERMINT 9
M 5
P MONSTER-ENERGY 6
R MONSTER-ENERGY 4
R MENTOS-FRUIT 7
R FIJI-WATER 9
R 3-MUSKETEERS 5
K WHAT-A-MATRAKA
P FIJI-WATER 6
R TIC-TAC-ORANGE 7
R TWIX 9
K WHAT-A-MATRAKA
R DASANI-WATER 1
O FANTA-ORANGE 8 6
K WHAT-A-MATRAKA
R RED-BULL 1
O CLIF-BAR-CHOCOLATE-CHIP 8 5
R NESTEA-LEMON-TEA 9
M 7
O PRINGLES-SOUR-CREAM-&-ONION 4 4
R CHEETOS-FLAMIN'-HOT 6
R TWIX 3
R KIND-BAR-DARK-CHOCOLATE-NUT 8
P PRINGLES-SOUR-CREAM-&-ONION 9
R TRIDENT-SPEARMINT-GUM 2
R POWERADE 8
R TROPICANA-ORANGE-JUICE 8
P ALTOIDS-PEPPERMINT 5
R DORITOS-NACHO-CHEESE 9
R MOUNTAIN-DEW 2
R TWIX 4
R EXTRA-PEPPERMINT-GUM 7
P SMARTWATER 9
R MENTOS-FRUIT 1
R M&M 1
R NESQUIK-CHOCOLATE-MILK 8
R DORITOS-NACHO-CHEESE 5
R KIND-BAR-DARK-CHOCOLATE-NUT 9
M 1
R KIND-BAR-DARK-CHOCOLATE-NUT 3
P KIND-BAR-DARK-CHOCOLATE-NUT 5
R TASTYKAKE-HONEY-BUN 9
P DORITOS-COOL-RANCH 6
R CHEETOS-CRUNCHY 9
R LAYS-CLASSIC 3
R SMARTWATER 4
P 3-MUSKETEERS 9
R M&M 4
R ALTOIDS-PEPPERMINT 3
M 3
M 7
R DORITOS-NACHO-CHEESE 2
R PRINGLES-SOUR-CREAM-&-ONION 10
R RITZ-CRACKERS 4
R DORITOS-NACHO-CHEESE 10
R RED-BULL 8
P OREO 2
P EXTRA-PEPPERMINT-GUM 3
P STARBURST 4
P RED-BULL 2
K WHAT-A-MATRAKA
R GATORADE 1
P KIND-BAR-DARK-CHOCOLATE-NUT 1
O TROPICANA-ORANGE-JUICE 10 4
M 4
R ALTOIDS-PEPPERMINT 1
P MOUNTAIN-DEW 3
R CHEETOS-CRUNCHY 4
R TWIX 5
R CLIF-BAR-CHOCOLATE-CHIP 1
R M&M 4
R SUN-CHIPS-HARVEST-CHEDDAR 10
R DASANI-WATER 6
R CLIF-BAR-CHOCOLATE-CHIP 5
P SUN-CHIPS-HARVEST-CHEDDAR 1
R MENTOS-FRUIT 9
R SUN-CHIPS-HARVEST-CHEDDAR 9
R HARIBO-GOLD-BEARS 10
M 7
R DORITOS-COOL-RANCH 8
R TROPICANA-ORANGE-JUICE 10
P MENTOS-FRUIT 4
R GATORADE 4
R MILKY-WAY 4
R OREO 10
R KIT-KAT 1
R 3-MUSKETEERS 1
R 3-MUSKETEERS 2
R FIJI-WATER 6
O EXTRA-PEPPERMINT-GUM 1 7
R FIJI-WATER 3
K WHAT-A-MATRAKA
R HOSTESS-TWINKIES 5
P CLIF-BAR-CHOCOLATE-CHIP 10
M 3
R M&M 5
R POWERADE 1
R FANTA-ORANGE 10
R STARBUCKS-FRAPPUCCINO 8
R MONSTER-ENERGY 10
R STARBURST 10
O NESTEA-LEMON-TEA 1 9
R DR-PEPPER 8
R TASTYKAKE-HONEY-BUN 7
R DASANI-WATER 10
R TRIDENT-SPEARMINT-GUM 4
O PRINGLES-SOUR-CREAM-&-ONION 5 4
P NESQUIK-CHOCOLATE-MILK 8
K WHAT-A-MATRAKA
R NUTRI-GRAIN-STRAWBERRY 10
O POWERADE 4 2
P CHEETOS-CRUNCHY 6
R STARBUCKS-FRAPPUCCINO 5
R RITZ-CRACKERS 4
R GATORADE 3
P TRIDENT-SPEARMINT-GUM 2
R POCKY-CHOCOLATE 10
R TRIDENT-SPEARMINT-GUM 9
R KIT-KAT 7
P SKITTLES 4
K WHAT-A-MATRAKA
P PLANET-OATS-CHOCOLATE-MILK 5
R RED-BULL 7
R TROPICANA-ORANGE-JUICE 1
P PRINGLES-ORIGINAL 5
M 6
R KIND-BAR-DARK-CHOCOLATE-NUT 10
R LIFE-SAVERS-GUMMIES 3
O POWERADE 7 10
R AQUAFINA-WATER 5
R DASANI-WATER 3
P SPRITE 8
R TROPICANA-ORANGE-JUICE 4
R LAYS-BARBECUE 3
P MENTOS-FRUIT 2
P CLIF-BAR-CHOCOLATE-CHIP 10
R TROPICANA-ORANGE-JUICE 10
M 7
R NESQUIK-CHOCOLATE-MILK 6
P SPRITE 10
P NUTRI-GRAIN-STRAWBERRY 2
P NESTEA-LEMON-TEA 3
R ALTOIDS-PEPPERMINT 4
R CHEETOS-CRUNCHY 8
P TASTYKAKE-HONEY-BUN 5
M 2
R RED-BULL 6
O NESTEA-LEMON-TEA 8 5
P KIT-KAT 10
P SPRITE 3
R NESTEA-LEMON-TEA 9
R ALTOIDS-PEPPERMINT 3
R STARBUCKS-FRAPPUCCINO 6
R RED-BULL 5
O HARIBO-GOLD-BEARS 10 7
R CHEETOS-FLAMIN'-HOT 10
R FIJI-WATER 5
R KIND-BAR-DARK-CHOCOLATE-NUT 7
P SUN-CHIPS-HARVEST-CHEDDAR 2
O FIJI-WATER 5 10
O STARBUCKS-FRAPPUCCINO 7 1
R POWERADE 8
P SMARTWATER 7
R HOSTESS-TWINKIES 2
O CLIF-BAR-CHOCOLATE-CHIP 2 8
P ALTOIDS-PEPPERMINT 8
R DR-PEPPER 10
R FANTA-ORANGE 5
R PLANET-OATS-CHOCOLATE-MILK 3
P NESTEA-LEMON-TEA 3
R MILKY-WAY 2
R NUTRI-GRAIN-STRAWBERRY 4
R CLIF-BAR-CHOCOLATE-CHIP 9
P OREO 1
R DASANI-WATER 1
R PRINGLES-ORIGINAL 1
R FIJI-WATER 2
R RITZ-CRACKERS 9
R PEPSI 3
P OREO 9
O POCKY-CHOCOLATE 4 2
P KIND-BAR-DARK-CHOCOLATE-NUT 3
R MENTOS-FRUIT 1
R TRIDENT-SPEARMINT-GUM 5
P MOUNTAIN-DEW 9
R SKITTLES 3
R RITZ-CRACKERS 2
M 1
M 1
R SMARTWATER 5
R COCA-COLA 6
R CHEETOS-FLAMIN'-HOT 8
R LIFE-SAVERS-GUMMIES 1
P EXTRA-PEPPERMINT-GUM 5
R SUN-CHIPS-HARVEST-CHEDDAR 5
R KIND-BAR-DARK-CHOCOLATE-NUT 1
R COCA-COLA 4
R PRINGLES-ORIGINAL 5
P TWIX 2
P HOSTESS-DONETTES-POWDERED 2
O POCKY-CHOCOLATE 7 3
P NESTEA-LEMON-TEA 10
M 2
R DORITOS-COOL-RANCH 6
P DASANI-WATER 2
R MOUNTAIN-DEW 1
P HARIBO-GOLD-BEARS 1
O COCA-COLA 6 9
K WHAT-A-MATRAKA
P OREO 2
P NUTRI-GRAIN-STRAWBERRY 6
R LAYS-BARBECUE 4
O RITZ-CRACKERS 7 7
M 3
O GATORADE 2 5
R FIJI-WATER 10
R LAYS-CLASSIC 10
M 1
P POCKY-CHOCOLATE 3
P STARBUCKS-FRAPPUCCINO 2
R FANTA-ORANGE 4
P RED-BULL 3
R LAYS-CLASSIC 9
R PEPSI 5
P DASANI-WATER 1
K WHAT-A-MATRAKA
R SKITTLES 5
P NESQUIK-CHOCOLATE-MILK 4
R RITZ-CRACKERS 1
R POWERADE 4
O M&M 7 6
R NESQUIK-CHOCOLATE-MILK 4
P CLIF-BAR-CHOCOLATE-CHIP 2
R OREO 2
M 6
O MONSTER-ENERGY 8 5
R TASTYKAKE-HONEY-BUN 3
R MONSTER-ENERGY 6
O HOSTESS-DONETTES-POWDERED 9 10
K WHAT-A-MATRAKA
R FIJI-WATER 9
R TASTYKAKE-HONEY-BUN 3
P HOSTESS-DONETTES-POWDERED 3
R TROPICANA-ORANGE-JUICE 5
R MONSTER-ENERGY 3
R SNICKERS 6
P SPRITE 3
R MILKY-WAY 2
R HOSTESS-DONETTES-POWDERED 9
P KIT-KAT 7
O CLIF-BAR-CHOCOLATE-CHIP 2 2
R PLANET-OATS-CHOCOLATE-MILK 5
R MONSTER-ENERGY 5
R DORITOS-NACHO-CHEESE 3
M 10
P CLIF-BAR-CHOCOLATE-CHIP 1
R PRINGLES-ORIGINAL 10
M 7
R FIJI-WATER 9
K WHAT-A-MATRAKA
R PRINGLES-SOUR-CREAM-&-ONION 7
P SUN-CHIPS-HARVEST-CHEDDAR 7
R COCA-COLA 7
O LIFE-SAVERS-GUMMIES 10 1
R KIND-BAR-DARK-CHOCOLATE-NUT 1
O OREO 10 10
R RED-BULL 3
R CLIF-BAR-CHOCOLATE-CHIP 7
R MILKY-WAY 5
R MILKY-WAY 3
R SKITTLES 3
R 3-MUSKETEERS 9
R FANTA-ORANGE 4
P POWERADE 4
O SKITTLES 6 10
R RED-BULL 1
R OREO 1
P SMARTWATER 5
R SNICKERS 5
R TIC-TAC-ORANGE 8
P NESQUIK-CHOCOLATE-MILK 6
R ALTOIDS-PEPPERMINT 3
R COCA-COLA 2
R NUTRI-GRAIN-STRAWBERRY 7
R TASTYKAKE-HONEY-BUN 5
M 1
O LIFE-SAVERS-GUMMIES 9 9
P OREO 9
R SKITTLES 10
R COCA-COLA 3
R FIJI-WATER 2
R HARIBO-GOLD-BEARS 2
R MOUNTAIN-DEW 8
R GATORADE 2
R MILKY-WAY 5
R CHEETOS-FLAMIN'-HOT 3
R HOSTESS-TWINKIES 4
R SNICKERS 6
O KIT-KAT 4 4
O NESQUIK-CHOCOLATE-MILK 10 8
R DASANI-WATER 4
R STARBURST 3
R STARBURST 6
R KIT-KAT 4
R COCA-COLA 7
R KIND-BAR-DARK-CHOCOLATE-NUT 10
O FIJI-WATER 5 6
O STARBUCKS-FRAPPUCCINO 7 9
O FANTA-ORANGE 10 6
R SPRITE 5
R GATORADE 4
R PRINGLES-ORIGINAL 3
R PEPSI 9
R PRINGLES-SOUR-CREAM-&-ONION 5
R PLANET-OATS-CHOCOLATE-MILK 8
K WHAT-A-MATRAKA
R GATORADE 1
R PLANET-OATS-CHOCOLATE-MILK 2
P SUN-CHIPS-HARVEST-CHEDDAR 4
R EXTRA-PEPPERMINT-GUM 4
K WHAT-A-MATRAKA
R POCKY-CHOCOLATE 2
R HOSTESS-TWINKIES 3
R SUN-CHIPS-HARVEST-CHEDDAR 7
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R DR-PEPPER 7
R RED-BULL 8
R PRINGLES-SOUR-CREAM-&-ONION 9
R NESQUIK-CHOCOLATE-MILK 7
R GATORADE 1
R OREO 7
R HOSTESS-DONETTES-POWDERED 5
R GATORADE 4
R GATORADE 5
P SMARTWATER 7
M 1
R SNICKERS 7
R PEPSI 5
R OREO 7
R STARBURST 5
M 4
P DORITOS-COOL-RANCH 10
R NESQUIK-CHOCOLATE-MILK 2
O NESTEA-LEMON-TEA 10 2
P NUTRI-GRAIN-STRAWBERRY 6
O TROPICANA-ORANGE-JUICE 7 9
O PRINGLES-ORIGINAL 9 3
M 5
R RED-BULL 6
O LIFE-SAVERS-GUMMIES 8 9
R FANTA-ORANGE 9
O CHEETOS-CRUNCHY 2 7
R HOSTESS-DONETTES-POWDERED 10
P PEPSI 10
R SKITTLES 8
R SUN-CHIPS-HARVEST-CHEDDAR 1
K WHAT-A-MATRAKA
P DORITOS-NACHO-CHEESE 8
R DASANI-WATER 10
R HARIBO-GOLD-BEARS 2
P EXTRA-PEPPERMINT-GUM 4
R DORITOS-NACHO-CHEESE 2
O AQUAFINA-WATER 5 8
R TRIDENT-SPEARMINT-GUM 9
R SPRITE 8
R STARBUCKS-FRAPPUCCINO 9
R PLANET-OATS-CHOCOLATE-MILK 7
R CHEETOS-FLAMIN'-HOT 10
P DASANI-WATER 5
R NESTEA-LEMON-TEA 6
O HOSTESS-TWINKIES 6 3
R DASANI-WATER 9
R PRINGLES-SOUR-CREAM-&-ONION 8
R HARIBO-GOLD-BEARS 8
P SKITTLES 10
P CHEETOS-FLAMIN'-HOT 9
P COCA-COLA 10
M 1
R POCKY-CHOCOLATE 10
R TWIX 10
M 7
P LIFE-SAVERS-GUMMIES 5
R PRINGLES-SOUR-CREAM-&-ONION 3
R NUTRI-GRAIN-STRAWBERRY 3
M 2
P COCA-COLA 6
R CLIF-BAR-CHOCOLATE-CHIP 5
R SPRITE 8
O PRINGLES-SOUR-CREAM-&-ONION 4 6
R CHEETOS-CRUNCHY 6
R HOSTESS-TWINKIES 1
R SNICKERS 9
P PRINGLES-SOUR-CREAM-&-ONION 4
P NESQUIK-CHOCOLATE-MILK 6
R FANTA-ORANGE 7
R LIFE-SAVERS-GUMMIES 1
R SMARTWATER 9
R RITZ-CRACKERS 2
R NUTRI-GRAIN-STRAWBERRY 9
P GATORADE 2
O DR-PEPPER 8 2
K WHAT-A-MATRAKA
P DORITOS-COOL-RANCH 5
P FANTA-ORANGE 9
R MILKY-WAY 8
R NESQUIK-CHOCOLATE-MILK 1
R MOUNTAIN-DEW 1
P PEPSI 4
R NESQUIK-CHOCOLATE-MILK 3
P DR-PEPPER 10
R POCKY-CHOCOLATE 3
R SPRITE 8
R SNICKERS 6
R AQUAFINA-WATER 6
K WHAT-A-MATRAKA
R LIFE-SAVERS-GUMMIES 2
R FIJI-WATER 8
R STARBUCKS-FRAPPUCCINO 3
R PRINGLES-SOUR-CREAM-&-ONION 4
R RED-BULL 1
R TROPICANA-ORANGE-JUICE 2
R AQUAFINA-WATER 5
P SNICKERS 5
R 3-MUSKETEERS 10
M 10
R SKITTLES 4
R PRINGLES-ORIGINAL 7
P RITZ-CRACKERS 10
R HARIBO-GOLD-BEARS 1
R TIC-TAC-ORANGE 7
R FIJI-WATER 6
K WHAT-A-MATRAKA
P NESTEA-LEMON-TEA 1
R SNICKERS 6
R STARBURST 2
R ALTOIDS-PEPPERMINT 1
P STARBURST 3
P MILKY-WAY 8
R PEPSI 3
O ALTOIDS-PEPPERMINT 9 1
O MONSTER-ENERGY 9 1
R TIC-TAC-ORANGE 1
P AQUAFINA-WATER 4
R SNICKERS 10
P AQUAFINA-WATER 3
P POCKY-CHOCOLATE 2
P TWIX 2
R CHEETOS-FLAMIN'-HOT 1
R NESTEA-LEMON-TEA 9
R MOUNTAIN-DEW 1
R TWIX 9
R AQUAFINA-WATER 4
R NESQUIK-CHOCOLATE-MILK 4
P FIJI-WATER 10
R LAYS-CLASSIC 3
P NUTRI-GRAIN-STRAWBERRY 2
R LAYS-BARBECUE 4
P POCKY-CHOCOLATE 4
K WHAT-A-MATRAKA
R PEPSI 10
R PRINGLES-ORIGINAL 4
P CHEETOS-FLAMIN'-HOT 8
R DR-PEPPER 6
P HOSTESS-TWINKIES 6
R EXTRA-PEPPERMINT-GUM 10
R MENTOS-FRUIT 10
R 3-MUSKETEERS 10
R MONSTER-ENERGY 5
O MENTOS-FRUIT 9 10
R PLANET-OATS-CHOCOLATE-MILK 8
R RITZ-CRACKERS 3
R SUN-CHIPS-HARVEST-CHEDDAR 1
R PRINGLES-SOUR-CREAM-&-ONION 2
R CLIF-BAR-CHOCOLATE-CHIP 2
P STARBUCKS-FRAPPUCCINO 3
R TASTYKAKE-HONEY-BUN 9
R COCA-COLA 9
R NUTRI-GRAIN-STRAWBERRY 4
P HOSTESS-DONETTES-POWDERED 9
R OREO 6
R DASANI-WATER 4
R DR-PEPPER 1
R TASTYKAKE-HONEY-BUN 5
R ALTOIDS-PEPPERMINT 9
R STARBUCKS-FRAPPUCCINO 2
R MENTOS-FRUIT 5
R POWERADE 8
R PRINGLES-ORIGINAL 3
P CHEETOS-CRUNCHY 4
M 5
R HOSTESS-DONETTES-POWDERED 6
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R ALTOIDS-PEPPERMINT 8
R CHEETOS-FLAMIN'-HOT 10
R DORITOS-NACHO-CHEESE 1
R STARBURST 7
O RITZ-CRACKERS 1 9
P NUTRI-GRAIN-STRAWBERRY 8
R HOSTESS-DONETTES-POWDERED 5
P POWERADE 9
R AQUAFINA-WATER 4
R FANTA-ORANGE 9
P MENTOS-FRUIT 9
R HOSTESS-TWINKIES 10
P HARIBO-GOLD-BEARS 5
R CLIF-BAR-CHOCOLATE-CHIP 9
P 3-MUSKETEERS 5
R TRIDENT-SPEARMINT-GUM 2
R NUTRI-GRAIN-STRAWBERRY 6
R TROPICANA-ORANGE-JUICE 5
P GATORADE 3
R OREO 2
R DORITOS-COOL-RANCH 10
R RED-BULL 7
M 2
R PRINGLES-SOUR-CREAM-&-ONION 6
R POWERADE 9
P CHEETOS-CRUNCHY 9
R GATORADE 4
R PLANET-OATS-CHOCOLATE-MILK 9
K WHAT-A-MATRAKA
O MILKY-WAY 6 2
R 3-MUSKETEERS 1
R M&M 4
R GATORADE 10
R HOSTESS-DONETTES-POWDERED 5
M 9
R TIC-TAC-ORANGE 1
K WHAT-A-MATRAKA
R TRIDENT-SPEARMINT-GUM 2
R LAYS-CLASSIC 9
K WHAT-A-MATRAKA
R PRINGLES-SOUR-CREAM-&-ONION 5
R MENTOS-FRUIT 7
P SKITTLES 9
R ALTOIDS-PEPPERMINT 1
P NESTEA-LEMON-TEA 8
P MONSTER-ENERGY 1
P CHEETOS-CRUNCHY 8
R COCA-COLA 2
R ALTOIDS-PEPPERMINT 8
R CHEETOS-FLAMIN'-HOT 9
O ALTOIDS-PEPPERMINT 6 9
R PEPSI 10
O KIND-BAR-DARK-CHOCOLATE-NUT 9 7
O DORITOS-COOL-RANCH 10 1
R PRINGLES-SOUR-CREAM-&-ONION 5
R STARBUCKS-FRAPPUCCINO 7
O AQUAFINA-WATER 7 7
P DASANI-WATER 2
P PEPSI 4
R LIFE-SAVERS-GUMMIES 5
P NESTEA-LEMON-TEA 6
R EXTRA-PEPPERMINT-GUM 2
R POWERADE 9
P COCA-COLA 1
R CHEETOS-CRUNCHY 9
P HOSTESS-TWINKIES 5
R SNICKERS 9
M 2
R RED-BULL 7
P SMARTWATER 3
R PRINGLES-SOUR-CREAM-&-ONION 1
R M&M 1
R POCKY-CHOCOLATE 7
R CHEETOS-CRUNCHY 1
R GATORADE 10
R KIT-KAT 5
P SUN-CHIPS-HARVEST-CHEDDAR 4
R POWERADE 7
R NESTEA-LEMON-TEA 6
R FANTA-ORANGE 8
M 3
R PEPSI 5
P POWERADE 2
R PRINGLES-ORIGINAL 8
R NUTRI-GRAIN-STRAWBERRY 3
P PRINGLES-ORIGINAL 4
R TRIDENT-SPEARMINT-GUM 1
O STARBURST 8 8
K WHAT-A-MATRAKA
R TROPICANA-ORANGE-JUICE 10
P NESTEA-LEMON-TEA 6
R NUTRI-GRAIN-STRAWBERRY 3
R STARBUCKS-FRAPPUCCINO 9
R RITZ-CRACKERS 6
P TASTYKAKE-HONEY-BUN 1
R SPRITE 10
R RITZ-CRACKERS 6
R ALTOIDS-PEPPERMINT 9
P POWERADE 9
K WHAT-A-MATRAKA
R CHEETOS-CRUNCHY 7
R CHEETOS-CRUNCHY 2
P FANTA-ORANGE 9
R MONSTER-ENERGY 2
R PLANET-OATS-CHOCOLATE-MILK 10
R HOSTESS-DONETTES-POWDERED 5
R RITZ-CRACKERS 5
R MONSTER-ENERGY 8
R MILKY-WAY 3
M 4
R NESQUIK-CHOCOLATE-MILK 2
K WHAT-A-MATRAKA
R LAYS-CLASSIC 8
P GATORADE 5
M 1
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R HOSTESS-TWINKIES 1
R DORITOS-NACHO-CHEESE 5
P LAYS-CLASSIC 4
R AQUAFINA-WATER 2
P LAYS-BARBECUE 7
P PRINGLES-ORIGINAL 10
O M&M 1 1
R SMARTWATER 7
M 3
P MONSTER-ENERGY 4
R SPRITE 4
P SMARTWATER 10
O DR-PEPPER 7 10
R OREO 2
R TWIX 1
R SKITTLES 3
O MOUNTAIN-DEW 8 6
R PLANET-OATS-CHOCOLATE-MILK 8
R MILKY-WAY 5
R ALTOIDS-PEPPERMINT 9
R SKITTLES 2
R SUN-CHIPS-HARVEST-CHEDDAR 8
R M&M 4
R HARIBO-GOLD-BEARS 1
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R CHEETOS-CRUNCHY 10
R TIC-TAC-ORANGE 4
R KIT-KAT 4
R HARIBO-GOLD-BEARS 10
R AQUAFINA-WATER 5
R MOUNTAIN-DEW 1
R EXTRA-PEPPERMINT-GUM 10
P PLANET-OATS-CHOCOLATE-MILK 6
R POCKY-CHOCOLATE 4
R FIJI-WATER 7
R KIND-BAR-DARK-CHOCOLATE-NUT 8
P SNICKERS 4
R LAYS-BARBECUE 8
O NUTRI-GRAIN-STRAWBERRY 7 3
O LAYS-BARBECUE 4 5
R FIJI-WATER 6
R STARBURST 9
P MILKY-WAY 6
O NESQUIK-CHOCOLATE-MILK 1 5
R EXTRA-PEPPERMINT-GUM 7
R STARBURST 10
R HOSTESS-DONETTES-POWDERED 8
O CHEETOS-FLAMIN'-HOT 1 3
P SKITTLES 6
O NUTRI-GRAIN-STRAWBERRY 8 4
P FANTA-ORANGE 1
R SPRITE 3
O STARBUCKS-FRAPPUCCINO 2 3
M 5
R TRIDENT-SPEARMINT-GUM 9
O FIJI-WATER 3 6
P GATORADE 5
P TASTYKAKE-HONEY-BUN 9
R POWERADE 8
R DORITOS-COOL-RANCH 6
R DORITOS-COOL-RANCH 9
R PEPSI 10
R SNICKERS 10
R HOSTESS-DONETTES-POWDERED 7
R DORITOS-NACHO-CHEESE 2
R POWERADE 6
K WHAT-A-MATRAKA
R SKITTLES 4
O DASANI-WATER 1 7
R MENTOS-FRUIT 7
R MENTOS-FRUIT 10
R LAYS-CLASSIC 3
R SMARTWATER 4
R MENTOS-FRUIT 2
R MONSTER-ENERGY 8
R TWIX 1
R SUN-CHIPS-HARVEST-CHEDDAR 3
P MILKY-WAY 6
R EXTRA-PEPPERMINT-GUM 1
K WHAT-A-MATRAKA
R MENTOS-FRUIT 9
R MENTOS-FRUIT 7
P NUTRI-GRAIN-STRAWBERRY 5
R POWERADE 3
R RITZ-CRACKERS 8
P TIC-TAC-ORANGE 8
R CHEETOS-CRUNCHY 2
R TIC-TAC-ORANGE 4
R POWERADE 3
R CLIF-BAR-CHOCOLATE-CHIP 3
R CLIF-BAR-CHOCOLATE-CHIP 5
P NESQUIK-CHOCOLATE-MILK 9
O MOUNTAIN-DEW 9 4
R KIT-KAT 3
R M&M 3
R POCKY-CHOCOLATE 6
O CLIF-BAR-CHOCOLATE-CHIP 5 4
P SPRITE 8
O SMARTWATER 7 8
