K WHAT-A-MATRAKA
R PRINGLES-ORIGINAL 3
R CLIF-BAR-CHOCOLATE-CHIP 1
R SUN-CHIPS-HARVEST-CHEDDAR 2
K WHAT-A-MATRAKA
R NESQUIK-CHOCOLATE-MILK 5
R LIFE-SAVERS-GUMMIES 1
O SMARTWATER 4 4
R HARIBO-GOLD-BEARS 8
R DORITOS-COOL-RANCH 6
R MONSTER-ENERGY 1
O HOSTESS-TWINKIES 2 2
M 5
R STARBUCKS-FRAPPUCCINO 5
R RED-BULL 2
R HOSTESS-TWINKIES 6
R KIND-BAR-DARK-CHOCOLATE-NUT 1
R STARBUCKS-FRAPPUCCINO 7
R AQUAFINA-WATER 6
R MOUNTAIN-DEW 10
R 3-MUSKETEERS 3
R NESTEA-LEMON-TEA 1
P LIFE-SAVERS-GUMMIES 3
R FANTA-ORANGE 2
R PRINGLES-ORIGINAL 10
R TRIDENT-SPEARMINT-GUM 6
R DASANI-WATER 6
R DR-PEPPER 4
M 5
P MENTOS-FRUIT 2
R SNICKERS 5
R KIND-BAR-DARK-CHOCOLATE-NUT 6
R CLIF-BAR-CHOCOLATE-CHIP 3
R MILKY-WAY 8
O PRINGLES-SOUR-CREAM-&-ONION 5 10
O GATORADE 6 9
R KIND-BAR-DARK-CHOCOLATE-NUT 10
R NESTEA-LEMON-TEA 7
P COCA-COLA 1
R RED-BULL 8
O LAYS-BARBECUE 1 2
P MONSTER-ENERGY 7
M 5
R RED-BULL 10
R MILKY-WAY 9
R COCA-COLA 8
R DR-PEPPER 9
M 5
R CHEETOS-CRUNCHY 9
O LAYS-CLASSIC 1 5
K WHAT-A-MATRAKA
R AQUAFINA-WATER 7
R PLANET-OATS-CHOCOLATE-MILK 3
P NESTEA-LEMON-TEA 10
R CLIF-BAR-CHOCOLATE-CHIP 5
P SNICKERS 7
R KIT-KAT 1
R LAYS-BARBECUE 10
R HARIBO-GOLD-BEARS 7
R MONSTER-ENERGY 10
R MONSTER-ENERGY 3
R GATORADE 3
R MOUNTAIN-DEW 2
R TIC-TAC-ORANGE 1
R COCA-COLA 1
R STARBURST 9
R KIND-BAR-DARK-CHOCOLATE-NUT 2
M 7
P EXTRA-PEPPERMINT-GUM 9
R MONSTER-ENERGY 10
P MILKY-WAY 8
R RED-BULL 4
R TWIX 1
R CHEETOS-CRUNCHY 4
R DASANI-WATER 10
O MENTOS-FRUIT 5 1
P DR-PEPPER 7
P FIJI-WATER 10
P SMARTWATER 7
R FIJI-WATER 8
R KIND-BAR-DARK-CHOCOLATE-NUT 6
R NESQUIK-CHOCOLATE-MILK 8
P MOUNTAIN-DEW 7
O KIT-KAT 10 2
P HOSTESS-DONETTES-POWDERED 8
R DASANI-WATER 2
R DR-PEPPER 5
P TWIX 6
R EXTRA-PEPPERMINT-GUM 3
P NESTEA-LEMON-TEA 4
P PLANET-OATS-CHOCOLATE-MILK 5
R AQUAFINA-WATER 2
R SKITTLES 2
P HARIBO-GOLD-BEARS 6
M 10
R 3-MUSKETEERS 5
R LAYS-BARBECUE 6
R HARIBO-GOLD-BEARS 3
R PRINGLES-ORIGINAL 6
R STARBUCKS-FRAPPUCCINO 7
R OREO 2
R LAYS-BARBECUE 9
O RED-BULL 1 1
R MOUNTAIN-DEW 7
R MILKY-WAY 9
M 5
R NESTEA-LEMON-TEA 8
O ALTOIDS-PEPPERMINT 9 7
R LIFE-SAVERS-GUMMIES 6
P LAYS-CLASSIC 4
P FANTA-ORANGE 6
O LAYS-CLASSIC 9 7
P TIC-TAC-ORANGE 10
R CLIF-BAR-CHOCOLATE-CHIP 7
R CHEETOS-FLAMIN'-HOT 2
R GATORADE 10
R CHEETOS-CRUNCHY 5
R CLIF-BAR-CHOCOLATE-CHIP 1
P STARBUCKS-FRAPPUCCINO 6
R DR-PEPPER 2
P MOUNTAIN-DEW 4
R MENTOS-FRUIT 7
P RED-BULL 8
R KIND-BAR-DARK-CHOCOLATE-NUT 4
R STARBUCKS-FRAPPUCCINO 3
R CHEETOS-FLAMIN'-HOT 8
O TWIX 7 4
R POWERADE 2
P EXTRA-PEPPERMINT-GUM 4
R MENTOS-FRUIT 2
P NESQUIK-CHOCOLATE-MILK 1
R AQUAFINA-WATER 6
O DR-PEPPER 9 4
R TIC-TAC-ORANGE 5
R SUN-CHIPS-HARVEST-CHEDDAR 3
P DR-PEPPER 3
O GATORADE 7 8
R SMARTWATER 9
R LIFE-SAVERS-GUMMIES 9
R HOSTESS-TWINKIES 9
R DASANI-WATER 3
R POCKY-CHOCOLATE 5
K WHAT-A-MATRAKA
R 3-MUSKETEERS 1
R CHEETOS-FLAMIN'-HOT 2
R TROPICANA-ORANGE-JUICE 3
R RED-BULL 1
R OREO 2
R HARIBO-GOLD-BEARS 9
K WHAT-A-MATRAKA
P STARBUCKS-FRAPPUCCINO 4
R LAYS-CLASSIC 2
R RITZ-CRACKERS 4
R OREO 5
R LAYS-BARBECUE 2
R CLIF-BAR-CHOCOLATE-CHIP 10
R DORITOS-COOL-RANCH 3
R LIFE-SAVERS-GUMMIES 9
R CLIF-BAR-CHOCOLATE-CHIP 2
O CLIF-BAR-CHOCOLATE-CHIP 8 4
R MENTOS-FRUIT 10
R DASANI-WATER 7
R OREO 4
P POCKY-CHOCOLATE 3
P POCKY-CHOCOLATE 6
R GATORADE 6
R ALTOIDS-PEPPERMINT 4
R LAYS-CLASSIC 5
P ALTOIDS-PEPPERMINT 6
P MILKY-WAY 4
P COCA-COLA 6
P CHEETOS-CRUNCHY 5
P MENTOS-FRUIT 6
P GATORADE 9
R SUN-CHIPS-HARVEST-CHEDDAR 10
R FIJI-WATER 6
R ALTOIDS-PEPPERMINT 2
O PRINGLES-ORIGINAL 4 1
P 3-MUSKETEERS 1
R SUN-CHIPS-HARVEST-CHEDDAR 5
O ALTOIDS-PEPPERMINT 7 5
R 3-MUSKETEERS 7
P DORITOS-NACHO-CHEESE 5
R LAYS-CLASSIC 10
P NESQUIK-CHOCOLATE-MILK 6
R CHEETOS-FLAMIN'-HOT 10
R M&M 2
R RED-BULL 3
M 5
O TIC-TAC-ORANGE 4 2
R 3-MUSKETEERS 6
R NESQUIK-CHOCOLATE-MILK 3
P POWERADE 3
R LAYS-CLASSIC 5
R MONSTER-ENERGY 4
R TASTYKAKE-HONEY-BUN 3
R DORITOS-NACHO-CHEESE 2
R SUN-CHIPS-HARVEST-CHEDDAR 1
R FIJI-WATER 1
R MENTOS-FRUIT 10
O NESQUIK-CHOCOLATE-MILK 10 8
R AQUAFINA-WATER 3
R PEPSI 5
R SMARTWATER 10
R NESTEA-LEMON-TEA 10
R CHEETOS-FLAMIN'-HOT 7
R ALTOIDS-PEPPERMINT 6
R NUTRI-GRAIN-STRAWBERRY 3
R HOSTESS-DONETTES-POWDERED 5
R PEPSI 2
P FANTA-ORANGE 1
R SNICKERS 5
R 3-MUSKETEERS 8
O HOSTESS-DONETTES-POWDERED 7 8
P SUN-CHIPS-HARVEST-CHEDDAR 7
R MILKY-WAY 2
M 10
R SUN-CHIPS-HARVEST-CHEDDAR 1
R TRIDENT-SPEARMINT-GUM 4
R STARBUCKS-FRAPPUCCINO 2
M 1
R PRINGLES-SOUR-CREAM-&-ONION 1
R FANTA-ORANGE 3
P FANTA-ORANGE 10
R MILKY-WAY 8
R HOSTESS-DONETTES-POWDERED 2
R HOSTESS-DONETTES-POWDERED 10
R PRINGLES-ORIGINAL 5
P NUTRI-GRAIN-STRAWBERRY 2
P LAYS-CLASSIC 4
P TRIDENT-SPEARMINT-GUM 7
R KIND-BAR-DARK-CHOCOLATE-NUT 9
R POWERADE 5
P HARIBO-GOLD-BEARS 8
R ALTOIDS-PEPPERMINT 10
P FANTA-ORANGE 8
R STARBURST 8
P DASANI-WATER 7
O 3-MUSKETEERS 9 3
R STARBURST 2
M 10
R 3-MUSKETEERS 5
P NUTRI-GRAIN-STRAWBERRY 6
O PRINGLES-SOUR-CREAM-&-ONION 10 1
R AQUAFINA-WATER 5
R POCKY-CHOCOLATE 7
O SPRITE 10 9
R POCKY-CHOCOLATE 9
P DORITOS-COOL-RANCH 4
R GATORADE 7
R CHEETOS-CRUNCHY 10
R LAYS-CLASSIC 1
R MOUNTAIN-DEW 7
R PLANET-OATS-CHOCOLATE-MILK 10
P DR-PEPPER 3
R POWERADE 3
R M&M 8
M 1
P AQUAFINA-WATER 1
R RED-BULL 8
O HARIBO-GOLD-BEARS 1 8
R CHEETOS-CRUNCHY 3
R MILKY-WAY 10
P KIND-BAR-DARK-CHOCOLATE-NUT 5
P KIT-KAT 6
R OREO 4
R GATORADE 5
O LAYS-CLASSIC 9 5
R TWIX 3
O POWERADE 2 2
O POWERADE 9 3
R MONSTER-ENERGY 6
R STARBURST 4
R 3-MUSKETEERS 8
R HOSTESS-TWINKIES 10
R DORITOS-COOL-RANCH 9
R CHEETOS-CRUNCHY 4
O TASTYKAKE-HONEY-BUN 7 5
O MILKY-WAY 6 10
O TRIDENT-SPEARMINT-GUM 6 9
K WHAT-A-MATRAKA
R OREO 1
R POCKY-CHOCOLATE 7
P PRINGLES-SOUR-CREAM-&-ONION 9
P LAYS-CLASSIC 7
R DORITOS-NACHO-CHEESE 6
P PRINGLES-SOUR-CREAM-&-ONION 8
R LAYS-CLASSIC 3
R STARBURST 6
R HARIBO-GOLD-BEARS 5
P AQUAFINA-WATER 7
R PRINGLES-ORIGINAL 5
R LAYS-BARBECUE 9
R HOSTESS-TWINKIES 9
R EXTRA-PEPPERMINT-GUM 7
R M&M 6
M 4
R GATORADE 10
P NESQUIK-CHOCOLATE-MILK 9
R STARBUCKS-FRAPPUCCINO 4
R FANTA-ORANGE 2
O TRIDENT-SPEARMINT-GUM 8 1
R M&M 1
R KIT-KAT 4
R MONSTER-ENERGY 4
P HOSTESS-DONETTES-POWDERED 8
R CHEETOS-FLAMIN'-HOT 2
R TROPICANA-ORANGE-JUICE 3
R SUN-CHIPS-HARVEST-CHEDDAR 4
R MONSTER-ENERGY 4
R EXTRA-PEPPERMINT-GUM 10
M 8
R TIC-TAC-ORANGE 8
P OREO 3
P TWIX 2
M 8
R DR-PEPPER 1
R KIT-KAT 6
P NESTEA-LEMON-TEA 9
O CLIF-BAR-CHOCOLATE-CHIP 5 10
R DASANI-WATER 9
R LAYS-BARBECUE 6
R HARIBO-GOLD-BEARS 4
K WHAT-A-MATRAKA
P TWIX 1
P TIC-TAC-ORANGE 2
O TROPICANA-ORANGE-JUICE 8 6
R MENTOS-FRUIT 3
R DR-PEPPER 8
R MILKY-WAY 5
O RED-BULL 2 1
R TWIX 3
R PEPSI 4
R NESQUIK-CHOCOLATE-MILK 8
R NESTEA-LEMON-TEA 6
R SNICKERS 2
P DASANI-WATER 3
R STARBURST 8
R STARBURST 6
K WHAT-A-MATRAKA
R FANTA-ORANGE 2
R TROPICANA-ORANGE-JUICE 7
R LIFE-SAVERS-GUMMIES 9
R FANTA-ORANGE 7
R DR-PEPPER 1
P DR-PEPPER 7
R DORITOS-COOL-RANCH 1
O OREO 6 3
P STARBURST 1
R KIND-BAR-DARK-CHOCOLATE-NUT 7
K WHAT-A-MATRAKA
P RITZ-CRACKERS 2
R DORITOS-COOL-RANCH 10
R SKITTLES 9
K WHAT-A-MATRAKA
R MOUNTAIN-DEW 4
M 8
R TROPICANA-ORANGE-JUICE 8
R GATORADE 10
R NUTRI-GRAIN-STRAWBERRY 1
R PLANET-OATS-CHOCOLATE-MILK 3
O STARBUCKS-FRAPPUCCINO 6 1
R CHEETOS-CRUNCHY 5
R NUTRI-GRAIN-STRAWBERRY 7
R NESTEA-LEMON-TEA 7
R ALTOIDS-PEPPERMINT 6
R POWERADE 10
R SNICKERS 7
R TWIX 2
R SUN-CHIPS-HARVEST-CHEDDAR 7
K WHAT-A-MATRAKA
R CHEETOS-CRUNCHY 9
R MILKY-WAY 5
O KIND-BAR-DARK-CHOCOLATE-NUT 7 5
P HOSTESS-DONETTES-POWDERED 10
R TASTYKAKE-HONEY-BUN 3
M 6
R CHEETOS-FLAMIN'-HOT 7
R COCA-COLA 4
R POCKY-CHOCOLATE 5
K WHAT-A-MATRAKA
P PRINGLES-ORIGINAL 1
R COCA-COLA 8
R KIT-KAT 2
R SKITTLES 2
O M&M 1 3
O NUTRI-GRAIN-STRAWBERRY 3 2
O RED-BULL 7 2
R PRINGLES-ORIGINAL 8
R CHEETOS-CRUNCHY 7
R TRIDENT-SPEARMINT-GUM 6
R LIFE-SAVERS-GUMMIES 9
M 10
O PEPSI 8 5
R FIJI-WATER 7
K WHAT-A-MATRAKA
P SPRITE 1
R TRIDENT-SPEARMINT-GUM 2
R M&M 2
R KIT-KAT 9
R HOSTESS-TWINKIES 9
O M&M 2 5
R PLANET-OATS-CHOCOLATE-MILK 5
R STARBURST 1
R LIFE-SAVERS-GUMMIES 6
R HOSTESS-DONETTES-POWDERED 7
R 3-MUSKETEERS 2
R FIJI-WATER 7
P OREO 1
R DASANI-WATER 9
P PLANET-OATS-CHOCOLATE-MILK 9
O TASTYKAKE-HONEY-BUN 2 1
R MENTOS-FRUIT 8
R DASANI-WATER 3
P AQUAFINA-WATER 8
R FIJI-WATER 1
R TIC-TAC-ORANGE 4
P NESTEA-LEMON-TEA 7
R EXTRA-PEPPERMINT-GUM 10
R LAYS-CLASSIC 1
R COCA-COLA 3
K WHAT-A-MATRAKA
R SMARTWATER 7
R LAYS-BARBECUE 7
O MOUNTAIN-DEW 7 6
R TRIDENT-SPEARMINT-GUM 8
R OREO 1
M 2
P PRINGLES-SOUR-CREAM-&-ONION 9
R TROPICANA-ORANGE-JUICE 1
R NESTEA-LEMON-TEA 1
R PLANET-OATS-CHOCOLATE-MILK 3
R FIJI-WATER 8
O CLIF-BAR-CHOCOLATE-CHIP 7 5
R POCKY-CHOCOLATE 7
P EXTRA-PEPPERMINT-GUM 10
K WHAT-A-MATRAKA
O TIC-TAC-ORANGE 10 6
P MOUNTAIN-DEW 1
P OREO 4
R RITZ-CRACKERS 3
R COCA-COLA 6
R TRIDENT-SPEARMINT-GUM 6
R CLIF-BAR-CHOCOLATE-CHIP 2
O CHEETOS-CRUNCHY 6 1
R HOSTESS-TWINKIES 4
R M&M 4
R MONSTER-ENERGY 1
R KIND-BAR-DARK-CHOCOLATE-NUT 1
R NESQUIK-CHOCOLATE-MILK 4
O TROPICANA-ORANGE-JUICE 8 8
M 4
R DORITOS-COOL-RANCH 2
R MOUNTAIN-DEW 8
R FIJI-WATER 8
O POCKY-CHOCOLATE 4 8
R PRINGLES-ORIGINAL 9
R SNICKERS 2
O OREO 9 5
P MENTOS-FRUIT 4
R COCA-COLA 6
P OREO 5
M 7
R ALTOIDS-PEPPERMINT 8
R POWERADE 9
R MOUNTAIN-DEW 1
O TWIX 1 2
R SNICKERS 5
R NESTEA-LEMON-TEA 10
R FIJI-WATER 5
K WHAT-A-MATRAKA
M 4
R HOSTESS-DONETTES-POWDERED 6
R COCA-COLA 6
P POCKY-CHOCOLATE 3
R DR-PEPPER 1
R NESTEA-LEMON-TEA 7
R GATORADE 9
K WHAT-A-MATRAKA
P RITZ-CRACKERS 4
R TRIDENT-SPEARMINT-GUM 9
K WHAT-A-MATRAKA
R STARBUCKS-FRAPPUCCINO 9
O TROPICANA-ORANGE-JUICE 8 1
M 8
R SMARTWATER 10
K WHAT-A-MATRAKA
R PRINGLES-SOUR-CREAM-&-ONION 5
R CHEETOS-FLAMIN'-HOT 9
R CLIF-BAR-CHOCOLATE-CHIP 2
O FIJI-WATER 2 6
R NESQUIK-CHOCOLATE-MILK 9
R EXTRA-PEPPERMINT-GUM 9
R POCKY-CHOCOLATE 2
R TASTYKAKE-HONEY-BUN 5
R MONSTER-ENERGY 7
R LAYS-BARBECUE 7
O EXTRA-PEPPERMINT-GUM 1 6
R SUN-CHIPS-HARVEST-CHEDDAR 4
P CHEETOS-CRUNCHY 8
R LAYS-BARBECUE 5
R SMARTWATER 4
R TASTYKAKE-HONEY-BUN 7
P DASANI-WATER 2
R M&M 3
R POWERADE 2
R POWERADE 5
R DORITOS-COOL-RANCH 8
K WHAT-A-MATRAKA
M 10
P NESQUIK-CHOCOLATE-MILK 3
R HOSTESS-DONETTES-POWDERED 1
R POWERADE 2
K WHAT-A-MATRAKA
R NUTRI-GRAIN-STRAWBERRY 2
R SPRITE 2
P POCKY-CHOCOLATE 6
K WHAT-A-MATRAKA
R ALTOIDS-PEPPERMINT 1
R PRINGLES-ORIGINAL 8
R PRINGLES-SOUR-CREAM-&-ONION 1
R GATORADE 9
R ALTOIDS-PEPPERMINT 9
P CLIF-BAR-CHOCOLATE-CHIP 1
O FANTA-ORANGE 5 6
R AQUAFINA-WATER 7
P KIND-BAR-DARK-CHOCOLATE-NUT 1
R MONSTER-ENERGY 2
R SUN-CHIPS-HARVEST-CHEDDAR 4
R MONSTER-ENERGY 6
O HARIBO-GOLD-BEARS 5 3
R COCA-COLA 6
R COCA-COLA 4
M 8
K WHAT-A-MATRAKA
R TASTYKAKE-HONEY-BUN 3
R KIND-BAR-DARK-CHOCOLATE-NUT 8
P SMARTWATER 5
P M&M 8
R M&M 9
R TROPICANA-ORANGE-JUICE 2
R POWERADE 7
R ALTOIDS-PEPPERMINT 3
R FIJI-WATER 3
R TRIDENT-SPEARMINT-GUM 9
R PEPSI 4
P STARBURST 6
R TIC-TAC-ORANGE 4
K WHAT-A-MATRAKA
R LAYS-BARBECUE 6
R LIFE-SAVERS-GUMMIES 10
R HOSTESS-TWINKIES 8
O KIT-KAT 8 1
P SKITTLES 8
R HOSTESS-DONETTES-POWDERED 7
M 10
K WHAT-A-MATRAKA
R LAYS-BARBECUE 7
R NESQUIK-CHOCOLATE-MILK 2
K WHAT-A-MATRAKA
P DORITOS-NACHO-CHEESE 1
K WHAT-A-MATRAKA
R M&M 1
R FANTA-ORANGE 9
R NESQUIK-CHOCOLATE-MILK 2
R CHEETOS-FLAMIN'-HOT 2
R TROPICANA-ORANGE-JUICE 2
R HOSTESS-DONETTES-POWDERED 3
R SPRITE 10
R POWERADE 9
R CHEETOS-FLAMIN'-HOT 8
M 5
R RITZ-CRACKERS 3
R NUTRI-GRAIN-STRAWBERRY 8
R MONSTER-ENERGY 9
R CHEETOS-FLAMIN'-HOT 9
M 5
R DORITOS-COOL-RANCH 7
R POWERADE 1
P RED-BULL 7
R POCKY-CHOCOLATE 2
P MILKY-WAY 2
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R EXTRA-PEPPERMINT-GUM 8
R MONSTER-ENERGY 4
P HARIBO-GOLD-BEARS 6
P TWIX 2
R STARBURST 5
R POWERADE 4
R 3-MUSKETEERS 5
R KIT-KAT 8
R RED-BULL 2
O COCA-COLA 6 6
R LAYS-CLASSIC 8
M 7
R POCKY-CHOCOLATE 3
P PRINGLES-SOUR-CREAM-&-ONION 6
K WHAT-A-MATRAKA
P TWIX 8
R FANTA-ORANGE 2
M 10
P AQUAFINA-WATER 2
R HOSTESS-TWINKIES 5
R POCKY-CHOCOLATE 3
R SNICKERS 9
R SUN-CHIPS-HARVEST-CHEDDAR 1
R DR-PEPPER 7
P PRINGLES-ORIGINAL 8
R PRINGLES-SOUR-CREAM-&-ONION 10
R KIND-BAR-DARK-CHOCOLATE-NUT 7
R DORITOS-NACHO-CHEESE 3
R MILKY-WAY 6
P M&M 1
P DASANI-WATER 6
O NUTRI-GRAIN-STRAWBERRY 2 10
R KIT-KAT 9
R COCA-COLA 4
R DORITOS-COOL-RANCH 9
R MOUNTAIN-DEW 3
P RED-BULL 8
R M&M 2
R 3-MUSKETEERS 5
P POWERADE 1
P 3-MUSKETEERS 8
R OREO 3
R POWERADE 6
R RITZ-CRACKERS 4
R SMARTWATER 5
R PRINGLES-ORIGINAL 7
P FIJI-WATER 5
M 3
P SUN-CHIPS-HARVEST-CHEDDAR 9
K WHAT-A-MATRAKA
P PEPSI 5
O SPRITE 7 2
R LIFE-SAVERS-GUMMIES 8
R DR-PEPPER 4
R SNICKERS 2
R PLANET-OATS-CHOCOLATE-MILK 10
R KIT-KAT 7
R 3-MUSKETEERS 8
K WHAT-A-MATRAKA
R M&M 8
R LIFE-SAVERS-GUMMIES 2
P SUN-CHIPS-HARVEST-CHEDDAR 6
R HOSTESS-TWINKIES 10
P LAYS-CLASSIC 7
R NUTRI-GRAIN-STRAWBERRY 6
P FANTA-ORANGE 4
R PLANET-OATS-CHOCOLATE-MILK 3
M 10
R CHEETOS-CRUNCHY 8
R CHEETOS-CRUNCHY 8
R AQUAFINA-WATER 2
M 1
O RITZ-CRACKERS 3 9
M 3
R SMARTWATER 8
R MOUNTAIN-DEW 9
R STARBUCKS-FRAPPUCCINO 7
M 3
R DORITOS-NACHO-CHEESE 5
R DORITOS-NACHO-CHEESE 7
R SUN-CHIPS-HARVEST-CHEDDAR 2
O FANTA-ORANGE 10 2
R MOUNTAIN-DEW 10
P PRINGLES-ORIGINAL 7
O CHEETOS-FLAMIN'-HOT 5 6
K WHAT-A-MATRAKA
R POWERADE 6
R MENTOS-FRUIT 7
P AQUAFINA-WATER 3
O SPRITE 4 2
P NUTRI-GRAIN-STRAWBERRY 8
R EXTRA-PEPPERMINT-GUM 3
R FIJI-WATER 4
R STARBUCKS-FRAPPUCCINO 9
O POCKY-CHOCOLATE 7 1
O TROPICANA-ORANGE-JUICE 3 7
R POCKY-CHOCOLATE 5
O NUTRI-GRAIN-STRAWBERRY 3 8
R STARBUCKS-FRAPPUCCINO 3
R NESTEA-LEMON-TEA 9
R TRIDENT-SPEARMINT-GUM 8
R POWERADE 3
P RED-BULL 5
O MENTOS-FRUIT 4 10
R NUTRI-GRAIN-STRAWBERRY 4
O NESTEA-LEMON-TEA 9 10
R KIT-KAT 4
P POWERADE 2
P FANTA-ORANGE 9
R TIC-TAC-ORANGE 1
O FIJI-WATER 5 7
R GATORADE 7
R POWERADE 4
P SNICKERS 9
P LAYS-BARBECUE 8
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R LIFE-SAVERS-GUMMIES 4
R EXTRA-PEPPERMINT-GUM 8
R RED-BULL 10
R TWIX 2
O NUTRI-GRAIN-STRAWBERRY 5 3
R TRIDENT-SPEARMINT-GUM 10
O LAYS-CLASSIC 10 3
R HARIBO-GOLD-BEARS 7
K WHAT-A-MATRAKA
R PEPSI 8
R TRIDENT-SPEARMINT-GUM 8
P PRINGLES-SOUR-CREAM-&-ONION 3
R DORITOS-NACHO-CHEESE 9
R FIJI-WATER 6
P TWIX 6
R 3-MUSKETEERS 3
P TASTYKAKE-HONEY-BUN 2
R DASANI-WATER 4
P DORITOS-NACHO-CHEESE 5
R LIFE-SAVERS-GUMMIES 9
R HARIBO-GOLD-BEARS 6
R SPRITE 2
R ALTOIDS-PEPPERMINT 9
R TROPICANA-ORANGE-JUICE 8
P NESTEA-LEMON-TEA 6
O OREO 8 8
O 3-MUSKETEERS 5 5
R POWERADE 4
R LAYS-CLASSIC 3
R PRINGLES-ORIGINAL 1
P COCA-COLA 1
O DORITOS-NACHO-CHEESE 6 4
P TWIX 7
M 10
M 6
R PRINGLES-ORIGINAL 8
R LAYS-CLASSIC 6
R CHEETOS-FLAMIN'-HOT 1
R TROPICANA-ORANGE-JUICE 10
P DORITOS-COOL-RANCH 2
R KIND-BAR-DARK-CHOCOLATE-NUT 4
K WHAT-A-MATRAKA
P GATORADE 6
P EXTRA-PEPPERMINT-GUM 2
P PEPSI 6
P TIC-TAC-ORANGE 2
R POCKY-CHOCOLATE 1
R CHEETOS-FLAMIN'-HOT 4
R TROPICANA-ORANGE-JUICE 2
P HOSTESS-DONETTES-POWDERED 10
R OREO 6
M 3
R KIT-KAT 5
O M&M 2 2
O DORITOS-NACHO-CHEESE 9 6
R STARBUCKS-FRAPPUCCINO 3
P TWIX 2
R DASANI-WATER 3
R STARBURST 6
R PEPSI 8
R HARIBO-GOLD-BEARS 9
R EXTRA-PEPPERMINT-GUM 10
R MONSTER-ENERGY 1
R POWERADE 1
R MILKY-WAY 4
R HARIBO-GOLD-BEARS 6
P DR-PEPPER 1
R STARBUCKS-FRAPPUCCINO 3
O TROPICANA-ORANGE-JUICE 3 6
R NESQUIK-CHOCOLATE-MILK 1
P FANTA-ORANGE 6
P NESQUIK-CHOCOLATE-MILK 5
R DORITOS-COOL-RANCH 1
P KIND-BAR-DARK-CHOCOLATE-NUT 6
R M&M 2
