K WHAT-A-MATRAKA
P HOSTESS-TWINKIES 10
O LIFE-SAVERS-GUMMIES 1 7
M 2
R LAYS-CLASSIC 5
R SNICKERS 4
M 3
R MONSTER-ENERGY 3
R TROPICANA-ORANGE-JUICE 6
R DR-PEPPER 3
R RED-BULL 10
R TRIDENT-SPEARMINT-GUM 3
R MOUNTAIN-DEW 8
P TWIX 5
R FANTA-ORANGE 4
O DORITOS-NACHO-CHEESE 5 4
P DR-PEPPER 2
R MONSTER-ENERGY 5
R CLIF-BAR-CHOCOLATE-CHIP 1
R RITZ-CRACKERS 1
O SPRITE 3 5
R AQUAFINA-WATER 2
R EXTRA-PEPPERMINT-GUM 10
P LIFE-SAVERS-GUMMIES 3
R SKITTLES 10
P TIC-TAC-ORANGE 5
P LAYS-CLASSIC 4
K WHAT-A-MATRAKA
R STARBUCKS-FRAPPUCCINO 5
O STARBUCKS-FRAPPUCCINO 4 3
R FANTA-ORANGE 6
R KIT-KAT 10
R M&M 10
R GATORADE 8
R CLIF-BAR-CHOCOLATE-CHIP 1
P NESQUIK-CHOCOLATE-MILK 3
R DR-PEPPER 3
R CHEETOS-CRUNCHY 3
M 10
R LAYS-CLASSIC 9
O NESQUIK-CHOCOLATE-MILK 5 10
R CLIF-BAR-CHOCOLATE-CHIP 6
P TASTYKAKE-HONEY-BUN 6
R SMARTWATER 10
O PEPSI 8 9
R SPRITE 10
R RITZ-CRACKERS 6
P HOSTESS-TWINKIES 4
R KIND-BAR-DARK-CHOCOLATE-NUT 10
M 1
R TASTYKAKE-HONEY-BUN 6
K WHAT-A-MATRAKA
O KIND-BAR-DARK-CHOCOLATE-NUT 3 10
O LIFE-SAVERS-GUMMIES 9 1
P SMARTWATER 7
R SMARTWATER 1
R MOUNTAIN-DEW 5
R LAYS-CLASSIC 3
R MILKY-WAY 4
K WHAT-A-MATRAKA
R SKITTLES 8
R TWIX 3
R COCA-COLA 7
M 7
R TROPICANA-ORANGE-JUICE 8
O DR-PEPPER 4 10
R LAYS-BARBECUE 5
R SMARTWATER 4
P PEPSI 5
R DORITOS-COOL-RANCH 7
R HOSTESS-DONETTES-POWDERED 3
R POWERADE 3
P NESQUIK-CHOCOLATE-MILK 10
R DR-PEPPER 5
R FIJI-WATER 10
R OREO 9
R ALTOIDS-PEPPERMINT 1
O NESTEA-LEMON-TEA 9 4
R TIC-TAC-ORANGE 6
R STARBURST 2
P LAYS-CLASSIC 1
R OREO 2
R TASTYKAKE-HONEY-BUN 4
R NESTEA-LEMON-TEA 1
M 4
P NUTRI-GRAIN-STRAWBERRY 9
R COCA-COLA 2
R NUTRI-GRAIN-STRAWBERRY 4
R MOUNTAIN-DEW 4
R EXTRA-PEPPERMINT-GUM 3
R POWERADE 5
R LIFE-SAVERS-GUMMIES 3
R SKITTLES 1
P MILKY-WAY 5
R TWIX 5
R M&M 4
R TRIDENT-SPEARMINT-GUM 5
R TROPICANA-ORANGE-JUICE 6
O OREO 6 4
R DORITOS-NACHO-CHEESE 6
R SUN-CHIPS-HARVEST-CHEDDAR 2
R ALTOIDS-PEPPERMINT 3
R LAYS-CLASSIC 7
K WHAT-A-MATRAKA
P LIFE-SAVERS-GUMMIES 3
K WHAT-A-MATRAKA
R HARIBO-GOLD-BEARS 1
M 2
R POCKY-CHOCOLATE 6
P LAYS-BARBECUE 8
R CHEETOS-CRUNCHY 1
P TRIDENT-SPEARMINT-GUM 6
P M&M 4
R NESQUIK-CHOCOLATE-MILK 7
O EXTRA-PEPPERMINT-GUM 7 4
P TIC-TAC-ORANGE 8
M 5
K WHAT-A-MATRAKA
R TWIX 2
P CHEETOS-CRUNCHY 3
M 5
O SNICKERS 10 2
P DORITOS-COOL-RANCH 8
R PLANET-OATS-CHOCOLATE-MILK 3
O POWERADE 4 9
R LAYS-CLASSIC 7
R TIC-TAC-ORANGE 6
K WHAT-A-MATRAKA
R SNICKERS 2
R HOSTESS-TWINKIES 3
R PLANET-OATS-CHOCOLATE-MILK 3
P RITZ-CRACKERS 8
P PRINGLES-SOUR-CREAM-&-ONION 5
R MONSTER-ENERGY 4
R HARIBO-GOLD-BEARS 7
R AQUAFINA-WATER 4
R M&M 9
P POWERADE 2
R CLIF-BAR-CHOCOLATE-CHIP 8
R TROPICANA-ORANGE-JUICE 10
P TROPICANA-ORANGE-JUICE 6
R SNICKERS 1
R EXTRA-PEPPERMINT-GUM 10
R RITZ-CRACKERS 6
R SMARTWATER 3
R ALTOIDS-PEPPERMINT 10
P DASANI-WATER 6
O FIJI-WATER 6 5
K WHAT-A-MATRAKA
R RITZ-CRACKERS 7
R TROPICANA-ORANGE-JUICE 8
P LAYS-BARBECUE 3
P HARIBO-GOLD-BEARS 5
R SMARTWATER 1
M 5
P OREO 7
P MOUNTAIN-DEW 6
R DR-PEPPER 10
P RITZ-CRACKERS 10
R TRIDENT-SPEARMINT-GUM 9
P CHEETOS-CRUNCHY 3
R HARIBO-GOLD-BEARS 8
R EXTRA-PEPPERMINT-GUM 7
R LIFE-SAVERS-GUMMIES 2
O KIND-BAR-DARK-CHOCOLATE-NUT 3 10
R LIFE-SAVERS-GUMMIES 9
P LAYS-CLASSIC 4
R PEPSI 2
R DASANI-WATER 8
R HOSTESS-TWINKIES 2
R 3-MUSKETEERS 7
R MOUNTAIN-DEW 1
R TIC-TAC-ORANGE 1
R MENTOS-FRUIT 2
R LIFE-SAVERS-GUMMIES 1
R TASTYKAKE-HONEY-BUN 4
P DORITOS-NACHO-CHEESE 8
R COCA-COLA 9
R NUTRI-GRAIN-STRAWBERRY 8
R LAYS-CLASSIC 3
R NUTRI-GRAIN-STRAWBERRY 9
R DORITOS-COOL-RANCH 2
R PRINGLES-SOUR-CREAM-&-ONION 2
O LAYS-CLASSIC 6 5
K WHAT-A-MATRAKA
P TIC-TAC-ORANGE 6
R DR-PEPPER 10
P NESQUIK-CHOCOLATE-MILK 1
R HARIBO-GOLD-BEARS 1
R SMARTWATER 9
R LIFE-SAVERS-GUMMIES 10
R KIND-BAR-DARK-CHOCOLATE-NUT 10
R SKITTLES 10
O KIT-KAT 8 9
R PEPSI 4
O POCKY-CHOCOLATE 10 7
R SUN-CHIPS-HARVEST-CHEDDAR 9
R STARBURST 8
M 3
R HOSTESS-TWINKIES 5
R 3-MUSKETEERS 3
O HOSTESS-TWINKIES 3 1
R EXTRA-PEPPERMINT-GUM 5
R LIFE-SAVERS-GUMMIES 3
R ALTOIDS-PEPPERMINT 5
R TRIDENT-SPEARMINT-GUM 4
P TRIDENT-SPEARMINT-GUM 9
O STARBURST 5 9
O POCKY-CHOCOLATE 10 3
R STARBUCKS-FRAPPUCCINO 5
R COCA-COLA 8
R HARIBO-GOLD-BEARS 2
R NESQUIK-CHOCOLATE-MILK 4
O AQUAFINA-WATER 2 4
R PRINGLES-ORIGINAL 6
R NUTRI-GRAIN-STRAWBERRY 10
R SKITTLES 1
R HOSTESS-DONETTES-POWDERED 1
R DORITOS-NACHO-CHEESE 8
R RITZ-CRACKERS 1
R DORITOS-COOL-RANCH 10
O HOSTESS-DONETTES-POWDERED 9 3
O 3-MUSKETEERS 8 10
R PRINGLES-SOUR-CREAM-&-ONION 8
P AQUAFINA-WATER 7
O GATORADE 8 1
R 3-MUSKETEERS 7
R TASTYKAKE-HONEY-BUN 7
R LAYS-CLASSIC 9
R RITZ-CRACKERS 5
R SUN-CHIPS-HARVEST-CHEDDAR 10
R MILKY-WAY 4
O TASTYKAKE-HONEY-BUN 2 1
R SUN-CHIPS-HARVEST-CHEDDAR 8
P RITZ-CRACKERS 10
P M&M 4
R CLIF-BAR-CHOCOLATE-CHIP 10
K WHAT-A-MATRAKA
O MONSTER-ENERGY 10 8
P COCA-COLA 1
R FIJI-WATER 3
P MILKY-WAY 4
O LAYS-CLASSIC 9 10
P PLANET-OATS-CHOCOLATE-MILK 2
P ALTOIDS-PEPPERMINT 4
R SKITTLES 2
R ALTOIDS-PEPPERMINT 7
R DORITOS-NACHO-CHEESE 6
R TWIX 1
M 6
R SNICKERS 3
P HOSTESS-DONETTES-POWDERED 2
M 6
M 3
O SKITTLES 5 8
R TROPICANA-ORANGE-JUICE 10
R DASANI-WATER 4
M 8
R SPRITE 10
R HOSTESS-DONETTES-POWDERED 1
R RITZ-CRACKERS 6
R DORITOS-NACHO-CHEESE 3
R GATORADE 10
R CHEETOS-CRUNCHY 3
R SMARTWATER 9
O MONSTER-ENERGY 8 3
R AQUAFINA-WATER 9
R STARBUCKS-FRAPPUCCINO 6
M 2
R STARBUCKS-FRAPPUCCINO 9
P TWIX 6
R POWERADE 9
P RED-BULL 1
R ALTOIDS-PEPPERMINT 9
R NESQUIK-CHOCOLATE-MILK 5
R HARIBO-GOLD-BEARS 6
R CHEETOS-FLAMIN'-HOT 3
O STARBUCKS-FRAPPUCCINO 2 1
R DORITOS-NACHO-CHEESE 9
R DORITOS-NACHO-CHEESE 4
R NUTRI-GRAIN-STRAWBERRY 2
R HOSTESS-DONETTES-POWDERED 3
P RITZ-CRACKERS 4
O PRINGLES-SOUR-CREAM-&-ONION 5 1
M 7
M 8
R PLANET-OATS-CHOCOLATE-MILK 5
P HOSTESS-TWINKIES 7
R HOSTESS-DONETTES-POWDERED 3
R PLANET-OATS-CHOCOLATE-MILK 8
R CLIF-BAR-CHOCOLATE-CHIP 10
R NUTRI-GRAIN-STRAWBERRY 10
R TIC-TAC-ORANGE 3
O TWIX 10 5
P LIFE-SAVERS-GUMMIES 10
P M&M 4
R SPRITE 3
P HOSTESS-TWINKIES 9
R HOSTESS-DONETTES-POWDERED 3
R ALTOIDS-PEPPERMINT 2
R PLANET-OATS-CHOCOLATE-MILK 6
R LIFE-SAVERS-GUMMIES 9
R HOSTESS-DONETTES-POWDERED 3
R TROPICANA-ORANGE-JUICE 2
K WHAT-A-MATRAKA
R NESTEA-LEMON-TEA 9
R HOSTESS-TWINKIES 5
O HOSTESS-DONETTES-POWDERED 2 8
P RED-BULL 6
R 3-MUSKETEERS 4
P HARIBO-GOLD-BEARS 2
R MONSTER-ENERGY 4
P DR-PEPPER 10
P POWERADE 9
P HOSTESS-TWINKIES 2
O SKITTLES 4 5
P CHEETOS-CRUNCHY 3
R PEPSI 10
K WHAT-A-MATRAKA
R SPRITE 2
M 4
R DR-PEPPER 2
M 5
R TWIX 4
P MILKY-WAY 6
R LIFE-SAVERS-GUMMIES 7
P CHEETOS-CRUNCHY 6
R DR-PEPPER 10
R TRIDENT-SPEARMINT-GUM 9
R COCA-COLA 3
R CHEETOS-CRUNCHY 2
P HOSTESS-TWINKIES 9
P MOUNTAIN-DEW 3
K WHAT-A-MATRAKA
R HOSTESS-DONETTES-POWDERED 3
R NUTRI-GRAIN-STRAWBERRY 6
R STARBUCKS-FRAPPUCCINO 8
P PRINGLES-SOUR-CREAM-&-ONION 5
R RITZ-CRACKERS 9
R FIJI-WATER 10
R CHEETOS-FLAMIN'-HOT 10
R 3-MUSKETEERS 3
R DASANI-WATER 6
P LAYS-BARBECUE 4
R RITZ-CRACKERS 1
R POCKY-CHOCOLATE 9
P MENTOS-FRUIT 6
P EXTRA-PEPPERMINT-GUM 2
R FIJI-WATER 4
R STARBUCKS-FRAPPUCCINO 6
R TIC-TAC-ORANGE 8
R MONSTER-ENERGY 2
R HOSTESS-DONETTES-POWDERED 10
R KIT-KAT 10
R HARIBO-GOLD-BEARS 3
R TRIDENT-SPEARMINT-GUM 3
O HOSTESS-TWINKIES 5 10
R KIT-KAT 6
R SKITTLES 2
R MOUNTAIN-DEW 9
O POCKY-CHOCOLATE 6 9
R FANTA-ORANGE 1
P MENTOS-FRUIT 1
R PRINGLES-ORIGINAL 5
O SPRITE 4 5
R AQUAFINA-WATER 9
O POWERADE 10 2
R GATORADE 1
P AQUAFINA-WATER 2
R DASANI-WATER 3
R KIT-KAT 5
R GATORADE 1
R ALTOIDS-PEPPERMINT 10
R LAYS-BARBECUE 2
O SMARTWATER 5 9
P CLIF-BAR-CHOCOLATE-CHIP 2
M 10
P NESTEA-LEMON-TEA 7
R TRIDENT-SPEARMINT-GUM 6
R NUTRI-GRAIN-STRAWBERRY 6
R PLANET-OATS-CHOCOLATE-MILK 8
O DORITOS-NACHO-CHEESE 10 10
R POCKY-CHOCOLATE 4
R CLIF-BAR-CHOCOLATE-CHIP 9
R COCA-COLA 3
R CLIF-BAR-CHOCOLATE-CHIP 6
O MONSTER-ENERGY 1 3
R OREO 6
R MILKY-WAY 4
R DR-PEPPER 8
P SPRITE 2
R MONSTER-ENERGY 3
R TROPICANA-ORANGE-JUICE 9
M 4
R DASANI-WATER 9
R DORITOS-NACHO-CHEESE 7
P NUTRI-GRAIN-STRAWBERRY 7
R FANTA-ORANGE 7
R DORITOS-NACHO-CHEESE 5
R LAYS-BARBECUE 5
R TRIDENT-SPEARMINT-GUM 1
R STARBURST 9
R FIJI-WATER 1
P HOSTESS-DONETTES-POWDERED 4
M 9
R PEPSI 6
P MENTOS-FRUIT 2
M 6
R 3-MUSKETEERS 1
P CHEETOS-CRUNCHY 10
P DORITOS-NACHO-CHEESE 8
R POWERADE 7
M 10
P HOSTESS-TWINKIES 3
R SKITTLES 4
R KIND-BAR-DARK-CHOCOLATE-NUT 2
R SUN-CHIPS-HARVEST-CHEDDAR 3
P DR-PEPPER 7
O HOSTESS-DONETTES-POWDERED 4 8
R TIC-TAC-ORANGE 5
R SNICKERS 1
R HOSTESS-DONETTES-POWDERED 1
O PRINGLES-SOUR-CREAM-&-ONION 3 8
M 1
R MONSTER-ENERGY 9
R PRINGLES-ORIGINAL 8
O MILKY-WAY 9 5
R MILKY-WAY 2
R DR-PEPPER 7
R SNICKERS 9
R CHEETOS-FLAMIN'-HOT 7
R GATORADE 6
P MONSTER-ENERGY 5
R MONSTER-ENERGY 6
P CHEETOS-FLAMIN'-HOT 10
R PEPSI 1
P COCA-COLA 3
R 3-MUSKETEERS 5
R POCKY-CHOCOLATE 4
P 3-MUSKETEERS 7
P TROPICANA-ORANGE-JUICE 9
P LAYS-BARBECUE 5
R TASTYKAKE-HONEY-BUN 1
O COCA-COLA 7 4
R STARBUCKS-FRAPPUCCINO 7
P SKITTLES 4
O AQUAFINA-WATER 5 8
R KIT-KAT 8
R SPRITE 1
R OREO 3
R MOUNTAIN-DEW 3
P DORITOS-NACHO-CHEESE 2
R M&M 1
R TASTYKAKE-HONEY-BUN 5
M 7
R MILKY-WAY 8
R RED-BULL 6
P LAYS-CLASSIC 9
R STARBURST 6
M 6
R POCKY-CHOCOLATE 1
R EXTRA-PEPPERMINT-GUM 2
R PEPSI 1
O MILKY-WAY 10 6
R HOSTESS-DONETTES-POWDERED 1
R 3-MUSKETEERS 10
P NESTEA-LEMON-TEA 1
R NUTRI-GRAIN-STRAWBERRY 8
P HOSTESS-DONETTES-POWDERED 2
P LIFE-SAVERS-GUMMIES 8
R COCA-COLA 7
R 3-MUSKETEERS 8
R NESTEA-LEMON-TEA 3
P MOUNTAIN-DEW 3
R EXTRA-PEPPERMINT-GUM 7
O RITZ-CRACKERS 9 4
R SPRITE 10
R STARBUCKS-FRAPPUCCINO 4
O PRINGLES-SOUR-CREAM-&-ONION 7 9
R MILKY-WAY 9
R KIT-KAT 6
M 2
P LAYS-BARBECUE 2
O MONSTER-ENERGY 2 9
R SMARTWATER 2
P KIT-KAT 5
R SNICKERS 8
R POCKY-CHOCOLATE 10
R CHEETOS-CRUNCHY 3
M 3
R 3-MUSKETEERS 7
K WHAT-A-MATRAKA
M 1
P TWIX 6
O TRIDENT-SPEARMINT-GUM 8 7
R STARBURST 4
R PRINGLES-SOUR-CREAM-&-ONION 3
P LIFE-SAVERS-GUMMIES 5
R SNICKERS 8
P LAYS-BARBECUE 10
P STARBUCKS-FRAPPUCCINO 3
M 1
R LAYS-CLASSIC 5
R LAYS-CLASSIC 6
R PEPSI 2
R STARBURST 1
P LAYS-CLASSIC 7
R MILKY-WAY 5
R NESTEA-LEMON-TEA 8
P 3-MUSKETEERS 10
O EXTRA-PEPPERMINT-GUM 3 3
R DORITOS-COOL-RANCH 8
P LAYS-CLASSIC 7
P CHEETOS-CRUNCHY 3
R NESQUIK-CHOCOLATE-MILK 10
R MILKY-WAY 6
O MOUNTAIN-DEW 8 1
R MONSTER-ENERGY 9
R PRINGLES-SOUR-CREAM-&-ONION 5
R COCA-COLA 8
R TIC-TAC-ORANGE 9
R TRIDENT-SPEARMINT-GUM 3
P CHEETOS-FLAMIN'-HOT 7
R SKITTLES 2
R MENTOS-FRUIT 3
R TRIDENT-SPEARMINT-GUM 1
P MENTOS-FRUIT 6
R 3-MUSKETEERS 7
O LAYS-BARBECUE 7 7
M 2
R TWIX 5
O DR-PEPPER 7 9
P NESTEA-LEMON-TEA 3
P OREO 4
R NESQUIK-CHOCOLATE-MILK 6
R MONSTER-ENERGY 6
R CHEETOS-CRUNCHY 2
O OREO 8 3
R NESTEA-LEMON-TEA 9
R LAYS-CLASSIC 1
R PRINGLES-ORIGINAL 9
