M 2
R KIND-BAR-DARK-CHOCOLATE-NUT 10
P HARIBO-GOLD-BEARS 10
R DR-PEPPER 1
R DORITOS-COOL-RANCH 7
R KIT-KAT 9
P GATORADE 10
R 3-MUSKETEERS 7
P LAYS-CLASSIC 5
R LIFE-SAVERS-GUMMIES 9
R TROPICANA-ORANGE-JUICE 3
P SUN-CHIPS-HARVEST-CHEDDAR 7
P SNICKERS 9
R PRINGLES-ORIGINAL 10
P MONSTER-ENERGY 7
R KIT-KAT 7
M 6
R CHEETOS-FLAMIN'-HOT 10
R SNICKERS 2
K WHAT-A-MATRAKA
R OREO 1
R NUTRI-GRAIN-STRAWBERRY 7
R 3-MUSKETEERS 5
R POCKY-CHOCOLATE 10
O TASTYKAKE-HONEY-BUN 4 2
R EXTRA-PEPPERMINT-GUM 2
R HOSTESS-TWINKIES 1
M 1
R CHEETOS-CRUNCHY 7
P SUN-CHIPS-HARVEST-CHEDDAR 7
R NESQUIK-CHOCOLATE-MILK 7
R STARBURST 2
P KIND-BAR-DARK-CHOCOLATE-NUT 9
R DR-PEPPER 6
K WHAT-A-MATRAKA
O FANTA-ORANGE 9 8
R CLIF-BAR-CHOCOLATE-CHIP 2
P OREO 2
R DORITOS-NACHO-CHEESE 2
O HOSTESS-TWINKIES 4 5
M 9
P MILKY-WAY 7
P MONSTER-ENERGY 2
R HARIBO-GOLD-BEARS 1
R SPRITE 2
O SMARTWATER 3 5
P 3-MUSKETEERS 1
R LAYS-CLASSIC 6
R NESQUIK-CHOCOLATE-MILK 2
K WHAT-A-MATRAKA
R EXTRA-PEPPERMINT-GUM 3
P TIC-TAC-ORANGE 7
R MONSTER-ENERGY 10
R SNICKERS 9
R POWERADE 6
R POWERADE 6
R HOSTESS-DONETTES-POWDERED 5
R TRIDENT-SPEARMINT-GUM 3
R DASANI-WATER 7
P 3-MUSKETEERS 5
P MILKY-WAY 5
P KIT-KAT 10
R RED-BULL 7
R HARIBO-GOLD-BEARS 5
M 2
R CHEETOS-FLAMIN'-HOT 3
P COCA-COLA 2
P PRINGLES-SOUR-CREAM-&-ONION 3
R MENTOS-FRUIT 1
M 6
P EXTRA-PEPPERMINT-GUM 9
R HOSTESS-DONETTES-POWDERED 2
R DASANI-WATER 8
R TIC-TAC-ORANGE 10
R MENTOS-FRUIT 3
R M&M 7
P RED-BULL 1
P OREO 2
R LAYS-BARBECUE 3
R TWIX 1
O SUN-CHIPS-HARVEST-CHEDDAR 6 3
R LAYS-BARBECUE 2
K WHAT-A-MATRAKA
R ALTOIDS-PEPPERMINT 8
P MILKY-WAY 1
R PLANET-OATS-CHOCOLATE-MILK 8
R DR-PEPPER 1
R TWIX 1
R MOUNTAIN-DEW 7
R POWERADE 9
R DORITOS-COOL-RANCH 1
R PEPSI 4
P TRIDENT-SPEARMINT-GUM 7
R HOSTESS-DONETTES-POWDERED 1
R TRIDENT-SPEARMINT-GUM 9
R MILKY-WAY 9
O DASANI-WATER 4 7
O M&M 9 9
R NESTEA-LEMON-TEA 8
R LAYS-CLASSIC 8
K WHAT-A-MATRAKA
R CHEETOS-FLAMIN'-HOT 4
O FIJI-WATER 7 9
R MONSTER-ENERGY 10
P MOUNTAIN-DEW 6
R AQUAFINA-WATER 9
P TRIDENT-SPEARMINT-GUM 9
R LIFE-SAVERS-GUMMIES 6
R MONSTER-ENERGY 1
R ALTOIDS-PEPPERMINT 8
P STARBURST 2
K WHAT-A-MATRAKA
P HARIBO-GOLD-BEARS 10
R TROPICANA-ORANGE-JUICE 8
O MENTOS-FRUIT 2 9
M 2
R FANTA-ORANGE 8
K WHAT-A-MATRAKA
R TRIDENT-SPEARMINT-GUM 2
R DR-PEPPER 6
R NUTRI-GRAIN-STRAWBERRY 5
R GATORADE 10
R LAYS-CLASSIC 5
M 4
O RED-BULL 7 1
R DORITOS-COOL-RANCH 7
K WHAT-A-MATRAKA
R PEPSI 10
R PEPSI 7
R SMARTWATER 4
R POCKY-CHOCOLATE 10
O AQUAFINA-WATER 10 4
R ALTOIDS-PEPPERMINT 1
P OREO 4
P LIFE-SAVERS-GUMMIES 4
O KIND-BAR-DARK-CHOCOLATE-NUT 7 8
R SPRITE 4
K WHAT-A-MATRAKA
R LIFE-SAVERS-GUMMIES 8
P RITZ-CRACKERS 1
R GATORADE 5
R PRINGLES-ORIGINAL 8
R MENTOS-FRUIT 9
M 8
P MILKY-WAY 10
R LAYS-CLASSIC 2
R DORITOS-NACHO-CHEESE 1
R HOSTESS-DONETTES-POWDERED 6
R SMARTWATER 4
R MENTOS-FRUIT 5
R CHEETOS-CRUNCHY 7
M 9
M 4
R MOUNTAIN-DEW 1
M 3
R NUTRI-GRAIN-STRAWBERRY 10
O KIND-BAR-DARK-CHOCOLATE-NUT 10 5
P FANTA-ORANGE 1
R TROPICANA-ORANGE-JUICE 6
R PLANET-OATS-CHOCOLATE-MILK 7
R STARBURST 6
R TRIDENT-SPEARMINT-GUM 7
R TWIX 10
R STARBUCKS-FRAPPUCCINO 8
R STARBUCKS-FRAPPUCCINO 4
O COCA-COLA 4 6
R MONSTER-ENERGY 9
R NESTEA-LEMON-TEA 2
P HOSTESS-DONETTES-POWDERED 8
R SMARTWATER 2
P STARBURST 4
R SMARTWATER 4
P STARBURST 10
R SKITTLES 7
P DORITOS-NACHO-CHEESE 9
R AQUAFINA-WATER 6
R LAYS-CLASSIC 10
P NESTEA-LEMON-TEA 4
K WHAT-A-MATRAKA
R SNICKERS 9
R RED-BULL 7
R NESQUIK-CHOCOLATE-MILK 4
O COCA-COLA 3 7
K WHAT-A-MATRAKA
R HOSTESS-TWINKIES 6
P TIC-TAC-ORANGE 4
R COCA-COLA 10
R FIJI-WATER 4
O LAYS-CLASSIC 1 5
P SPRITE 6
O OREO 10 9
R SNICKERS 1
P LIFE-SAVERS-GUMMIES 4
R SUN-CHIPS-HARVEST-CHEDDAR 6
R SUN-CHIPS-HARVEST-CHEDDAR 8
R FANTA-ORANGE 10
R CHEETOS-CRUNCHY 9
R POWERADE 6
R TRIDENT-SPEARMINT-GUM 10
R TRIDENT-SPEARMINT-GUM 3
P TIC-TAC-ORANGE 7
R CHEETOS-FLAMIN'-HOT 4
M 5
R TASTYKAKE-HONEY-BUN 4
R EXTRA-PEPPERMINT-GUM 1
P 3-MUSKETEERS 10
O NESTEA-LEMON-TEA 1 9
P AQUAFINA-WATER 10
R MOUNTAIN-DEW 2
R RED-BULL 3
R MOUNTAIN-DEW 4
R M&M 4
R CLIF-BAR-CHOCOLATE-CHIP 9
K WHAT-A-MATRAKA
R 3-MUSKETEERS 10
R OREO 8
K WHAT-A-MATRAKA
P 3-MUSKETEERS 4
O STARBURST 1 8
R RITZ-CRACKERS 5
P MILKY-WAY 8
R TROPICANA-ORANGE-JUICE 4
M 7
R LAYS-BARBECUE 9
R FIJI-WATER 8
R NUTRI-GRAIN-STRAWBERRY 7
P EXTRA-PEPPERMINT-GUM 6
P GATORADE 5
R SUN-CHIPS-HARVEST-CHEDDAR 7
R RED-BULL 5
P M&M 4
R NUTRI-GRAIN-STRAWBERRY 8
R SMARTWATER 6
R PRINGLES-ORIGINAL 4
R SNICKERS 10
R CHEETOS-CRUNCHY 1
M 5
R DASANI-WATER 2
R DASANI-WATER 7
R AQUAFINA-WATER 8
R STARBUCKS-FRAPPUCCINO 2
P COCA-COLA 6
O TRIDENT-SPEARMINT-GUM 5 4
R POWERADE 4
P FIJI-WATER 6
M 2
R STARBUCKS-FRAPPUCCINO 2
R CHEETOS-FLAMIN'-HOT 1
R HOSTESS-TWINKIES 3
R DORITOS-COOL-RANCH 9
O AQUAFINA-WATER 4 10
P POCKY-CHOCOLATE 5
R NUTRI-GRAIN-STRAWBERRY 7
K WHAT-A-MATRAKA
P SMARTWATER 7
R DORITOS-COOL-RANCH 1
R NESQUIK-CHOCOLATE-MILK 8
P HOSTESS-DONETTES-POWDERED 7
R LIFE-SAVERS-GUMMIES 9
P KIT-KAT 8
R EXTRA-PEPPERMINT-GUM 7
R FIJI-WATER 2
R NUTRI-GRAIN-STRAWBERRY 6
P CHEETOS-FLAMIN'-HOT 7
R PRINGLES-ORIGINAL 10
K WHAT-A-MATRAKA
R MILKY-WAY 2
M 4
R ALTOIDS-PEPPERMINT 6
O DR-PEPPER 7 9
R POCKY-CHOCOLATE 1
R STARBURST 3
M 9
R PEPSI 2
P DR-PEPPER 4
R PRINGLES-SOUR-CREAM-&-ONION 9
K WHAT-A-MATRAKA
R SPRITE 5
P PRINGLES-ORIGINAL 4
R LAYS-CLASSIC 5
R NUTRI-GRAIN-STRAWBERRY 3
P PLANET-OATS-CHOCOLATE-MILK 10
R RED-BULL 9
P PLANET-OATS-CHOCOLATE-MILK 5
K WHAT-A-MATRAKA
P HOSTESS-TWINKIES 9
R 3-MUSKETEERS 8
R POCKY-CHOCOLATE 4
R LAYS-BARBECUE 6
R MOUNTAIN-DEW 2
R CLIF-BAR-CHOCOLATE-CHIP 3
R 3-MUSKETEERS 2
R DASANI-WATER 5
R EXTRA-PEPPERMINT-GUM 2
P LIFE-SAVERS-GUMMIES 10
R PRINGLES-ORIGINAL 7
P HOSTESS-DONETTES-POWDERED 10
R EXTRA-PEPPERMINT-GUM 3
R MENTOS-FRUIT 3
O KIT-KAT 9 9
R MONSTER-ENERGY 2
O NESTEA-LEMON-TEA 5 7
R CHEETOS-FLAMIN'-HOT 5
R DR-PEPPER 4
R HARIBO-GOLD-BEARS 7
R TASTYKAKE-HONEY-BUN 2
R EXTRA-PEPPERMINT-GUM 6
R SKITTLES 1
P FIJI-WATER 1
R FIJI-WATER 3
R TIC-TAC-ORANGE 5
R NESTEA-LEMON-TEA 5
P MILKY-WAY 6
P FIJI-WATER 8
P FIJI-WATER 1
R DORITOS-COOL-RANCH 7
R TASTYKAKE-HONEY-BUN 5
K WHAT-A-MATRAKA
R DASANI-WATER 7
M 5
M 10
P STARBUCKS-FRAPPUCCINO 2
R ALTOIDS-PEPPERMINT 10
R TWIX 6
M 5
P LIFE-SAVERS-GUMMIES 1
P HARIBO-GOLD-BEARS 8
R HOSTESS-TWINKIES 6
R POWERADE 6
P TIC-TAC-ORANGE 2
K WHAT-A-MATRAKA
R NESQUIK-CHOCOLATE-MILK 10
R PRINGLES-ORIGINAL 9
R SNICKERS 9
O RITZ-CRACKERS 8 8
R HARIBO-GOLD-BEARS 10
R DORITOS-NACHO-CHEESE 8
P MOUNTAIN-DEW 9
O POCKY-CHOCOLATE 5 5
R NESQUIK-CHOCOLATE-MILK 1
R TIC-TAC-ORANGE 9
R HOSTESS-DONETTES-POWDERED 3
M 7
R TROPICANA-ORANGE-JUICE 4
R GATORADE 8
R POWERADE 10
P RITZ-CRACKERS 9
M 7
R STARBURST 9
P DORITOS-NACHO-CHEESE 10
R SPRITE 7
P PEPSI 5
R MOUNTAIN-DEW 8
O SKITTLES 1 2
R LAYS-BARBECUE 10
P CHEETOS-CRUNCHY 8
R POCKY-CHOCOLATE 4
M 10
R MILKY-WAY 1
R NUTRI-GRAIN-STRAWBERRY 9
P POWERADE 5
R M&M 5
R TASTYKAKE-HONEY-BUN 10
P CLIF-BAR-CHOCOLATE-CHIP 10
M 8
R LIFE-SAVERS-GUMMIES 7
P HOSTESS-TWINKIES 7
K WHAT-A-MATRAKA
R PRINGLES-SOUR-CREAM-&-ONION 10
R CHEETOS-CRUNCHY 10
R HOSTESS-DONETTES-POWDERED 9
R STARBURST 5
M 4
P FIJI-WATER 1
O SNICKERS 7 6
R DORITOS-NACHO-CHEESE 6
R POCKY-CHOCOLATE 10
P 3-MUSKETEERS 10
R TROPICANA-ORANGE-JUICE 1
R MONSTER-ENERGY 1
P AQUAFINA-WATER 3
R LIFE-SAVERS-GUMMIES 6
O M&M 7 2
K WHAT-A-MATRAKA
R HOSTESS-DONETTES-POWDERED 10
P KIT-KAT 5
R FIJI-WATER 10
O AQUAFINA-WATER 8 3
R PLANET-OATS-CHOCOLATE-MILK 6
O HARIBO-GOLD-BEARS 4 4
P DR-PEPPER 2
R SNICKERS 10
P PRINGLES-ORIGINAL 6
R DORITOS-COOL-RANCH 8
P SKITTLES 2
O DR-PEPPER 3 10
K WHAT-A-MATRAKA
R CHEETOS-CRUNCHY 5
R GATORADE 7
O MENTOS-FRUIT 5 4
R OREO 6
P SPRITE 7
R PRINGLES-SOUR-CREAM-&-ONION 7
R DR-PEPPER 3
R EXTRA-PEPPERMINT-GUM 4
P 3-MUSKETEERS 9
R KIND-BAR-DARK-CHOCOLATE-NUT 5
R POCKY-CHOCOLATE 2
R TWIX 5
O TROPICANA-ORANGE-JUICE 10 5
R CLIF-BAR-CHOCOLATE-CHIP 5
K WHAT-A-MATRAKA
R TRIDENT-SPEARMINT-GUM 2
P NESTEA-LEMON-TEA 5
P LIFE-SAVERS-GUMMIES 8
R STARBUCKS-FRAPPUCCINO 10
O SKITTLES 9 2
R MONSTER-ENERGY 2
P MENTOS-FRUIT 6
O SUN-CHIPS-HARVEST-CHEDDAR 10 8
P SUN-CHIPS-HARVEST-CHEDDAR 2
R MOUNTAIN-DEW 9
R NESTEA-LEMON-TEA 7
M 10
R PLANET-OATS-CHOCOLATE-MILK 4
R DORITOS-COOL-RANCH 2
R SMARTWATER 4
R TASTYKAKE-HONEY-BUN 8
R 3-MUSKETEERS 10
R DORITOS-COOL-RANCH 3
R DASANI-WATER 4
R EXTRA-PEPPERMINT-GUM 4
O KIND-BAR-DARK-CHOCOLATE-NUT 6 7
R HOSTESS-DONETTES-POWDERED 10
R MENTOS-FRUIT 1
R STARBUCKS-FRAPPUCCINO 8
R SMARTWATER 6
R SNICKERS 5
R STARBUCKS-FRAPPUCCINO 9
R NUTRI-GRAIN-STRAWBERRY 3
R HARIBO-GOLD-BEARS 10
R MILKY-WAY 2
K WHAT-A-MATRAKA
R HOSTESS-TWINKIES 3
O FIJI-WATER 1 7
R KIT-KAT 10
O ALTOIDS-PEPPERMINT 3 7
M 3
R MENTOS-FRUIT 5
P TIC-TAC-ORANGE 8
P POCKY-CHOCOLATE 2
R SKITTLES 4
O CHEETOS-FLAMIN'-HOT 4 4
R POCKY-CHOCOLATE 1
R SKITTLES 6
R OREO 3
P PEPSI 9
R CLIF-BAR-CHOCOLATE-CHIP 6
R M&M 4
O TRIDENT-SPEARMINT-GUM 7 4
R MILKY-WAY 5
P M&M 4
R MOUNTAIN-DEW 6
R AQUAFINA-WATER 8
M 7
K WHAT-A-MATRAKA
R TIC-TAC-ORANGE 7
P TWIX 7
M 10
O FIJI-WATER 9 4
P TRIDENT-SPEARMINT-GUM 4
P HOSTESS-TWINKIES 3
R ALTOIDS-PEPPERMINT 8
R TROPICANA-ORANGE-JUICE 9
P RITZ-CRACKERS 4
O POCKY-CHOCOLATE 10 7
K WHAT-A-MATRAKA
R NESTEA-LEMON-TEA 7
R CHEETOS-CRUNCHY 4
R SNICKERS 8
M 10
P TASTYKAKE-HONEY-BUN 6
R DASANI-WATER 6
R FIJI-WATER 6
R DASANI-WATER 2
R LAYS-CLASSIC 6
O PLANET-OATS-CHOCOLATE-MILK 3 6
K WHAT-A-MATRAKA
R KIT-KAT 2
R LAYS-CLASSIC 9
R LIFE-SAVERS-GUMMIES 9
R HARIBO-GOLD-BEARS 7
R KIND-BAR-DARK-CHOCOLATE-NUT 7
R NESQUIK-CHOCOLATE-MILK 6
R SPRITE 9
M 7
R AQUAFINA-WATER 3
R MOUNTAIN-DEW 7
R EXTRA-PEPPERMINT-GUM 10
P PLANET-OATS-CHOCOLATE-MILK 8
R SUN-CHIPS-HARVEST-CHEDDAR 1
P NESTEA-LEMON-TEA 9
O M&M 1 7
R SPRITE 4
R PEPSI 9
O TWIX 1 2
R POCKY-CHOCOLATE 8
R PLANET-OATS-CHOCOLATE-MILK 9
O MONSTER-ENERGY 4 2
K WHAT-A-MATRAKA
P SUN-CHIPS-HARVEST-CHEDDAR 2
P STARBUCKS-FRAPPUCCINO 6
R SKITTLES 2
R SMARTWATER 7
R MOUNTAIN-DEW 4
R CHEETOS-FLAMIN'-HOT 3
R SPRITE 5
R CLIF-BAR-CHOCOLATE-CHIP 2
R SNICKERS 3
R MENTOS-FRUIT 9
R LAYS-BARBECUE 4
P TROPICANA-ORANGE-JUICE 2
P TROPICANA-ORANGE-JUICE 1
O TWIX 1 10
R CHEETOS-FLAMIN'-HOT 2
R STARBURST 9
R ALTOIDS-PEPPERMINT 3
R DR-PEPPER 10
P HOSTESS-DONETTES-POWDERED 6
O POWERADE 9 6
K WHAT-A-MATRAKA
P TROPICANA-ORANGE-JUICE 6
R DORITOS-NACHO-CHEESE 10
P NESQUIK-CHOCOLATE-MILK 9
R SKITTLES 9
R COCA-COLA 9
R MENTOS-FRUIT 9
P CHEETOS-FLAMIN'-HOT 7
R HARIBO-GOLD-BEARS 4
P AQUAFINA-WATER 6
R POCKY-CHOCOLATE 1
P MOUNTAIN-DEW 7
R SPRITE 10
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
R COCA-COLA 5
R NESTEA-LEMON-TEA 8
P MILKY-WAY 7
R PRINGLES-SOUR-CREAM-&-ONION 8
R POCKY-CHOCOLATE 2
R MILKY-WAY 1
R SUN-CHIPS-HARVEST-CHEDDAR 4
O AQUAFINA-WATER 5 1
K WHAT-A-MATRAKA
R MONSTER-ENERGY 2
K WHAT-A-MATRAKA
R SPRITE 2
R 3-MUSKETEERS 2
R SMARTWATER 7
R STARBUCKS-FRAPPUCCINO 10
R TIC-TAC-ORANGE 5
R CHEETOS-FLAMIN'-HOT 10
R SNICKERS 3
P COCA-COLA 6
M 5
P DORITOS-NACHO-CHEESE 3
R FIJI-WATER 8
O MOUNTAIN-DEW 10 9
O SMARTWATER 3 5
P SPRITE 5
R NESQUIK-CHOCOLATE-MILK 6
R STARBURST 7
R DORITOS-NACHO-CHEESE 2
R MILKY-WAY 1
M 5
R DORITOS-COOL-RANCH 1
O LAYS-BARBECUE 3 10
R SMARTWATER 9
R CHEETOS-CRUNCHY 1
P ALTOIDS-PEPPERMINT 6
O TWIX 1 8
P PRINGLES-SOUR-CREAM-&-ONION 9
R KIT-KAT 3
R STARBUCKS-FRAPPUCCINO 3
P HARIBO-GOLD-BEARS 7
R FANTA-ORANGE 10
R PRINGLES-SOUR-CREAM-&-ONION 8
P SNICKERS 9
R HOSTESS-DONETTES-POWDERED 6
R PRINGLES-ORIGINAL 3
O DORITOS-COOL-RANCH 5 10
R MONSTER-ENERGY 1
P MENTOS-FRUIT 8
R MOUNTAIN-DEW 9
R MENTOS-FRUIT 4
R FANTA-ORANGE 9
R RITZ-CRACKERS 2
O NUTRI-GRAIN-STRAWBERRY 4 8
R HARIBO-GOLD-BEARS 8
P MOUNTAIN-DEW 2
P CLIF-BAR-CHOCOLATE-CHIP 2
P M&M 2
R DORITOS-COOL-RANCH 8
R NESQUIK-CHOCOLATE-MILK 4
R DORITOS-NACHO-CHEESE 2
M 6
R KIND-BAR-DARK-CHOCOLATE-NUT 7
R TIC-TAC-ORANGE 10
O PLANET-OATS-CHOCOLATE-MILK 1 7
P PRINGLES-SOUR-CREAM-&-ONION 2
O CLIF-BAR-CHOCOLATE-CHIP 9 5
R MILKY-WAY 2
R TWIX 4
R RITZ-CRACKERS 3
M 5
P SPRITE 4
R KIT-KAT 5
R TIC-TAC-ORANGE 7
P FANTA-ORANGE 5
M 6
P MENTOS-FRUIT 6
P ALTOIDS-PEPPERMINT 4
R CLIF-BAR-CHOCOLATE-CHIP 2
R RED-BULL 8
R STARBURST 2
R STARBURST 5
R LAYS-BARBECUE 10
R POCKY-CHOCOLATE 3
R DORITOS-COOL-RANCH 6
K WHAT-A-MATRAKA
O PRINGLES-ORIGINAL 6 1
R DASANI-WATER 2
R MOUNTAIN-DEW 5
R SPRITE 6
P TIC-TAC-ORANGE 2
R OREO 4
R SUN-CHIPS-HARVEST-CHEDDAR 9
R NESTEA-LEMON-TEA 10
O TWIX 8 8
R TWIX 8
M 2
R LIFE-SAVERS-GUMMIES 3
P KIND-BAR-DARK-CHOCOLATE-NUT 3
K WHAT-A-MATRAKA
P TRIDENT-SPEARMINT-GUM 8
P MENTOS-FRUIT 2
R MONSTER-ENERGY 9
R FANTA-ORANGE 9
R KIND-BAR-DARK-CHOCOLATE-NUT 6
O MONSTER-ENERGY 10 3
R MONSTER-ENERGY 1
P DORITOS-NACHO-CHEESE 1
P OREO 8
R PRINGLES-SOUR-CREAM-&-ONION 6
P DASANI-WATER 7
R GATORADE 6
P MENTOS-FRUIT 8
O COCA-COLA 7 4
R FANTA-ORANGE 5
M 2
P M&M 1
R RED-BULL 6
R CHEETOS-FLAMIN'-HOT 8
R PRINGLES-ORIGINAL 1
R PRINGLES-SOUR-CREAM-&-ONION 1
R DORITOS-COOL-RANCH 2
P LAYS-CLASSIC 1
P GATORADE 5
O POCKY-CHOCOLATE 4 9
R TWIX 5
R LAYS-CLASSIC 8
R DASANI-WATER 8
K WHAT-A-MATRAKA
R EXTRA-PEPPERMINT-GUM 6
R DASANI-WATER 4
O STARBUCKS-FRAPPUCCINO 7 2
O TWIX 2 7
O DORITOS-NACHO-CHEESE 8 4
R HARIBO-GOLD-BEARS 8
P M&M 7
R EXTRA-PEPPERMINT-GUM 2
M 3
R HOSTESS-TWINKIES 9
O LAYS-BARBECUE 9 5
P FANTA-ORANGE 7
R LIFE-SAVERS-GUMMIES 1
M 7
M 3
R RED-BULL 7
R EXTRA-PEPPERMINT-GUM 2
R CHEETOS-CRUNCHY 1
R RED-BULL 2
R RITZ-CRACKERS 1
R LAYS-CLASSIC 2
P POWERADE 5
R RED-BULL 6
R TASTYKAKE-HONEY-BUN 10
P LAYS-BARBECUE 9
R KIND-BAR-DARK-CHOCOLATE-NUT 9
R DR-PEPPER 10
P SPRITE 5
R HOSTESS-TWINKIES 4
R RITZ-CRACKERS 8
P FIJI-WATER 7
R NUTRI-GRAIN-STRAWBERRY 5
R MONSTER-ENERGY 6
P SKITTLES 3
R KIND-BAR-DARK-CHOCOLATE-NUT 2
K WHAT-A-MATRAKA
R NESTEA-LEMON-TEA 2
R POCKY-CHOCOLATE 1
R TWIX 4
P SMARTWATER 9
R ALTOIDS-PEPPERMINT 6
R DORITOS-NACHO-CHEESE 5
R SPRITE 2
R PRINGLES-ORIGINAL 2
M 5
P CLIF-BAR-CHOCOLATE-CHIP 7
K WHAT-A-MATRAKA
R PRINGLES-ORIGINAL 1
O FANTA-ORANGE 3 2
R POCKY-CHOCOLATE 3
M 5
R NESTEA-LEMON-TEA 7
R SPRITE 1
R DORITOS-COOL-RANCH 9
R NESQUIK-CHOCOLATE-MILK 9
M 9
M 5
R LIFE-SAVERS-GUMMIES 7
P SNICKERS 3
R FANTA-ORANGE 1
R PEPSI 8
P TRIDENT-SPEARMINT-GUM 10
P TWIX 10
R DR-PEPPER 6
R AQUAFINA-WATER 6
R M&M 8
K WHAT-A-MATRAKA
R ALTOIDS-PEPPERMINT 8
R SPRITE 8
R STARBUCKS-FRAPPUCCINO 2
R LAYS-BARBECUE 6
O EXTRA-PEPPERMINT-GUM 2 6
R DR-PEPPER 1
O TASTYKAKE-HONEY-BUN 2 3
R HARIBO-GOLD-BEARS 5
R PRINGLES-ORIGINAL 3
P PEPSI 10
P HOSTESS-TWINKIES 1
R TIC-TAC-ORANGE 9
M 2
P ALTOIDS-PEPPERMINT 5
P OREO 9
R CHEETOS-CRUNCHY 3
R DR-PEPPER 9
R PRINGLES-SOUR-CREAM-&-ONION 8
O LAYS-CLASSIC 8 10
R POWERADE 2
R NESQUIK-CHOCOLATE-MILK 10
P POWERADE 9
R COCA-COLA 8
R MENTOS-FRUIT 4
R CHEETOS-CRUNCHY 7
R MILKY-WAY 7
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R TASTYKAKE-HONEY-BUN 2
R M&M 3
R POCKY-CHOCOLATE 1
R DR-PEPPER 5
R NUTRI-GRAIN-STRAWBERRY 9
R SNICKERS 8
R CHEETOS-FLAMIN'-HOT 10
R LAYS-BARBECUE 5
R TIC-TAC-ORANGE 6
O SKITTLES 3 5
R MENTOS-FRUIT 8
O SKITTLES 3 2
R DORITOS-NACHO-CHEESE 8
P KIND-BAR-DARK-CHOCOLATE-NUT 9
P SNICKERS 2
R PRINGLES-ORIGINAL 7
R STARBUCKS-FRAPPUCCINO 1
P HOSTESS-DONETTES-POWDERED 4
R MENTOS-FRUIT 6
O SUN-CHIPS-HARVEST-CHEDDAR 1 7
R 3-MUSKETEERS 4
R SUN-CHIPS-HARVEST-CHEDDAR 3
R DR-PEPPER 1
P KIT-KAT 9
P MENTOS-FRUIT 6
M 4
M 2
P NESTEA-LEMON-TEA 10
R OREO 3
P TASTYKAKE-HONEY-BUN 10
R DR-PEPPER 7
R CHEETOS-FLAMIN'-HOT 10
K WHAT-A-MATRAKA
O MENTOS-FRUIT 1 8
R MILKY-WAY 4
R TWIX 7
R DORITOS-NACHO-CHEESE 8
M 2
R TROPICANA-ORANGE-JUICE 7
R MOUNTAIN-DEW 9
R EXTRA-PEPPERMINT-GUM 9
P MOUNTAIN-DEW 2
R POWERADE 5
R POCKY-CHOCOLATE 2
R ALTOIDS-PEPPERMINT 6
R EXTRA-PEPPERMINT-GUM 10
